,Loss
0,99.994965
1,92.89568
2,86.277145
3,80.14557
4,74.48459
5,69.26379
6,64.44607
7,59.993244
8,55.87008
9,52.04621
10,48.496273
11,45.19885
12,42.135574
13,39.290165
14,36.647846
15,34.195004
16,31.91896
17,29.80782
18,27.850403
19,26.036196
20,24.355314
21,22.79846
22,21.3569
23,20.022448
24,18.787432
25,17.644678
26,16.58748
27,15.609579
28,14.70513
29,13.868694
30,13.095185
31,12.379876
32,11.718362
33,11.106543
34,10.540605
35,10.016994
36,9.532421
37,9.0838175
38,8.668344
39,8.283361
40,7.9264293
41,7.5952826
42,7.287834
43,7.002147
44,6.7364397
45,6.489067
46,6.2585177
47,6.043395
48,5.842424
49,5.65443
50,5.4783382
51,5.3131633
52,5.1580067
53,5.012047
54,4.874533
55,4.7447815
56,4.622174
57,4.5061374
58,4.3961625
59,4.2917795
60,4.1925626
61,4.0981264
62,4.008121
63,3.9222283
64,3.8401601
65,3.7616534
66,3.6864707
67,3.6143959
68,3.545231
69,3.4787984
70,3.4149323
71,3.3534842
72,3.2943184
73,3.2373097
74,3.1823437
75,3.129315
76,3.078125
77,3.0286849
78,2.9809108
79,2.9347262
80,2.8900604
81,2.8468432
82,2.805014
83,2.7645144
84,2.7252877
85,2.687283
86,2.6504512
87,2.6147459
88,2.5801215
89,2.5465376
90,2.513954
91,2.4823334
92,2.4516394
93,2.421836
94,2.3928916
95,2.3647742
96,2.3374534
97,2.3108997
98,2.2850857
99,2.2599838
100,2.2355685
101,2.2118156
102,2.1887004
103,2.1661992
104,2.1442916
105,2.1229548
106,2.10217
107,2.0819156
108,2.0621738
109,2.0429258
110,2.0241542
111,2.005841
112,1.9879718
113,1.9705293
114,1.9534998
115,1.9368668
116,1.9206176
117,1.9047385
118,1.8892173
119,1.8740402
120,1.8591961
121,1.8446728
122,1.8304597
123,1.8165462
124,1.8029221
125,1.7895776
126,1.7765025
127,1.7636883
128,1.7511263
129,1.7388088
130,1.7267267
131,1.7148728
132,1.7032392
133,1.6918195
134,1.6806062
135,1.6695935
136,1.6587739
137,1.6481425
138,1.6376932
139,1.6274196
140,1.6173174
141,1.6073812
142,1.5976052
143,1.5879864
144,1.5785185
145,1.5691981
146,1.5600204
147,1.5509816
148,1.5420786
149,1.5333059
150,1.5246617
151,1.5161412
152,1.5077415
153,1.4994596
154,1.4912924
155,1.4832366
156,1.47529
157,1.4674493
158,1.4597117
159,1.4520749
160,1.4445367
161,1.4370943
162,1.4297459
163,1.4224889
164,1.415321
165,1.4082406
166,1.4012451
167,1.3943334
168,1.387503
169,1.3807528
170,1.3740804
171,1.367484
172,1.3609633
173,1.3545145
174,1.3481387
175,1.3418319
176,1.3355945
177,1.3294244
178,1.3233202
179,1.3172815
180,1.3113056
181,1.3053923
182,1.2995402
183,1.2937478
184,1.2880149
185,1.2823392
186,1.2767203
187,1.2711569
188,1.265649
189,1.2601945
190,1.2547935
191,1.2494438
192,1.2441455
193,1.238897
194,1.2336982
195,1.2285484
196,1.2234457
197,1.2183902
198,1.2133806
199,1.2084169
200,1.203498
201,1.1986232
202,1.1937921
203,1.1890032
204,1.1842568
205,1.1795518
206,1.1748875
207,1.1702641
208,1.1656798
209,1.1611345
210,1.156628
211,1.1521596
212,1.1477281
213,1.143334
214,1.1389763
215,1.134654
216,1.1303676
217,1.1261159
218,1.1218985
219,1.1177154
220,1.1135656
221,1.1094489
222,1.1053653
223,1.1013131
224,1.0972931
225,1.0933045
226,1.0893471
227,1.0854194
228,1.0815234
229,1.0776558
230,1.073818
231,1.0700098
232,1.0662298
233,1.0624789
234,1.0587556
235,1.0550594
236,1.0513915
237,1.0477499
238,1.0441356
239,1.0405471
240,1.036985
241,1.0334483
242,1.0299373
243,1.0264518
244,1.0229908
245,1.0195545
246,1.0161422
247,1.0127547
248,1.0093904
249,1.0060495
250,1.0027318
251,0.9994375
252,0.99616605
253,0.99291664
254,0.98968923
255,0.98648393
256,0.98330045
257,0.98013866
258,0.976998
259,0.9738785
260,0.9707798
261,0.96770144
262,0.9646436
263,0.9616058
264,0.9585882
265,0.9555901
266,0.952612
267,0.9496528
268,0.9467129
269,0.943792
270,0.9408898
271,0.938006
272,0.9351405
273,0.9322935
274,0.9294646
275,0.9266535
276,0.9238599
277,0.9210835
278,0.9183249
279,0.91558284
280,0.9128584
281,0.91015047
282,0.9074594
283,0.9047848
284,0.90212667
285,0.89948374
286,0.8968583
287,0.89424795
288,0.8916535
289,0.88907385
290,0.8865103
291,0.8839621
292,0.8814292
293,0.8789111
294,0.8764078
295,0.87391925
296,0.87144554
297,0.86898625
298,0.8665411
299,0.86411065
300,0.8616936
301,0.8592908
302,0.856902
303,0.8545268
304,0.8521658
305,0.84981745
306,0.84748316
307,0.8451613
308,0.8428532
309,0.84055823
310,0.8382759
311,0.8360064
312,0.83375007
313,0.83150566
314,0.8292746
315,0.8270552
316,0.8248482
317,0.8226538
318,0.82047117
319,0.8183003
320,0.8161418
321,0.813995
322,0.81185997
323,0.8097364
324,0.8076246
325,0.8055237
326,0.8034343
327,0.8013566
328,0.79928964
329,0.79723406
330,0.7951894
331,0.79315543
332,0.7911327
333,0.7891201
334,0.78711873
335,0.78512734
336,0.783147
337,0.7811768
338,0.77921736
339,0.77726746
340,0.7753283
341,0.77339906
342,0.77148
343,0.7695707
344,0.76767105
345,0.7657815
346,0.7639018
347,0.7620313
348,0.7601708
349,0.75832
350,0.75647795
351,0.7546458
352,0.75282264
353,0.7510092
354,0.7492045
355,0.7474092
356,0.74562263
357,0.7438454
358,0.7420768
359,0.74031705
360,0.7385661
361,0.7368239
362,0.73509085
363,0.73336554
364,0.7316494
365,0.7299418
366,0.7282423
367,0.7265512
368,0.72486824
369,0.7231935
370,0.72152776
371,0.7198695
372,0.7182194
373,0.716577
374,0.7149432
375,0.713317
376,0.71169865
377,0.710088
378,0.70848507
379,0.70689017
380,0.70530283
381,0.70372254
382,0.7021503
383,0.7005854
384,0.69902796
385,0.6974779
386,0.6959353
387,0.6944
388,0.6928719
389,0.69135064
390,0.68983716
391,0.68833035
392,0.6868304
393,0.6853378
394,0.68385166
395,0.68237287
396,0.6809009
397,0.67943585
398,0.6779774
399,0.6765255
400,0.67508054
401,0.6736423
402,0.67221016
403,0.6707846
404,0.66936606
405,0.66795397
406,0.66654783
407,0.66514844
408,0.66375524
409,0.6623682
410,0.6609874
411,0.65961266
412,0.65824455
413,0.6568823
414,0.6555262
415,0.6541763
416,0.6528323
417,0.65149385
418,0.6501618
419,0.6488357
420,0.6475152
421,0.6462006
422,0.64489156
423,0.6435884
424,0.64229095
425,0.6409991
426,0.639713
427,0.63843256
428,0.63715714
429,0.6358879
430,0.6346238
431,0.6333653
432,0.6321119
433,0.6308641
434,0.62962174
435,0.6283843
436,0.6271523
437,0.62592554
438,0.62470394
439,0.6234877
440,0.6222766
441,0.62107027
442,0.6198689
443,0.6186731
444,0.61748195
445,0.6162958
446,0.61511457
447,0.6139381
448,0.61276674
449,0.6116003
450,0.61043805
451,0.60928124
452,0.60812867
453,0.60698116
454,0.60583836
455,0.6046999
456,0.60356647
457,0.60243696
458,0.6013125
459,0.60019267
460,0.59907705
461,0.5979661
462,0.596859
463,0.5957568
464,0.59465903
465,0.5935654
466,0.5924763
467,0.59139115
468,0.5903107
469,0.589234
470,0.5881619
471,0.58709395
472,0.58603007
473,0.5849705
474,0.5839146
475,0.5828628
476,0.5818153
477,0.5807716
478,0.57973254
479,0.5786967
480,0.5776651
481,0.57663715
482,0.5756136
483,0.57459354
484,0.5735777
485,0.572565
486,0.5715564
487,0.57055163
488,0.5695507
489,0.5685533
490,0.5675595
491,0.56656975
492,0.56558365
493,0.5646006
494,0.56362164
495,0.5626463
496,0.561674
497,0.5607056
498,0.55974126
499,0.5587796
500,0.55782145
501,0.556867
502,0.55591595
503,0.55496824
504,0.5540236
505,0.55308264
506,0.5521454
507,0.55121076
508,0.5502798
509,0.5493521
510,0.54842794
511,0.5475066
512,0.5465886
513,0.54567385
514,0.544762
515,0.5438535
516,0.5429483
517,0.542046
518,0.5411472
519,0.54025114
520,0.53935784
521,0.5384683
522,0.53758126
523,0.5366977
524,0.53581697
525,0.534939
526,0.5340643
527,0.5331925
528,0.53232336
529,0.5314571
530,0.5305945
531,0.52973413
532,0.528877
533,0.52802217
534,0.5271708
535,0.52632177
536,0.52547556
537,0.52463233
538,0.5237921
539,0.5229543
540,0.5221195
541,0.52128726
542,0.5204582
543,0.5196314
544,0.5188075
545,0.51798624
546,0.5171677
547,0.51635194
548,0.51553863
549,0.51472795
550,0.51391983
551,0.51311463
552,0.5123119
553,0.51151145
554,0.510714
555,0.5099191
556,0.50912654
557,0.50833684
558,0.50754946
559,0.5067646
560,0.50598246
561,0.5052026
562,0.50442535
563,0.50365055
564,0.5028785
565,0.5021089
566,0.50134134
567,0.5005764
568,0.49981403
569,0.49905404
570,0.49829656
571,0.49754155
572,0.4967888
573,0.49603835
574,0.4952905
575,0.49454504
576,0.49380198
577,0.49306127
578,0.49232286
579,0.49158695
580,0.4908533
581,0.49012184
582,0.48939317
583,0.48866665
584,0.4879423
585,0.48722064
586,0.4865009
587,0.48578346
588,0.48506808
589,0.48435572
590,0.48364517
591,0.48293737
592,0.4822312
593,0.48152786
594,0.48082626
595,0.48012742
596,0.47943062
597,0.47873616
598,0.4780436
599,0.4773537
600,0.4766661
601,0.47598025
602,0.4752971
603,0.4746161
604,0.47393727
605,0.47326037
606,0.4725864
607,0.47191384
608,0.4712439
609,0.47057596
610,0.46991047
611,0.46924695
612,0.46858555
613,0.46792644
614,0.4672697
615,0.46661502
616,0.46596238
617,0.4653122
618,0.46466386
619,0.4640178
620,0.46337423
621,0.4627325
622,0.46209285
623,0.46145523
624,0.46082035
625,0.46018696
626,0.459556
627,0.4589272
628,0.45830053
629,0.457676
630,0.45705366
631,0.45643312
632,0.45581484
