,Loss
0,41.26054
1,40.40434
2,39.562073
3,38.735043
4,37.923996
5,37.1292
6,36.35064
7,35.588165
8,34.841557
9,34.110577
10,33.394985
11,32.694534
12,32.008976
13,31.338074
14,30.681581
15,30.039268
16,29.410887
17,28.796219
18,28.19501
19,27.607044
20,27.032084
21,26.469904
22,25.920277
23,25.382978
24,24.857779
25,24.344461
26,23.84281
27,23.352594
28,22.873611
29,22.40564
30,21.948467
31,21.501883
32,21.065676
33,20.63964
34,20.223574
35,19.817274
36,19.420538
37,19.033169
38,18.654972
39,18.28575
40,17.925316
41,17.573477
42,17.230047
43,16.894846
44,16.567688
45,16.248392
46,15.936787
47,15.632692
48,15.335946
49,15.046372
50,14.763804
51,14.488082
52,14.219043
53,13.956529
54,13.700385
55,13.450456
56,13.206595
57,12.968658
58,12.736491
59,12.509963
60,12.288927
61,12.073251
62,11.862799
63,11.657439
64,11.457049
65,11.2614975
66,11.070665
67,10.884431
68,10.702678
69,10.525292
70,10.35216
71,10.183172
72,10.018225
73,9.85721
74,9.700026
75,9.546574
76,9.396758
77,9.250481
78,9.107655
79,8.968187
80,8.83199
81,8.698977
82,8.569068
83,8.442183
84,8.318237
85,8.19716
86,8.078875
87,7.963307
88,7.850388
89,7.7400475
90,7.6322217
91,7.526841
92,7.4238453
93,7.3231735
94,7.2247634
95,7.1285596
96,7.0345025
97,6.9425397
98,6.852617
99,6.7646813
100,6.6786838
101,6.5945754
102,6.5123076
103,6.431836
104,6.353113
105,6.276097
106,6.200745
107,6.127016
108,6.054868
109,5.984264
110,5.915167
111,5.8475356
112,5.7813406
113,5.7165427
114,5.653109
115,5.5910068
116,5.530205
117,5.4706717
118,5.4123783
119,5.3552933
120,5.2993894
121,5.2446375
122,5.1910124
123,5.1384864
124,5.0870347
125,5.0366325
126,4.9872546
127,4.9388785
128,4.8914804
129,4.8450384
130,4.799532
131,4.754937
132,4.7112365
133,4.668408
134,4.6264315
135,4.5852895
136,4.5449624
137,4.5054326
138,4.4666824
139,4.4286933
140,4.3914504
141,4.354936
142,4.319135
143,4.284032
