,Loss
0,154.88705
1,137.76985
2,122.18308
3,108.18339
4,95.71437
5,84.66589
6,74.921844
7,66.371155
8,58.90465
9,52.414303
10,46.794952
11,41.946705
12,37.77623
13,34.19743
14,31.131859
15,28.508738
16,26.264992
17,24.344824
18,22.69937
19,21.286165
20,20.068583
21,19.015257
22,18.099482
23,17.29864
24,16.593681
25,15.96864
26,15.410176
27,14.907172
28,14.450422
29,14.032307
30,13.64653
31,13.287919
32,12.952217
33,12.63594
34,12.336237
35,12.050772
36,11.777643
37,11.515295
38,11.26247
39,11.018125
40,10.781416
41,10.55166
42,10.328278
43,10.110806
44,9.89886
45,9.692106
46,9.490281
47,9.29315
48,9.100517
49,8.912215
50,8.7280855
51,8.548007
52,8.3718605
53,8.19954
54,8.030951
55,7.8660045
56,7.7046185
57,7.5467196
58,7.3922358
59,7.2411
60,7.093246
61,6.9486194
62,6.8071504
63,6.66879
64,6.5334806
65,6.401163
66,6.2717943
67,6.1453137
68,6.0216784
69,5.900829
70,5.7827215
71,5.6673098
72,5.554542
73,5.444372
74,5.336754
75,5.2316394
76,5.128981
77,5.0287366
78,4.9308567
79,4.8353043
80,4.7420254
81,4.650981
82,4.5621247
83,4.475417
84,4.390812
85,4.308268
86,4.227744
87,4.1491947
88,4.072582
89,3.9978635
90,3.9249983
91,3.8539484
92,3.7846706
93,3.7171273
94,3.651281
95,3.587094
96,3.5245225
97,3.4635348
98,3.404092
99,3.3461607
100,3.2897
101,3.2346792
102,3.1810598
103,3.128811
104,3.0778954
105,3.028283
106,2.979938
107,2.9328318
108,2.8869314
109,2.8422046
110,2.798624
111,2.7561557
112,2.7147725
113,2.6744475
114,2.635149
115,2.5968513
116,2.5595298
117,2.5231533
118,2.4876976
119,2.4531403
120,2.4194524
121,2.3866127
122,2.3545954
123,2.3233786
124,2.2929394
125,2.263256
126,2.2343063
127,2.206069
128,2.178525
129,2.1516538
130,2.1254358
131,2.0998526
132,2.0748844
133,2.0505147
134,2.026726
135,2.0035
136,1.9808213
137,1.9586746
138,1.9370426
139,1.9159112
140,1.8952662
141,1.8750925
142,1.8553746
143,1.8361019
144,1.81726
145,1.7988365
146,1.7808199
147,1.7631973
148,1.745958
149,1.7290896
150,1.712583
151,1.6964269
152,1.6806105
153,1.6651262
154,1.649962
155,1.6351099
156,1.6205609
157,1.6063079
158,1.592339
159,1.5786518
160,1.565233
161,1.5520784
162,1.5391794
163,1.526531
164,1.5141242
165,1.5019526
166,1.4900111
