,Loss
0,533.76196
1,481.31305
2,433.14053
3,389.4482
4,350.1796
5,315.09213
6,283.85266
7,256.10587
8,231.50339
9,209.71494
10,190.43301
11,173.3753
12,158.2847
13,144.92906
14,133.09999
15,122.61163
16,113.299065
17,105.01666
18,97.63642
19,91.04604
20,85.14728
21,79.85433
22,75.09238
23,70.7962
24,66.90912
25,63.381786
26,60.171375
27,57.240723
28,54.557594
29,52.09404
30,49.825825
31,47.73192
32,45.79407
33,43.996372
34,42.32497
35,40.767727
36,39.314
37,37.954395
38,36.680634
39,35.48532
40,34.36189
41,33.30446
42,32.307728
43,31.366924
44,30.477741
45,29.636251
46,28.838902
47,28.082428
48,27.363873
49,26.68053
50,26.029894
51,25.409704
52,24.817833
53,24.252367
54,23.711533
55,23.193684
56,22.697323
57,22.221046
58,21.763577
59,21.32374
60,20.900421
61,20.49261
62,20.099386
63,19.71986
64,19.353245
65,18.998789
66,18.655811
67,18.323666
68,18.001766
69,17.689562
70,17.386541
71,17.092236
72,16.80621
73,16.52804
74,16.257359
75,15.993811
76,15.737061
77,15.486814
78,15.242772
79,15.004679
80,14.772278
81,14.5453415
82,14.32365
83,14.107008
84,13.895209
85,13.688086
86,13.485471
87,13.2872095
88,13.093145
89,12.903143
90,12.717071
91,12.534812
92,12.356238
93,12.181245
94,12.009731
95,11.841593
96,11.676735
97,11.515077
98,11.356522
99,11.201002
100,11.048427
101,10.8987255
102,10.751836
103,10.607688
104,10.466211
105,10.32735
106,10.191045
107,10.057233
108,9.925865
109,9.7968855
110,9.670242
111,9.545889
112,9.423776
113,9.303856
114,9.186087
115,9.07042
116,8.9568205
117,8.845246
118,8.735648
119,8.627997
120,8.522253
121,8.418378
122,8.316337
123,8.216095
124,8.117619
125,8.020874
126,7.9258294
127,7.8324504
128,7.7407064
129,7.6505713
130,7.5620136
131,7.4749956
132,7.389501
133,7.305491
134,7.22295
135,7.1418395
136,7.062144
137,6.9838266
138,6.906872
139,6.8312473
140,6.756931
141,6.683899
142,6.6121297
143,6.5415983
144,6.472283
145,6.4041586
146,6.3372045
147,6.271401
148,6.206723
149,6.143155
150,6.0806756
151,6.0192637
152,5.9588966
153,5.8995585
154,5.841228
155,5.7838907
156,5.727522
157,5.6721096
158,5.6176314
159,5.564074
160,5.511418
161,5.4596457
162,5.408741
163,5.358689
164,5.309474
165,5.26108
166,5.213489
167,5.1666927
168,5.120668
169,5.075404
170,5.030887
171,4.9871025
172,4.944033
173,4.9016724
174,4.860003
175,4.8190103
176,4.778683
177,4.739011
178,4.699975
179,4.6615705
180,4.6237826
181,4.586601
182,4.55001
183,4.514001
184,4.4785624
185,4.4436846
186,4.4093547
187,4.375566
188,4.3423033
189,4.309558
190,4.2773237
191,4.2455883
192,4.2143393
193,4.183573
194,4.153275
195,4.1234403
196,4.0940585
197,4.0651193
198,4.0366163
199,4.0085397
200,3.980883
201,3.9536364
202,3.926796
203,3.900348
204,3.87429
205,3.848614
206,3.8233082
207,3.798372
208,3.773793
209,3.7495658
210,3.7256835
211,3.7021427
212,3.6789362
213,3.656053
214,3.6334918
215,3.6112442
216,3.589306
217,3.5676708
218,3.5463324
219,3.5252836
220,3.5045233
221,3.484042
222,3.463836
223,3.4439006
224,3.42423
225,3.4048195
226,3.3856647
227,3.36676
228,3.3481033
229,3.3296869
230,3.3115058
231,3.2935605
232,3.275843
233,3.2583508
234,3.241075
235,3.2240186
236,3.2071738
237,3.1905365
238,3.174107
239,3.157875
240,3.141843
241,3.126003
242,3.1103542
243,3.094893
244,3.0796163
245,3.0645185
246,3.0495973
247,3.0348518
248,3.0202782
249,3.0058706
250,2.991628
251,2.9775484
252,2.9636288
253,2.9498663
254,2.9362566
255,2.9227965
256,2.9094892
257,2.8963237
258,2.8833025
259,2.870423
260,2.8576832
261,2.8450775
262,2.832608
263,2.820268
264,2.8080602
265,2.795976
266,2.7840207
267,2.772186
268,2.7604737
269,2.7488797
270,2.7374022
271,2.7260401
272,2.714791
273,2.7036538
274,2.692624
275,2.6817017
276,2.6708877
277,2.6601753
278,2.649567
279,2.6390588
280,2.628648
