,Loss
0,109.846176
1,102.52898
2,95.69104
3,89.34275
4,83.457115
5,77.98949
6,72.896866
7,68.14542
8,63.708675
9,59.564686
10,55.694378
11,52.080704
12,48.708107
13,45.562157
14,42.62932
15,39.896843
16,37.35263
17,34.985195
18,32.783573
19,30.737328
20,28.83648
21,27.071562
22,25.433535
23,23.91385
24,22.504398
25,21.197498
26,19.98592
27,18.862843
28,17.821877
29,16.857004
30,15.962616
31,15.133447
32,14.364599
33,13.651501
34,12.989904
35,12.375848
36,11.805669
37,11.275958
38,10.783566
39,10.325572
40,9.899278
41,9.502193
42,9.132021
43,8.786637
44,8.4640875
45,8.162577
46,7.88045
47,7.616189
48,7.3683987
49,7.135795
50,6.917206
51,6.711552
52,6.5178494
53,6.335192
54,6.1627517
55,5.9997706
56,5.845553
57,5.699466
58,5.560929
59,5.429406
60,5.304409
61,5.1854935
62,5.072246
63,4.964295
64,4.861291
65,4.762918
66,4.6688867
67,4.578924
68,4.4927883
69,4.4102488
70,4.331095
71,4.2551346
72,4.182186
73,4.1120844
74,4.044674
75,3.979812
76,3.917366
77,3.8572104
78,3.7992315
79,3.7433217
80,3.6893783
81,3.6373086
82,3.5870247
83,3.5384424
84,3.4914865
85,3.4460807
86,3.4021585
87,3.3596556
88,3.3185108
89,3.2786653
90,3.2400649
91,3.2026594
92,3.1663992
93,3.1312373
94,3.0971305
95,3.0640366
96,3.0319164
97,3.0007315
98,2.9704466
99,2.9410264
100,2.9124396
101,2.884654
102,2.8576396
103,2.8313665
104,2.8058114
105,2.7809432
106,2.7567403
107,2.733177
108,2.7102306
109,2.6878796
110,2.6661007
111,2.6448758
112,2.6241834
113,2.6040068
114,2.584326
115,2.5651243
116,2.5463843
117,2.5280907
118,2.510228
119,2.4927795
120,2.4757323
121,2.4590738
122,2.442788
123,2.426864
124,2.411288
125,2.3960497
126,2.381136
127,2.3665357
128,2.35224
129,2.3382382
130,2.324519
131,2.3110747
132,2.2978954
133,2.2849712
134,2.2722952
135,2.2598584
136,2.2476542
137,2.235674
138,2.2239103
139,2.2123566
140,2.2010062
141,2.1898527
142,2.17889
143,2.1681123
144,2.1575131
145,2.147087
146,2.1368299
147,2.126736
148,2.1167994
149,2.1070168
150,2.0973837
151,2.0878944
152,2.0785458
153,2.0693338
154,2.0602548
155,2.0513048
156,2.042481
157,2.0337787
158,2.025195
159,2.0167265
160,2.0083714
161,2.0001264
162,1.991988
163,1.9839548
164,1.9760219
165,1.9681894
166,1.960454
167,1.9528135
168,1.9452652
169,1.9378074
170,1.9304391
171,1.9231567
172,1.9159591
173,1.9088445
174,1.9018116
175,1.894857
176,1.8879815
177,1.8811823
178,1.874458
179,1.8678066
180,1.8612283
181,1.8547205
182,1.8482826
183,1.8419132
184,1.8356097
185,1.8293738
186,1.8232018
187,1.8170934
188,1.8110489
189,1.8050649
190,1.7991432
191,1.7932806
192,1.7874764
193,1.7817309
194,1.7760414
195,1.7704103
196,1.7648337
197,1.7593112
198,1.7538434
199,1.7484282
200,1.7430657
201,1.7377551
202,1.7324947
203,1.7272854
204,1.7221249
205,1.7170142
206,1.7119516
207,1.7069362
208,1.7019681
209,1.6970463
210,1.6921703
211,1.6873395
212,1.6825539
213,1.6778126
214,1.6731136
215,1.668458
216,1.6638451
217,1.6592741
218,1.6547444
219,1.6502554
220,1.6458074
221,1.6413977
222,1.6370292
223,1.6326979
224,1.6284056
225,1.624151
226,1.6199338
227,1.6157534
228,1.6116098
229,1.6075021
230,1.60343
231,1.5993925
232,1.59539
233,1.5914217
234,1.5874873
235,1.583586
236,1.5797172
237,1.575881
238,1.5720776
239,1.5683054
240,1.5645641
241,1.5608542
242,1.5571748
243,1.5535256
244,1.5499058
245,1.5463152
246,1.542753
247,1.5392199
248,1.5357151
249,1.5322372
250,1.5287871
251,1.5253643
252,1.5219679
253,1.5185975
254,1.5152539
255,1.5119355
256,1.5086421
257,1.5053737
258,1.50213
259,1.4989111
260,1.4957155
261,1.4925431
262,1.4893948
263,1.4862694
264,1.4831659
265,1.4800853
266,1.4770265
267,1.473989
268,1.4709733
269,1.4679786
270,1.4650054
271,1.4620527
272,1.4591193
273,1.4562066
274,1.4533131
275,1.450439
276,1.4475849
277,1.4447496
278,1.4419308
279,1.4391326
280,1.4363515
281,1.4335889
282,1.4308432
283,1.4281149
284,1.4254043
285,1.4227101
286,1.4200324
287,1.4173709
288,1.4147266
289,1.4120975
290,1.4094841
291,1.4068862
292,1.4043036
293,1.4017353
294,1.3991829
295,1.3966444
296,1.3941209
297,1.3916113
298,1.3891159
299,1.3866339
300,1.3841662
301,1.3817112
302,1.3792701
303,1.3768421
304,1.3744264
305,1.3720239
306,1.3696342
307,1.367256
308,1.364891
309,1.3625373
310,1.360195
311,1.3578658
312,1.3555468
313,1.353241
314,1.3509443
315,1.3486601
316,1.3463863
317,1.3441237
318,1.3418709
319,1.3396295
320,1.3373989
321,1.3351774
322,1.3329664
323,1.3307658
324,1.3285743
325,1.3263931
326,1.3242215
327,1.3220588
328,1.3199065
329,1.317762
330,1.3156279
331,1.3135027
332,1.3113858
333,1.3092781
334,1.307179
335,1.3050883
336,1.3030062
337,1.3009329
338,1.2988673
339,1.2968103
340,1.2947613
341,1.2927202
342,1.2906872
343,1.2886621
344,1.2866446
345,1.2846347
346,1.2826325
347,1.2806374
348,1.27865
349,1.27667
350,1.274697
