,Loss
0,42.75432
1,41.92685
2,41.11225
3,40.311768
4,39.52612
5,38.75559
6,38.00019
7,37.2598
8,36.534195
9,35.823143
10,35.12641
11,34.443745
12,33.77488
13,33.11958
14,32.477608
15,31.848705
16,31.232656
17,30.629213
18,30.038153
19,29.45924
20,28.892256
21,28.33698
22,27.7932
23,27.260702
24,26.739279
25,26.228727
26,25.728846
27,25.239433
28,24.7603
29,24.29125
30,23.832104
31,23.382671
32,22.94278
33,22.512241
34,22.090885
35,21.67854
36,21.275034
37,20.880203
38,20.493883
39,20.11591
40,19.746119
41,19.384363
42,19.030485
43,18.684328
44,18.345749
45,18.01459
46,17.690708
47,17.37396
48,17.06421
49,16.761312
50,16.465132
51,16.175533
52,15.892387
53,15.615555
54,15.344915
55,15.080334
56,14.8216915
57,14.568868
58,14.321736
59,14.080181
60,13.844087
61,13.6133375
62,13.387819
63,13.167424
64,12.952043
65,12.741564
66,12.535888
67,12.334911
68,12.138532
69,11.946649
70,11.759167
71,11.575988
72,11.397019
73,11.222167
74,11.051346
75,10.8844595
76,10.721423
77,10.562156
78,10.406567
79,10.254579
80,10.106109
81,9.961076
82,9.819406
83,9.681018
84,9.545842
85,9.413804
86,9.284831
87,9.158852
88,9.035798
89,8.915605
90,8.798203
91,8.683527
92,8.571515
93,8.462104
94,8.355233
95,8.250843
96,8.148874
97,8.049271
98,7.951974
99,7.856932
100,7.7640877
101,7.673392
102,7.584792
103,7.4982376
104,7.413678
105,7.3310637
106,7.2503514
107,7.171493
108,7.094443
109,7.0191593
110,6.945596
111,6.8737135
112,6.8034687
113,6.734821
114,6.6677337
115,6.6021643
116,6.5380783
117,6.4754395
118,6.4142075
119,6.354354
120,6.295839
121,6.2386303
122,6.1826963
123,6.1280055
124,6.074527
125,6.022232
126,5.971087
127,5.921066
128,5.8721404
129,5.8242836
130,5.777466
131,5.7316647
132,5.686852
133,5.643004
134,5.6000953
135,5.558105
136,5.5170074
137,5.476782
138,5.4374056
139,5.398858
140,5.361118
141,5.3241653
142,5.2879806
143,5.252544
144,5.217838
145,5.1838436
146,5.1505423
147,5.117917
148,5.085953
149,5.0546317
150,5.0239377
151,4.993857
152,4.9643717
153,4.9354696
154,4.9071336
155,4.8793526
156,4.852112
157,4.8253975
158,4.7991967
159,4.773498
160,4.748288
161,4.723556
162,4.699289
163,4.675477
164,4.652108
165,4.629172
166,4.6066585
167,4.584557
168,4.562857
169,4.5415506
170,4.5206275
171,4.5000777
172,4.4798937
173,4.4600663
174,4.440587
175,4.421447
176,4.40264
177,4.384157
178,4.3659906
179,4.348134
180,4.330579
181,4.313319
182,4.296347
183,4.279657
184,4.263243
185,4.247097
186,4.231215
187,4.215589
188,4.200214
189,4.1850853
190,4.1701956
191,4.155541
192,4.1411157
193,4.1269135
194,4.112932
195,4.099165
196,4.085607
197,4.072255
198,4.059103
199,4.0461483
200,4.0333853
201,4.0208106
202,4.0084205
203,3.99621
204,3.9841764
205,3.9723153
206,3.960623
207,3.9490972
208,3.9377327
209,3.926527
210,3.915477
211,3.9045799
212,3.8938315
213,3.8832307
214,3.8727722
215,3.8624554
216,3.852276
217,3.8422318
218,3.83232
219,3.8225386
220,3.8128848
221,3.803356
222,3.7939496
223,3.7846644
224,3.7754967
225,3.7664454
226,3.7575078
227,3.748682
228,3.7399664
229,3.731358
230,3.7228563
231,3.7144582
232,3.706163
233,3.6979673
234,3.6898706
235,3.6818712
236,3.6739676
237,3.6661575
238,3.6584399
239,3.650813
240,3.6432753
241,3.635826
242,3.6284626
243,3.6211846
244,3.6139903
245,3.6068785
246,3.5998483
247,3.5928981
248,3.5860262
249,3.579232
250,3.5725148
251,3.5658727
252,3.5593052
253,3.5528104
254,3.5463877
255,3.5400362
256,3.5337558
257,3.5275438
258,3.5214
259,3.515324
260,3.5093145
261,3.5033703
262,3.4974911
263,3.4916759
264,3.4859233
265,3.4802337
266,3.4746053
267,3.4690375
268,3.4635303
269,3.4580822
270,3.452692
271,3.44736
272,3.4420853
273,3.4368672
274,3.431705
275,3.4265978
276,3.4215453
277,3.4165468
278,3.4116023
279,3.40671
280,3.4018698
281,3.3970816
282,3.3923442
283,3.3876574
284,3.3830204
285,3.3784332
286,3.3738947
287,3.369405
288,3.3649628
289,3.3605685
290,3.356221
291,3.3519197
292,3.3476648
293,3.3434553
294,3.3392909
295,3.3351712
296,3.3310952
297,3.3270636
298,3.323075
299,3.3191297
300,3.3152266
301,3.3113654
302,3.307546
303,3.3037684
304,3.3000307
305,3.296334
306,3.2926774
307,3.2890608
308,3.2854831
309,3.2819445
310,3.2784443
311,3.274983
312,3.271559
313,3.2681725
314,3.2648232
315,3.2615108
316,3.2582347
317,3.2549946
318,3.2517903
319,3.248622
320,3.245488
321,3.242389
322,3.2393243
323,3.236294
324,3.2332976
325,3.2303343
326,3.227404
327,3.2245069
328,3.2216418
329,3.2188094
330,3.2160084
331,3.2132392
332,3.2105012
333,3.207794
334,3.2051177
335,3.202472
336,3.1998556
337,3.1972694
338,3.1947129
339,3.1921852
340,3.1896865
341,3.1872163
342,3.1847744
343,3.1823606
