,Loss
0,137.52332
1,121.235725
2,106.507454
3,93.4036
4,81.88518
5,71.84615
6,63.151394
7,55.658825
8,49.229256
9,43.731388
10,39.044075
11,35.05732
12,31.672266
13,28.800879
14,26.365393
15,24.297752
16,22.53898
17,21.038492
18,19.753334
19,18.647396
20,17.690546
21,16.857838
22,16.128712
23,15.48626
24,14.916616
25,14.408379
26,13.952159
27,13.540191
28,13.166036
29,12.824301
30,12.510455
31,12.220685
32,11.951747
33,11.700872
34,11.465707
35,11.244223
36,11.034686
37,10.835611
38,10.645719
39,10.463908
40,10.289246
41,10.120928
42,9.958263
43,9.800668
44,9.647636
45,9.498746
46,9.353633
47,9.211986
48,9.073543
49,8.938074
50,8.805397
51,8.675341
52,8.54777
53,8.422558
54,8.299605
55,8.178822
56,8.060124
57,7.943451
58,7.8287354
59,7.7159295
60,7.60498
61,7.4958463
62,7.3884864
63,7.282866
64,7.1789503
65,7.0767083
66,6.9761114
67,6.877134
68,6.779747
69,6.6839247
70,6.589646
71,6.4968863
72,6.4056225
73,6.3158374
74,6.227502
75,6.140604
76,6.0551205
77,5.9710293
78,5.8883142
79,5.806957
80,5.7269363
81,5.6482363
82,5.5708394
83,5.494725
84,5.4198785
85,5.3462815
86,5.273918
87,5.202772
88,5.1328235
89,5.0640593
90,4.9964623
91,4.930015
92,4.864705
93,4.800512
94,4.7374244
95,4.675424
96,4.6144986
97,4.5546308
98,4.495805
99,4.4380093
100,4.3812256
101,4.325442
102,4.2706428
103,4.216811
104,4.1639395
105,4.1120076
106,4.0610046
107,4.0109134
108,3.9617248
109,3.913421
110,3.865992
111,3.81942
112,3.773697
113,3.728807
114,3.6847374
115,3.641475
116,3.5990078
117,3.5573244
118,3.5164082
119,3.4762492
120,3.4368389
121,3.3981602
122,3.360202
123,3.3229518
124,3.2864003
125,3.2505352
126,3.2153444
127,3.1808164
128,3.146941
129,3.1137066
130,3.081101
131,3.0491157
132,3.0177395
133,2.9869611
134,2.9567702
135,2.9271567
136,2.898111
137,2.8696227
138,2.841681
139,2.8142784
140,2.7874043
141,2.7610486
142,2.7352028
143,2.7098575
144,2.685002
145,2.6606326
146,2.6367338
147,2.6133008
148,2.5903256
149,2.5677981
150,2.54571
151,2.5240543
152,2.5028226
153,2.4820065
154,2.4615993
155,2.4415922
156,2.4219778
157,2.4027505
158,2.3839016
159,2.3654237
160,2.347311
161,2.3295548
162,2.3121498
163,2.2950895
164,2.2783659
165,2.2619746
166,2.2459064
167,2.2301593
168,2.214723
169,2.1995945
170,2.1847653
171,2.1702313
172,2.155987
173,2.1420262
174,2.1283438
175,2.1149335
176,2.1017919
177,2.0889113
178,2.076289
179,2.0639184
180,2.0517957
181,2.0399144
182,2.0282714
183,2.016862
184,2.0056806
185,1.9947227
186,1.9839866
187,1.9734646
188,1.9631548
189,1.9530512
190,1.9431502
191,1.9334478
192,1.9239416
193,1.9146267
194,1.9054986
195,1.8965552
196,1.8877922
197,1.8792045
198,1.8707907
199,1.8625468
200,1.8544685
201,1.8465533
202,1.8387982
203,1.8312011
204,1.8237559
205,1.8164613
206,1.8093134
207,1.8023111
208,1.7954508
209,1.7887287
210,1.7821434
211,1.7756904
212,1.7693692
213,1.7631754
214,1.7571063
215,1.7511605
216,1.7453358
217,1.739629
218,1.7340385
219,1.7285595
220,1.7231928
221,1.7179356
222,1.7127831
223,1.7077366
224,1.7027913
225,1.6979475
226,1.6932011
227,1.6885504
228,1.6839945
229,1.6795309
230,1.675157
231,1.6708719
232,1.6666739
233,1.6625609
234,1.6585305
235,1.6545814
236,1.6507127
237,1.6469208
238,1.6432062
239,1.6395664
240,1.6360004
241,1.6325052
242,1.6290795
243,1.6257244
244,1.6224362
245,1.6192135
246,1.6160553
247,1.61296
248,1.6099257
249,1.6069523
250,1.6040381
251,1.601182
252,1.5983835
253,1.5956383
254,1.5929483
255,1.5903113
256,1.5877255
257,1.5851909
258,1.5827057
259,1.5802696
260,1.5778797
261,1.5755364
262,1.5732384
263,1.5709858
264,1.5687749
265,1.5666075
266,1.5644816
267,1.5623953
268,1.5603485
269,1.5583401
270,1.5563703
271,1.5544379
272,1.5525404
273,1.5506781
274,1.548849
275,1.5470554
276,1.5452936
