,True,Predicted
0,-0.6874579,-0.80293065
1,0.800181,0.5318116
2,1.8930651,1.5967504
3,-1.2781584,-1.1202714
4,-0.7491603,-0.8902869
5,0.85623765,0.13074638
6,0.71459734,0.8203976
7,2.5405045,2.09772
8,0.27750808,-0.067442775
9,1.9763311,2.1183252
10,-0.4161962,-0.15826797
11,-0.7890706,-1.1238384
12,0.7327326,0.426013
13,-0.26265413,-0.1080675
14,-0.8923674,-0.93855286
15,2.3871896,2.2247524
16,-0.8003573,-0.913409
17,1.0824307,0.9835291
18,-0.91705596,-0.8416885
19,-0.45861948,-0.72355986
20,0.23105893,0.06340641
21,0.77086574,0.6628592
22,1.0435706,1.0618831
23,0.719428,0.34720176
24,-0.814437,-1.1137362
25,-0.98419344,-1.4751693
26,1.7304987,1.4898653
27,0.8832262,0.77129894
28,0.2930304,0.20033473
29,2.0316548,1.567552
30,1.1488065,0.7089062
31,0.5095212,0.28824455
32,1.4149467,1.1316777
33,-1.2830038,-1.4310672
34,0.13485436,0.11246127
35,0.6102223,0.15216404
36,-0.7297318,-0.9514539
37,1.9951335,1.6768451
38,-0.78023034,-1.0415657
39,-1.2071924,-1.5185556
40,0.20942172,0.19879067
41,-1.1098081,-1.0415657
42,1.1808666,1.296496
43,1.3828832,1.2894647
44,0.15149868,0.25327644
45,0.686697,0.53893864
46,-1.000393,-0.89068496
47,-1.1896764,-1.33663
48,1.1455673,0.7815781
49,0.4711483,0.16935116
50,-0.5740243,-0.87724817
51,0.64360976,0.48699194
52,0.90219045,0.71134293
53,0.17234294,0.105742276
54,1.7722063,1.6238893
55,-1.5471625,-1.8605187
56,0.5098564,0.14672546
57,0.7446506,0.73794675
58,0.8564188,0.51935613
59,0.7275417,0.8051875
60,0.034427613,-0.29149142
61,-0.92213464,-1.1728576
62,1.1683432,1.1707835
63,-0.94158584,-1.2989452
64,0.80061185,0.47640932
65,1.9113014,1.5424002
66,0.019592308,-0.020711243
67,0.133564,0.14661986
68,-1.2580462,-1.315274
69,-0.43968138,-0.64973974
70,-1.0003686,-0.93118083
71,0.5370882,0.24105442
72,0.55184305,0.2234208
73,0.04814004,0.03133507
74,-0.6192805,-0.80293065
75,1.5661168,1.4018768
76,0.01244306,-0.031723022
77,-0.6352459,-0.8280188
78,0.040423166,-0.4306773
79,-0.4701976,-0.46583414
80,1.4577135,1.289274
81,0.5526306,0.4150108
82,0.77234405,0.8276832
83,0.9807094,0.8759955
84,0.20174484,-0.17775095
85,-0.46179098,-0.49432752
86,-0.14838643,-0.42908394
87,-0.73869044,-0.7190923
88,0.17283656,-0.31542796
89,-0.14774288,-0.2676798
90,0.65869504,0.7537411
91,0.53416646,0.40943056
92,0.58907634,0.2516691
93,0.21004969,0.0193187
94,0.8270666,0.49861246
95,-0.7225286,-0.93118083
96,1.0087581,0.93261385
97,0.4824507,0.2571298
98,-0.120851435,-0.30704385
99,0.76418126,0.14664131
