,True,Predicted
0,-0.8003573,-0.7296503
1,0.047670443,-0.07684755
2,-2.3239467,-2.5871818
3,0.5095212,0.62252283
4,0.719428,-0.18898523
5,0.77234405,0.797017
6,0.41013256,0.47142887
7,-1.2782162,-1.2321479
8,-3.3048854,-2.2716644
9,0.4824507,0.44538736
10,0.90219045,0.500571
11,-0.7491603,-0.7932079
12,0.17234294,-0.17103815
13,1.9669791,1.1094999
14,1.4689919,1.5254903
15,0.2929385,0.40381217
16,-1.056677,-1.0796473
17,-0.4161962,-0.45965314
18,1.1488065,0.49396276
19,0.36615875,0.28431225
20,0.4840704,0.10146356
21,0.5526306,0.53978443
22,-0.7225286,-0.93311423
23,-0.7919375,-1.115191
24,0.7748755,0.9687977
25,0.80061185,0.9477546
26,0.7993344,0.83765936
27,0.77086574,0.81748736
28,0.019592308,0.06178218
29,-0.11308047,-0.09030509
30,0.11918639,0.13299465
31,-1.0003686,-0.93311423
32,-2.3245595,-2.09315
33,-1.2135348,-1.4610159
34,0.8910364,0.5275142
35,1.9880385,1.6493833
36,-0.6281448,-0.74795866
37,1.8757458,1.6572118
38,2.7311451,2.728949
39,0.034427613,-0.5549201
40,0.58193046,0.47292447
41,-1.1098081,-1.3695638
42,-1.2003382,-1.523061
43,0.39774626,0.1908867
44,-2.3241444,-2.5731733
45,1.4577135,1.4055648
46,0.47770604,-0.25254023
47,-0.7890706,-1.11692
48,1.0824307,0.5914726
49,0.8832262,0.70258546
50,-0.9167341,-0.98839855
51,0.5097442,0.2942028
52,-0.120851435,0.025078773
53,-1.2681459,-1.6540797
54,1.6701412,0.8972988
55,0.15149868,-0.10533321
56,1.4650922,1.5112553
57,-1.000393,-0.92948884
58,-1.1896764,-1.021224
59,-2.2677207,-2.5856054
60,0.13485436,0.1935795
61,-1.278131,-1.3339157
62,0.49887684,0.07196612
63,-0.8252466,-1.372894
64,0.64360976,0.36000872
65,-1.2580462,-1.5327199
66,0.07555245,-0.06747007
67,-0.19249193,-0.5432441
68,0.7327326,0.48446846
69,1.5660381,1.6808937
70,-0.27347574,-0.5161419
71,1.1808666,1.6585138
72,1.8630571,1.3677759
73,0.479922,-0.08314276
74,-0.8923674,-0.8791797
75,1.1510519,1.124372
76,0.53644323,0.3720312
77,0.6906839,0.6032853
78,0.27750808,-0.041543007
79,-0.4701976,-0.5541389
80,1.0673794,0.9076123
81,1.0091424,0.85054195
82,0.63961315,0.66890734
83,0.10896456,-0.13350981
84,-1.545784,-1.6931432
85,0.73219657,0.44538832
86,-0.92213464,-0.88352966
87,-0.9553131,-1.4890313
88,-0.6352459,-0.7771549
89,-0.73869044,-0.9903889
90,-0.29643366,-0.49652982
91,-0.73003554,-0.9388179
92,-0.5622599,-0.8097756
93,-0.34915563,-0.90379405
94,-1.5458086,-1.8104941
95,0.21578422,-0.0015389919
96,2.0666347,1.8545957
97,-0.6874579,-0.7783954
98,1.1575693,0.35989237
99,1.1455673,0.80997515
100,1.6768658,1.6100111
101,-0.56564635,-0.8791797
102,-3.6509411,-2.4250267
103,1.5621963,1.2471101
104,0.4332572,0.20562527
105,-0.94158584,-1.6540797
106,0.7446506,0.8784959
107,0.686697,0.61317706
108,2.5405045,1.7233074
109,0.13239636,0.20513296
110,-1.5464045,-1.3427497
111,0.5046601,0.50021315
112,-0.46179098,-0.36866713
113,0.15195937,0.0060391426
114,2.0321748,1.2543002
115,-0.7134674,-0.97623205
116,0.73386645,0.45103168
117,0.55184305,0.069232225
118,-0.7297318,-0.7851698
119,1.1683432,1.0386987
120,-0.26311576,-0.25351906
121,0.85623765,-0.006725073
122,-0.43968138,-0.7661314
123,0.32274762,0.18927407
124,1.2156414,0.82839453
125,1.4149467,0.86169124
126,-2.1173918,-1.9275289
127,0.3432056,-0.064778805
128,-1.5471625,-1.8451928
129,1.6342785,1.5000975
130,-0.7291166,-0.86959904
131,0.61060286,0.24097109
132,0.25292557,0.36744332
133,0.827645,0.717232
134,-2.3247092,-2.699725
135,0.53416646,0.45392036
136,-1.1454453,-1.4665442
137,1.322129,1.0771725
138,-2.2687135,-2.5833137
139,1.0087581,0.9019214
140,1.6923054,1.0412772
141,0.20174484,-0.118402004
142,-1.7133062,-1.7938924
143,1.0697817,1.4974756
144,0.6102223,0.19710064
145,2.102852,1.8461528
146,0.13464436,0.20064503
147,-0.24817201,-0.22541392
148,0.027554085,0.007376194
149,-0.98419344,-0.9454074
150,2.426607,2.0748384
151,-1.244636,-1.021224
152,-0.92450315,-0.9476638
153,0.800181,1.0967839
154,0.10020978,-0.25482607
155,0.42849466,0.658905
156,0.2440414,0.06049037
157,-0.5740243,-0.83080435
158,0.11592068,-0.48922443
159,0.5821951,0.4452145
160,1.749514,1.1203842
161,0.5155893,0.25590372
162,0.011306508,-0.4039266
163,2.0363967,1.5249541
164,0.8467829,0.10538933
165,-0.060538214,-0.5613549
166,-0.474634,-1.3407738
167,0.21436228,0.13968134
168,1.8930651,1.975189
169,1.60157,1.5203967
170,-1.1390865,-1.3295083
171,0.25528795,0.206743
172,1.7722063,2.0007267
173,0.58907634,0.2530182
174,-0.9213248,-0.8028817
175,0.76418126,0.113655925
176,0.01244306,-0.2323463
177,0.70060503,-0.3536867
178,0.5370882,0.42007828
179,0.5312186,0.50751495
180,1.2544996,1.5911579
181,-0.71703744,-0.79494
182,-0.9259614,-1.0439172
183,0.23105893,0.5402093
184,0.76873213,0.64324355
185,0.97743684,0.62671566
186,-0.6192805,-0.7783954
187,-1.0564555,-1.115191
188,0.5087775,-0.03429079
189,0.7275417,0.81597567
190,-0.24813616,-0.3272816
191,-1.7138122,-1.8097258
192,-1.2071924,-1.4338686
193,0.8270666,0.5201559
194,-0.12745352,-0.1845932
195,1.6409118,1.278096
196,0.65963674,0.42334676
197,0.15124168,0.23812437
198,0.04669668,-0.19931412
199,-0.037877936,-0.2708764
200,0.5878995,0.2452352
201,0.46567822,0.35272384
202,-1.3592912,-1.3716426
203,0.68660325,0.61369395
204,0.8152299,0.5513809
205,0.5098564,0.38672924
