,True,Predicted
0,1.9404862,1.2225492
1,2.426607,1.3650658
2,-0.6874579,-1.1636262
3,1.3251637,0.9019934
4,2.102852,1.4345503
5,-1.1094638,-1.3332175
6,-1.2071924,-0.44843185
7,0.49887684,0.74025923
8,1.8630571,0.9093521
9,0.42849466,-1.1759497
10,1.9229301,0.902377
11,-2.26766,-0.94494456
12,-0.5622599,-1.2239456
13,0.2440414,0.03938158
14,1.1683432,0.9144843
15,-1.2580462,-0.6297738
16,1.6342785,-0.19897132
17,-0.24797173,-0.72361535
18,0.47373644,-0.116160326
19,-0.46179098,-0.07891421
20,-2.2687135,-0.9578325
21,1.0675875,0.6662887
22,1.0087581,0.6464881
23,1.6701412,0.7503489
24,0.82673764,0.12330508
25,0.47770604,0.9294798
26,-2.2677207,-1.0836077
27,0.47143605,0.85911816
28,0.65963674,0.034584
29,0.58193046,-0.1360077
30,0.46567822,0.42958787
31,0.76873213,-0.022654548
32,1.60157,1.1254158
33,0.40019456,-0.5725465
34,0.027554085,-0.17893781
35,0.85641885,0.6131812
36,-2.3241444,-1.712015
37,0.4332572,0.48955798
38,0.76418126,-0.1922757
39,-0.9213248,-0.9674927
40,0.32274762,-0.32813329
41,1.0293996,1.2799696
42,0.53393537,1.0924153
43,0.036125537,0.22241065
44,-0.7890706,-0.73871064
45,-1.1896764,-1.1701217
46,0.97743684,1.1018007
47,-0.9651222,-1.375948
48,1.0435706,0.274462
49,0.046828523,-0.64013875
50,0.4642562,0.40980962
51,1.4577135,0.19538763
52,-1.3592912,-1.3803892
53,0.7275417,0.6624699
54,-0.14774288,-0.9916672
55,-0.94158584,-0.5651967
56,2.3871896,1.2334307
57,0.61060286,-0.17764626
58,-0.26311576,-0.21302079
59,1.083255,0.48840627
60,0.10896456,-0.4305446
61,0.5312186,0.18822025
62,0.48295185,1.2547266
63,1.1488065,0.021586277
64,0.17390664,0.2520442
65,-0.7291166,-1.2343986
66,1.1510519,1.0498837
67,-0.037877936,-0.1563047
68,1.4096456,0.48493344
69,0.8564188,0.16207176
70,0.5155893,0.9675462
71,-2.3247092,-1.5733594
72,-2.3245595,-1.2494539
73,0.53644323,0.05440779
74,-1.2003382,-0.33263797
75,1.7304987,0.473036
76,-1.1454453,-1.1838695
77,1.2156414,-0.100729406
78,0.04814004,-0.55160916
79,-0.27347574,0.61000925
80,1.1946719,1.172326
81,1.1673307,1.5268317
82,1.322129,0.900666
83,1.9763311,1.1663613
84,-0.24817201,-0.7060937
85,0.5526306,0.68599284
86,0.80061185,0.9909592
87,0.5370882,-0.08044009
88,0.5878995,-0.10948293
89,0.17234294,0.31563044
90,1.5189587,0.7414158
91,0.07555245,-0.2281521
92,1.2544996,1.220649
93,1.5660381,0.96670043
94,0.7327326,0.26554403
95,-0.060538214,0.3502177
96,-0.9553131,-1.3600494
97,2.0363967,1.0725151
98,-0.6352459,-0.49995917
99,-1.545784,-0.36644495
100,0.27750808,-0.47473556
101,-1.278131,-1.375948
102,-0.4701976,0.36886513
103,0.25292557,-0.06155821
104,1.2437721,1.085445
105,-1.5458086,-0.43089437
106,-1.1390865,-0.4102527
107,-0.7225286,-1.4192793
108,-0.7134674,-0.7803668
109,0.35859603,-0.6712681
110,0.47273868,1.0974755
111,1.4650922,1.6847417
112,0.7993344,-0.15805025
113,1.749514,-0.29699886
114,0.047670443,-0.6246325
115,1.0697817,0.65522957
116,-0.926217,-0.11223537
117,0.719428,0.53393316
118,0.13485436,-0.55712783
119,-0.29643366,0.14918916
120,0.36615875,0.073696464
121,0.13239636,0.27151763
122,0.13464436,-0.41350213
123,-0.14820065,-1.1347294
124,0.21004969,-0.47473556
125,-0.6281448,-0.3644485
126,0.21578422,0.07636556
127,0.034253597,0.18458173
128,1.7955437,0.8729618
129,-2.2678,-0.6739693
130,0.8152299,0.16570307
131,0.133564,0.0383953
132,0.85623765,-0.24221896
133,0.5097442,0.5021275
134,-0.11308047,-0.24399859
135,1.1575693,0.55231696
136,0.64360976,1.2257599
137,0.4329867,0.23201823
138,-0.45861948,0.073946506
139,0.6102223,-0.15384506
140,0.8910364,-0.15381351
141,-0.6448198,-0.38487095
142,0.2930304,0.8851933
143,0.3432056,-0.47473556
144,0.8832262,1.602716
145,-0.6192805,-1.1636262
146,0.26204902,-0.5060177
147,-1.7138122,-0.7212254
148,-1.5471625,-0.31625777
149,0.800181,0.9133622
150,-1.2681459,-0.5651967
151,1.9880385,1.6357592
152,1.7302095,0.6202325
153,1.5621963,-0.60914314
154,1.1461456,0.8548357
155,-0.92450315,-0.990522
156,0.58907634,-0.43417802
157,-0.14838643,-1.0061779
158,-0.24813616,-0.7323248
159,-1.2135348,-0.31345695
160,-1.0003686,-1.4192793
161,0.23105893,-0.43707067
162,0.68660325,-0.13057543
163,-3.6509411,-0.03804578
164,-0.1306244,0.8570357
165,-0.9259614,-0.5905873
166,0.5344425,-0.034459516
167,0.019592308,-0.18630618
168,-0.92213464,-0.9871651
169,-0.56564635,-1.147104
170,0.7446506,-0.30902565
171,0.6240875,0.7249204
172,0.8270666,0.98657084
173,0.4820151,1.0565685
174,0.11592068,-0.2658421
175,0.90219045,-0.13391952
176,0.10020978,0.03992319
177,0.011306508,-0.7383424
178,-2.7141771,0.42430198
179,2.7311451,1.2999336
180,0.15149868,0.39706227
181,0.21337663,-0.07296561
182,2.0666347,0.9846542
183,-0.9167341,-0.83792865
184,1.5661168,0.53553355
185,0.21436228,-0.024055347
186,0.73219657,-0.020911112
187,-0.89507,-1.2039177
188,-1.5464045,-0.10002786
189,0.51583374,0.6211239
190,1.0824307,0.5025755
191,1.8757458,0.5984617
192,-0.8923674,-1.147104
193,-0.7919375,-0.8935399
194,-0.34915563,-1.0250114
195,-0.91705596,-0.7803668
196,-2.3239467,-1.5620726
197,-0.3464313,-1.0393814
198,1.8930651,1.5481509
199,-0.92667454,-0.60055035
200,-1.1098081,-1.2707814
201,1.2035927,1.4052731
202,0.5156098,0.89128995
203,-1.2830038,-1.1838695
204,1.4689919,0.6724667
205,0.5087775,-0.3886038
206,0.6098964,-0.291884
207,-1.2782162,-1.4359771
208,0.70060503,0.5974512
209,0.41001546,0.041142084
210,0.73386645,-0.10807395
211,1.6409118,0.5384277
212,1.0539855,0.7192769
213,0.53416646,-0.16811828
214,0.6906839,-0.3135056
215,-0.08476996,-0.36994582
216,0.4711483,0.9380098
217,0.20174484,-0.39888465
218,-0.78023034,-1.2707814
219,1.3828832,1.2900829
220,2.0765011,1.1561904
221,-0.4161962,0.06285934
222,0.41013256,-0.09807887
223,0.5821951,-0.26499072
224,2.5405045,1.1621606
225,-0.7491603,-0.09448196
226,1.9113014,1.3323834
227,1.6768658,0.573201
228,-0.26265413,-0.3325318
229,0.01244306,-0.8617381
230,0.65869504,0.7055901
231,-0.73003554,-1.3529766
232,-1.0564555,-0.8935399
233,0.823524,1.3899604
234,-0.7865887,-0.62028646
235,0.827645,1.3411956
236,-1.3599339,-1.3600494
237,0.11918639,0.6443098
238,1.0673794,0.661372
239,0.4824507,1.0012671
240,1.9669791,1.403982
241,1.0489893,0.7956635
242,-1.282739,-1.2424566
243,-0.43968138,-0.029199481
244,1.0091424,0.15021482
245,0.20942172,-0.6853375
246,0.37878796,0.13258298
247,-0.73869044,-0.3606242
