,True,Predicted
0,2.3871896,1.835066
1,-0.78023034,-1.0482746
2,1.8630571,0.9827292
3,-1.244636,-1.0822334
4,0.71459734,0.3793529
5,0.8910364,0.6160568
6,0.5097442,-0.17823678
7,1.6890695,1.1532922
8,-0.29643366,-0.182482
9,1.4149467,1.1394951
10,0.48295185,0.43864036
11,1.0673794,0.9827292
12,-1.2830038,-1.169082
13,-1.2071924,-0.3081051
14,0.77086574,0.49197376
15,1.1455673,1.1943587
16,1.0824307,0.9217475
17,1.9880385,1.1394951
18,-0.7491603,-0.3081051
19,0.47273868,0.39517796
20,0.97743684,0.5181217
21,0.55184305,0.41731167
22,0.39774626,0.4418621
23,0.034427613,-0.06069818
24,-1.3592912,-1.4685001
25,0.6906839,-0.06003815
26,0.25292557,-0.06003815
27,1.5661168,1.835066
28,-2.26766,-2.4563193
29,-0.94158584,-1.0983329
30,-0.14820065,-0.31691384
31,-0.11308047,-0.90306354
32,-1.0564555,-1.2144371
33,1.0293996,0.64421797
34,1.2035927,0.5555195
35,-2.3239467,-2.0962253
36,-0.08476996,0.08343759
37,-0.34915563,-0.90308464
38,-0.7297318,-0.46816286
39,0.53416646,0.39910883
40,0.17234294,-0.11585069
41,1.8930651,1.0159129
42,-1.1454453,-1.169082
43,-0.92213464,-0.6884315
44,1.0091424,0.49197376
45,-0.8252466,-0.96237016
46,1.8757458,1.2847911
47,1.7302095,1.7218069
48,0.133564,0.2336297
49,0.4642562,1.1943587
50,1.6923054,1.2464468
51,-1.3555458,-1.9895701
52,0.63961315,0.6615446
53,0.5017595,0.44258964
54,0.13464436,0.50582385
55,0.2440414,-0.51135945
56,0.4820151,0.55117977
57,0.47770604,0.55117977
58,1.0435706,1.1516052
59,1.9113014,0.93257165
60,-2.3247092,-2.0962253
61,-0.46179098,-0.165788
62,1.1461456,2.0134287
63,1.9404862,1.4834318
64,-1.2681459,-1.0983329
65,-1.0003686,-0.72647095
66,0.53644323,0.44258964
67,0.21337663,-0.02987957
68,-0.73003554,-0.46816286
69,1.5660381,1.835066
70,0.11918639,0.41731167
71,1.083255,0.9217475
72,0.827645,0.7368307
73,1.60157,1.1532922
74,0.719428,0.3766119
75,1.1575693,-0.034644842
76,-0.5740243,-0.8653648
77,0.42849466,0.36190394
78,0.5526306,0.5555195
79,0.17390664,-0.11585069
80,0.04814004,-0.13796133
81,-0.24813616,-0.80939513
82,-0.9259614,-1.3829887
83,0.5046601,0.39910883
84,-0.26311576,0.38007343
85,-1.1098081,-1.0482746
86,-0.037877936,-0.3633432
87,-0.26265413,0.38007343
88,-0.12838034,0.41991234
89,1.2544996,0.93257165
90,-0.926217,-1.3829887
91,1.2437721,1.2215075
92,0.07555245,-1.0822334
93,1.0489893,1.2464468
94,0.4332572,-0.004614502
95,1.6768658,1.4353061
96,1.4689919,1.2215075
97,2.102852,1.1532922
98,0.479922,-0.3633432
99,-0.92524916,-1.3829887
100,1.322129,0.8011693
101,1.6701412,0.9217475
102,1.9398143,1.4834318
103,0.8270666,0.7368307
104,0.82673764,-0.3964224
105,0.823524,0.83696127
106,-1.2003382,-0.3081051
107,0.85623765,0.38007343
108,-0.92667454,-1.3829887
109,-0.8923674,-0.90306354
110,0.36615875,0.6160568
111,2.5405045,0.8011693
112,-0.43968138,-0.165788
113,-1.7138122,-1.845924
114,2.7311451,2.6352875
115,1.5621963,0.6615446
116,1.1488065,0.6005441
117,0.47143605,0.39517796
118,0.11592068,-1.0482746
119,-1.2580462,-1.0983329
120,0.35859603,0.41991234
121,0.27750808,0.05109191
122,1.2156414,0.49197376
123,0.49887684,0.83696127
124,0.04669668,-0.3864529
125,0.51583374,0.3793529
126,0.7748755,1.0611279
127,0.58907634,0.50582385
128,0.5344425,0.39910883
129,0.15124168,0.07440853
130,0.58193046,0.6160568
131,-0.7865887,-1.270105
132,1.0539855,1.1516052
133,-0.7890706,-1.270105
134,-1.278131,-1.61057
135,2.0765011,1.4834318
136,0.5821951,0.6160568
137,1.1946719,0.5555195
138,1.0675875,0.9827292
139,0.040423166,-0.7481588
140,0.41001546,0.6005441
141,1.4577135,-0.033215582
142,-0.24797173,-0.80939513
143,-1.000393,-0.72647095
144,0.13485436,0.50582385
145,0.7993344,-0.033215582
146,0.25528795,-0.51135945
147,0.77234405,0.49197376
148,-0.8003573,-1.0983329
149,0.046828523,-0.3864529
150,-1.2782162,-1.61057
151,0.7275417,1.1943587
152,-1.5458086,-1.2806728
153,1.6342785,0.4418621
154,0.10896456,-0.72647095
155,-0.24817201,-0.80939513
156,0.61060286,0.2336297
157,-0.7291166,-0.46816286
158,-3.3048854,-1.8088629
159,0.6098964,0.2336297
160,0.83499926,0.43864036
161,0.53393537,0.7368307
162,-1.2781584,-1.61057
163,-0.82752633,-0.96237016
164,1.4650922,0.9827292
165,0.036125537,-0.06069818
166,1.749514,-0.13796133
167,2.2776124,1.7218069
168,-0.7697523,-0.8653648
169,-2.7141771,-1.8088629
170,-0.474634,-0.96237016
171,-0.9167341,-0.7481588
172,0.85641885,-0.034644842
173,-0.3464313,-0.90308464
174,0.2930304,0.41731167
175,0.5370882,0.44258964
176,0.034253597,-0.06069818
177,0.21004969,0.05109191
178,-0.14838643,-0.31691384
179,1.5189587,0.5181217
180,1.0087581,1.03515
181,0.4824507,0.43864036
182,-0.5622599,-0.6237314
183,2.0363967,1.2464468
184,0.46567822,1.1943587
185,-1.1094638,-1.0482746
186,1.3251637,1.3049135
187,1.1683432,1.2847911
188,-0.91705596,-0.7481588
189,-2.3241444,-2.0962253
190,0.5312186,0.80631053
191,0.65963674,0.44258964
192,0.65869504,-0.17823678
193,-0.6352459,-0.29102755
194,-0.14774288,-0.31691384
195,-1.545784,-1.2806728
196,0.8564188,-0.034644842
197,0.21436228,-0.02987957
198,2.0316548,0.93257165
199,0.15149868,-0.06069818
200,-0.98419344,-1.0822334
201,0.686697,0.80631053
202,-1.056677,-1.2144371
203,1.1801159,1.0159129
204,0.76418126,-0.80939513
205,0.3432056,0.05109191
206,0.90219045,-0.4828682
207,-2.1173918,-1.845924
208,0.13239636,-0.165788
209,0.5878995,-0.51135945
210,1.1673307,0.9217475
211,-1.5471625,-1.2806728
212,0.70060503,0.3766119
213,-0.6448198,-0.29102755
214,0.8152299,-0.4828682
215,0.6240875,-0.11585069
216,0.7327326,0.6005441
217,0.4711483,0.39517796
218,-1.1896764,-1.0822334
219,1.9229301,1.835066
220,-0.7225286,-0.72647095
221,0.68660325,0.80631053
222,0.64360976,0.39517796
223,-2.2678,-2.4563193
224,-0.6281448,-0.29102755
225,-0.120851435,-0.6237314
226,-1.3599339,-1.4685001
227,-0.4701976,-0.182482
228,-0.89507,-0.90306354
229,0.6102223,0.2336297
230,-0.1306244,0.42563212
231,-0.6874579,-0.6237314
232,1.1510519,0.5555195
233,-0.7134674,-0.7481588
234,0.47373644,0.08343759
235,-0.71703744,-0.8653648
236,0.4329867,-0.004614502
237,-0.45861948,-0.165788
238,-3.6509411,-1.8088629
