,True,Predicted
0,2.5700638,2.110747
1,-2.2068565,-2.1598988
2,0.31550035,-0.026624799
3,-2.2340984,-2.015658
4,2.1651952,2.2689214
5,1.7172633,1.5778842
6,-1.3053685,-1.3420999
7,2.090538,2.363666
8,0.6823163,0.7135873
9,-2.2981875,-2.20304
10,0.61919546,0.66574687
11,0.64752513,0.67591953
12,2.2985168,2.5852034
13,-2.278078,-2.3460045
14,0.4221452,0.09278074
15,0.6202423,0.45268548
16,-2.5511038,-1.7266953
17,0.19527087,0.060962737
18,0.42567128,0.022221714
19,2.1720262,2.046637
20,-0.5484918,-0.60457945
21,-1.8688653,-1.603012
22,1.2407477,1.381289
23,1.6307896,1.7465335
24,2.3655674,2.3878937
25,1.7835423,1.7712829
26,2.3007576,2.3130894
27,2.2331576,2.1472805
28,1.7959328,1.6888452
29,-1.0440863,-1.264645
30,-0.19058019,-0.17059869
31,0.20158717,0.022886336
32,-1.8549315,-2.015658
33,0.17565913,0.33400768
34,2.7140524,2.8093219
35,-2.3537157,-2.6088219
36,1.0450363,0.63239425
37,1.2767999,1.3196404
38,-0.4403528,-0.830138
39,0.18298581,-0.13072902
40,-2.3799188,-2.421145
41,0.22976224,-0.17805886
42,-1.0461181,-1.2224392
43,0.10894009,-0.12893817
44,2.239638,2.0659287
45,1.7545531,1.38157
46,2.866876,2.8433604
47,-2.5630991,-2.5412993
48,2.2596614,2.1340861
49,1.9464724,1.7773725
50,0.2630827,0.49908274
51,3.2003274,3.0281618
52,0.5352482,0.5022028
53,2.2995484,1.6095246
54,-1.7325116,-1.7692333
55,1.6603979,1.5288444
56,1.5854547,1.8841733
57,0.42002997,0.6517831
58,-2.5569098,-2.421145
59,-2.339012,-2.1446767
60,-1.9705143,-1.8591346
61,2.485461,2.7434485
62,2.4849656,2.4330986
63,-0.5468098,-0.5698762
64,0.88971263,1.2290862
65,2.2206345,2.3787816
66,-2.2079527,-2.0659847
67,-0.22798787,0.02435267
68,0.532658,0.43220186
69,1.420296,1.9472634
70,-1.8462867,-2.1446767
71,2.2244704,2.1607895
72,0.071296334,0.22093111
73,-0.43705526,-0.3798576
74,1.138701,0.9460244
75,2.3429475,2.3025126
76,-0.2421146,-0.6081395
77,2.4685955,1.9963299
78,-2.1152186,-2.022574
79,-2.379726,-2.0659847
80,0.5989649,0.64343596
81,-0.50946224,-0.49593747
82,1.575639,1.6710086
83,0.3319916,0.54086304
84,1.694116,1.6576924
85,0.1973871,0.04117459
86,2.151256,1.7809433
87,-2.5505362,-3.003215
88,-2.556982,-2.9273152
89,0.4253208,0.5187417
90,2.582165,2.3051138
91,-1.2618347,-1.3420999
92,2.3800287,2.6668987
93,2.5861742,2.2629647
94,2.3118901,2.3897913
95,0.28446618,0.2971232
96,0.3939305,0.15764302
97,2.1416597,2.2338574
98,2.871114,2.637713
99,-0.42036292,-0.68658245
100,0.5473358,0.59657717
101,3.3533902,2.7648802
102,0.90942544,0.79270726
103,-1.4566258,-1.821905
104,2.2286236,2.1352217
105,-0.16262572,-0.8757342
106,2.3301175,2.2326746
107,2.9274845,3.1033788
108,2.299789,2.0788372
109,-1.8071021,-1.8471535
110,3.0912368,2.7221575
111,1.9191349,1.5537622
112,2.2472017,2.250769
113,2.6265686,2.5673206
114,2.6802332,2.7903476
115,0.21833053,0.2637822
116,1.1997318,1.1098616
117,-1.9025083,-2.0550332
118,2.206462,1.7280526
119,1.55271,1.2401334
120,-2.2291112,-2.1167283
121,2.2112277,2.2130032
122,-0.018103743,-0.01774627
123,0.8514749,0.8604791
124,-2.3358243,-2.0433106
125,0.44068572,0.23203552
126,-2.5631301,-2.9442077
127,-0.058806263,0.27313665
128,2.624583,2.6838846
129,2.7027862,2.3320794
130,-2.2975805,-2.1993663
131,2.2497919,1.9419084
132,2.2416444,2.2899752
133,2.2754116,1.9163275
134,-2.5608866,-2.3460045
135,0.8402315,0.8835403
136,1.4290137,0.8077476
137,-2.2911468,-2.8729165
138,2.2127976,2.048745
139,1.7423291,1.7029237
140,1.3725474,1.1631699
141,2.311119,2.0505333
142,2.2616417,2.590876
143,1.7477328,1.6996899
144,1.5258361,1.8183085
145,2.3946333,2.306913
146,-0.5102493,-0.29958355
147,2.1873672,1.972759
148,0.6017146,0.7654464
149,2.229009,2.0418508
150,2.4696078,2.5594091
151,1.3261539,1.1424507
152,2.5832956,2.6252851
153,-0.444255,-0.40965325
154,-2.2920852,-2.5412993
155,0.029803125,0.122397184
156,2.2236047,2.1231556
157,1.773023,1.9751573
158,2.350782,2.558507
159,1.6049016,1.6983513
160,2.192569,1.634112
161,-1.7477977,-1.771181
162,-1.262746,-1.3710802
163,0.26802886,0.15841371
164,-1.7546592,-1.795534
165,2.8145587,2.9287496
166,2.2702312,2.2276022
167,-0.6279301,-0.96065193
168,0.4175516,0.69906783
169,-2.561133,-2.0951743
