,True,Predicted
0,1.3874836,1.4278033
1,2.2596614,1.5797398
2,-2.2340984,-2.5518613
3,0.10894009,-0.41081047
4,2.7027862,1.5252318
5,2.299789,1.018849
6,1.694116,1.1794727
7,2.206526,1.2014409
8,-1.7477977,-3.1909046
9,0.23976324,-0.32584512
10,-2.3799188,-2.8093991
11,2.5861742,2.1298733
12,2.485461,2.3111882
13,-2.5505362,-3.582037
14,1.773023,1.2417641
15,0.5352482,-0.18861222
16,0.3935488,-0.88902235
17,2.2236047,1.8617765
18,2.3118901,2.0017266
19,1.7545531,1.1839592
20,2.3800287,1.5781895
21,-2.556982,-3.2788167
22,1.1997318,0.36340213
23,-0.5102493,-1.0984981
24,-0.19058019,-0.59245527
25,1.9191349,1.089941
26,2.2112277,2.3133368
27,1.420296,1.3301128
28,2.0876863,1.5781821
29,1.3261539,1.2577951
30,-2.379726,-3.5072875
31,2.2985168,1.711343
32,2.1720262,1.4877175
33,-1.4566258,-2.5929797
34,1.7423291,1.4147007
35,-1.8549315,-2.5518613
36,3.2003274,1.7170715
37,0.31550035,-0.7046311
38,2.1416597,2.2460039
39,2.206462,1.7890071
40,0.1973871,-0.35819232
41,-1.262746,-1.8296894
42,0.17565913,0.008026987
43,-2.1152186,-2.7313638
44,2.832927,2.5008337
45,2.7140524,2.236711
46,3.0912368,2.3856893
47,2.311119,1.4621445
48,-1.9025083,-2.3142738
49,1.575639,1.2688365
50,-1.3053685,-1.8852314
51,2.2244704,1.7258116
52,1.9464724,1.2404715
53,0.7433762,0.054818153
54,-1.8688653,-2.1405318
55,1.0450363,0.052357912
56,-0.5484918,-1.3554369
57,1.4290137,0.041866302
58,2.2472017,1.5247877
59,2.582165,2.1273198
60,2.3175108,1.6363062
61,1.3725474,0.65093875
62,1.138701,0.23858714
63,-0.46563858,-0.88447356
64,0.4221452,-0.7383659
65,-0.018103743,-0.59034204
66,2.871114,2.0290504
67,-0.4403528,-1.076986
68,0.5989649,-0.25354314
69,2.2286236,1.6251166
70,0.18298581,-0.50334406
71,-2.561133,-2.7505293
72,2.6265686,1.946636
73,2.2702312,1.5282185
74,1.9807124,1.5042871
75,0.44068572,0.22849727
76,-0.058806263,-0.4189558
77,0.5473358,-0.037930965
78,0.099111065,-0.47718954
79,0.8402315,0.33021113
80,1.55271,1.3206773
81,1.6603979,1.1130416
82,2.2416444,1.4433856
83,0.20158717,-0.13682878
84,1.7959328,0.5248269
85,2.1703694,2.0071354
86,0.532658,-0.5135875
87,-2.5631301,-3.3556118
88,1.6049016,1.3750494
89,-2.2981875,-2.355885
90,1.6296958,1.0218889
91,-1.9705143,-2.2096481
92,2.1651952,1.5652885
93,0.8514749,0.04584813
94,0.61919546,0.39659798
95,2.2331576,1.9918963
96,2.4849656,1.7020433
97,1.7681289,0.82373846
98,-0.42036292,-1.0858289
99,0.66363394,0.14937809
100,-2.2068565,-3.4847245
101,-0.22798787,-0.68395436
102,2.0840824,1.5989465
103,-2.2975805,-2.2674508
104,2.5162148,1.4569128
105,0.21833053,-0.44926536
106,-0.50946224,-1.073695
107,0.19527087,-0.45498407
108,1.7172633,1.4396858
109,1.5258361,0.96768165
110,2.2026563,1.3289174
111,-0.6279301,-1.407155
112,2.6802332,2.2307887
113,2.151256,1.3939073
114,2.1338131,1.5473146
115,0.8193411,0.27291346
116,-2.2291112,-2.5312257
117,1.6307896,0.697191
118,2.1720483,1.545299
119,-2.3537157,-2.9296923
120,2.229009,1.3327725
121,-2.3358243,-2.640102
122,0.537976,-0.31488943
123,-2.5515797,-3.6752977
124,2.2497919,1.3212717
125,-1.0461181,-1.9097663
126,2.2206345,1.8661354
127,-0.4424853,-0.47568774
128,0.6202423,0.2347183
129,1.2767999,0.90709317
130,-1.7546592,-2.3853552
131,2.5700638,1.6123719
132,2.2214642,1.9531138
133,2.3429475,2.2761674
134,2.350782,1.8170677
135,1.7477328,1.3805816
136,0.071296334,0.025133729
137,0.029803125,-1.1783996
138,-0.444255,-1.2775133
139,2.5832956,1.5654479
140,2.1878517,1.1515074
141,2.16533,1.2331802
142,-0.2421146,-1.4516377
143,3.3533902,2.3511271
144,2.3301175,1.1195606
145,2.2995484,1.5802772
146,0.6057214,0.019005276
147,2.192569,1.359815
148,0.42002997,-0.29794812
149,2.2933571,0.9079702
150,-2.2920852,-2.9467292
151,1.5854547,0.74970126
152,-2.5569098,-2.8093991
153,2.8145587,1.9285449
154,1.9445285,1.7951657
155,2.2146194,1.4688916
156,0.64752513,-0.379997
157,2.2561367,1.658247
158,0.2630827,-0.031174898
159,-2.5630991,-2.9467292
160,-1.8022641,-2.355885
161,-0.91866016,-1.9097663
162,-2.278078,-2.9518518
163,-0.43705526,-1.0941207
164,2.4685955,1.9869721
165,0.3939305,0.12896204
166,-2.339012,-2.7184978
167,-1.2618347,-1.8852314
168,0.22717431,-0.06004858
169,2.3007576,2.005629
