,True,Predicted
0,2.2702312,1.2250152
1,0.8514749,0.60972506
2,0.21833053,0.58286726
3,2.2472017,0.80340004
4,-0.50946224,-0.04855928
5,0.029803125,0.5467972
6,2.7140524,-0.14003134
7,-2.5569098,-3.062941
8,1.2767999,0.72696316
9,-1.3053685,-2.07312
10,2.3301175,1.2267276
11,0.2630827,0.50716496
12,1.3261539,0.99968857
13,0.28446618,0.4781788
14,-1.7477977,-0.4197483
15,1.575639,1.0239978
16,-1.7299488,-0.5317317
17,2.1720483,0.5533085
18,-1.262746,-2.2958136
19,0.3935488,-1.0961137
20,-2.3358243,-2.5472775
21,-1.0461181,-2.2756407
22,1.7835423,1.5878043
23,0.6823163,0.28071493
24,2.2416444,0.7125761
25,-0.058806263,0.6306727
26,-1.4566258,-1.1517065
27,0.924538,0.7677158
28,2.9274845,1.1193528
29,2.4849656,1.7582464
30,2.1338131,0.0399945
31,-2.5505362,-3.1314554
32,-2.5631301,-4.101086
33,0.23976324,0.20890325
34,1.6603979,0.8762188
35,1.2407477,0.5617229
36,-2.2911468,-2.8752089
37,-0.4424853,-0.010641634
38,2.1703694,0.81961143
39,-2.556982,-3.3025417
40,2.1651952,0.46504587
41,0.88971263,0.6691781
42,2.3655674,1.5916221
43,2.1723948,-0.025576226
44,1.0450363,0.034767807
45,0.537976,0.19755387
46,1.3725474,0.6349279
47,2.2497919,1.7975354
48,-0.16262572,-1.6453724
49,1.7477328,0.29681718
50,0.42567128,-0.38693023
51,1.1997318,0.49721244
52,1.6296958,1.0309263
53,0.42002997,-0.51659036
54,2.2596614,1.1832554
55,1.9191349,0.6607834
56,2.2026563,1.1428505
57,2.5700638,1.0697695
58,0.22976224,-0.022632856
59,2.3800287,1.7473841
60,-0.4403528,-1.7057543
61,-0.46563858,-0.25672153
62,-0.5468098,0.19770409
63,2.229009,2.2825596
64,1.4290137,-0.11247963
65,0.4175516,-0.29637876
66,2.3429475,2.0873375
67,2.2985168,0.18697101
68,-1.7546592,-1.6335537
69,2.2214642,1.1679004
70,0.41983458,-0.71251893
71,2.6802332,1.777793
72,2.4696078,1.3968846
73,2.2206345,1.7034137
74,-0.22798787,-1.5499067
75,-0.018103743,0.38195267
76,0.44068572,0.5095756
77,0.26802886,0.3759363
78,0.5989649,0.13780095
79,0.8193411,0.54063725
80,2.206462,1.0145279
81,0.10894009,0.95145416
82,2.3946333,2.346973
83,-2.2068565,-2.6885653
84,-0.5484918,0.6649492
85,0.099111065,0.23877925
86,-2.379726,-2.4306571
87,2.2331576,0.5438103
88,0.18298581,-0.054901958
89,1.6307896,0.45727322
90,2.1416597,0.67453
91,2.485461,1.576647
92,0.20158717,-0.1699343
93,1.7423291,1.411232
94,-2.2920852,-3.8955436
95,0.23489887,-1.3717647
96,-1.2618347,-2.07312
97,2.0876863,1.5746096
98,-0.2421146,-1.5667384
99,1.3874836,1.242106
100,0.6017146,0.5666286
101,0.3319916,-0.27223068
102,2.4685955,1.8069674
103,1.9807124,-0.38024634
104,2.2236047,0.50687134
105,2.5861742,1.1002618
106,0.17565913,0.9770327
107,2.2933571,2.017842
108,0.66363394,0.65172267
109,-2.5511038,-2.0972643
110,-0.43705526,-0.60579497
111,1.7545531,0.7851763
112,2.2112277,0.6172372
113,1.420296,-0.5920302
114,-1.9025083,-0.31924933
115,0.071296334,0.27527282
116,2.206526,1.3108946
117,1.7959328,0.43310794
118,-2.1152186,-2.3339844
119,-0.42036292,-1.4860349
120,-1.8688653,-0.8986619
121,2.8145587,1.5558355
122,1.138701,0.26457042
123,-2.3799188,-3.062941
124,2.6265686,2.3612576
125,2.1873672,0.52850926
126,-1.8071021,-1.0381644
127,1.773023,1.1983905
128,2.832927,1.5808758
129,2.151256,-0.023198307
130,-0.91866016,-2.2756407
131,0.8402315,-0.65760994
132,2.192569,-0.4729957
133,2.2146194,1.134882
134,0.19527087,-0.25939313
135,-2.5515797,-2.8752089
136,2.3175108,2.1930742
137,0.64752513,1.0766358
138,2.5832956,0.91997135
139,0.6263595,-1.1928477
140,-0.19058019,-1.3995335
141,2.5162148,1.8615013
142,2.582165,0.9264847
143,3.3533902,1.572897
144,1.55271,1.0161572
145,1.5716672,1.2743683
146,-2.5608866,-2.2325487
147,0.3939305,0.52061534
148,0.5352482,-0.25607634
149,2.4484937,2.2713976
150,-2.2340984,-2.145278
151,2.0840824,1.4908249
152,2.239638,1.0955188
153,2.16533,0.5575013
154,2.2561367,0.6770881
155,-2.2981875,-2.455303
156,2.1878517,0.121483445
157,-1.8549315,-2.145278
158,2.311119,1.5309632
159,-2.5630991,-3.8955436
160,0.532658,0.51643753
161,-0.6279301,-1.4490474
162,1.5258361,1.0412347
163,0.7433762,0.87513757
164,1.9464724,1.2475128
165,0.90942544,0.35067773
166,2.2286236,1.3096771
167,0.61919546,0.712793
168,2.090538,0.48526144
169,0.1973871,0.17778507
