,True,Predicted
0,0.4221452,-0.019332409
1,0.4175516,-0.0915606
2,2.2472017,1.2904711
3,2.151256,1.3234361
4,1.773023,0.9677801
5,-1.9025083,-2.2042418
6,0.3935488,-0.24360394
7,0.18298581,-0.48259163
8,0.17565913,0.63172466
9,-1.9705143,-1.1303236
10,2.16533,1.8064959
11,-0.50946224,-0.45076513
12,2.0840824,1.50131
13,0.924538,1.584676
14,1.5854547,1.1865695
15,1.3725474,-0.53005004
16,-2.2340984,-2.5489354
17,2.1720262,1.1518122
18,2.239638,1.2904711
19,1.3261539,1.2772355
20,1.7545531,0.60387087
21,-1.262746,-2.2989922
22,1.7959328,1.3148637
23,2.832927,1.9073367
24,-0.16262572,-2.3613791
25,2.2561367,0.9677801
26,1.7423291,1.1865695
27,0.88971263,1.4255648
28,2.1338131,1.803652
29,-0.46563858,-0.52336407
30,0.3319916,0.44835997
31,-2.5515797,-4.3536973
32,-2.5630991,-3.2155895
33,2.299789,1.647327
34,2.1651952,1.286175
35,-0.5102493,-0.45076513
36,0.2630827,-0.20973825
37,-0.4424853,-0.71708584
38,1.6307896,0.60387087
39,2.2995484,1.1865695
40,2.485461,1.9769053
41,-1.8688653,-2.3278148
42,-0.5468098,-0.80803585
43,-2.2920852,-3.2155895
44,2.2596614,1.9073367
45,2.2214642,1.2143347
46,0.90942544,0.49134895
47,0.26802886,-0.20973825
48,2.8145587,1.8225336
49,0.42002997,-0.019332409
50,-0.6279301,-2.5489354
51,1.9807124,1.1518122
52,-0.42036292,-1.1303236
53,0.5989649,0.44835997
54,-0.4403528,-2.3332248
55,2.3655674,1.6074243
56,0.44068572,-0.45076513
57,-0.5484918,-0.80803585
58,0.7433762,0.9433222
59,-2.561133,-3.2155895
60,-1.3053685,-2.2989922
61,2.350782,1.50131
62,2.6265686,2.3870573
63,1.694116,0.5581994
64,-0.444255,-0.71708584
65,-2.2981875,-2.3332248
66,2.7140524,1.8714416
67,2.5700638,0.9433222
68,2.2286236,1.6848297
69,2.2616417,1.9073367
70,1.9191349,1.4255648
71,0.64752513,-0.02341938
72,1.420296,1.1518122
73,0.22717431,0.46811795
74,-2.339012,-2.2075186
75,2.624583,1.286175
76,0.6202423,0.13591576
77,0.10894009,-0.13443232
78,2.206462,1.7507287
79,2.3118901,1.647327
80,2.2206345,1.6848297
81,2.2026563,1.7507287
82,0.3939305,-0.48259163
83,2.4685955,1.2143347
84,1.7172633,1.6579492
85,2.2331576,1.8064959
86,0.66363394,-0.02341938
87,0.6057214,0.13591576
88,2.2416444,1.6319773
89,0.6263595,-0.24360394
90,1.9464724,1.3952215
91,2.2146194,0.4306121
92,0.099111065,0.46811795
93,-0.2421146,-2.2075186
94,0.5352482,0.49134895
95,0.23489887,-0.24360394
96,1.4290137,-0.0915606
97,-2.3537157,-2.7839022
98,0.20158717,-0.3360052
99,2.2933571,1.2772355
100,0.23976324,-0.3360052
101,1.2407477,1.3148637
102,-0.43705526,-0.71708584
103,0.4253208,-0.019332409
104,1.5258361,1.2143347
105,-1.8022641,-2.3332248
106,-0.91866016,-1.9779572
107,-1.8462867,-2.2075186
108,1.7681289,1.3554993
109,-1.7477977,-2.2042418
110,-1.2618347,-2.2989922
111,0.532658,-0.84825563
112,0.31550035,-0.20973825
113,1.6049016,1.2772355
114,0.071296334,-0.3360052
115,0.22976224,-0.76945305
116,2.3007576,1.3952215
117,0.029803125,-0.76945305
118,2.7027862,1.2235816
119,2.2112277,0.676991
120,0.8402315,0.13591576
121,2.3175108,1.3554993
122,-1.7299488,-2.2042418
123,1.6296958,1.0719318
124,2.2985168,1.3234361
125,-2.278078,-2.7839022
126,3.2003274,1.803652
127,-2.2079527,-2.3613791
128,-1.8549315,-2.5489354
129,2.090538,1.286175
130,-2.3358243,-2.2075186
131,-2.5569098,-2.7106724
132,1.7835423,1.3554993
133,2.2754116,1.6319773
134,2.4849656,1.9769053
135,-0.058806263,-0.13443232
136,2.2497919,1.9073367
137,2.1873672,1.4255648
138,2.1720483,0.4306121
139,2.4484937,1.647327
140,2.5832956,1.2627189
141,1.7477328,1.1720016
142,-2.5608866,-2.7839022
143,0.8193411,-0.48259163
144,0.42567128,-0.019332409
145,2.311119,1.3952215
146,2.2127976,1.6848297
147,0.6823163,0.44835997
148,0.28446618,-0.53005004
149,2.9274845,1.4001124
150,2.1878517,1.4255648
151,2.2236047,1.0719318
152,-2.5631301,-3.2155895
153,-2.556982,-2.7106724
154,2.5162148,1.2904711
155,-2.3799188,-2.7106724
156,1.2767999,-0.7323272
157,2.582165,1.0719318
158,1.0450363,-0.71708584
159,-2.1152186,-2.7106724
160,-2.379726,-2.3613791
161,2.0876863,1.8225336
162,1.5716672,1.2772355
163,0.19527087,-0.3360052
164,1.138701,0.44835997
165,2.229009,1.6848297
166,-2.2291112,-2.5489354
167,0.537976,0.49134895
168,-1.7546592,-2.327815
169,0.41983458,-0.0915606
