,True,Predicted
0,-1.456417,-2.0392466
1,1.1803612,0.08314538
2,-2.2081654,-2.6643267
3,-0.9950627,-1.9009129
4,2.3811834,1.7586045
5,2.358632,1.7649704
6,2.4153624,1.2382958
7,-3.2401829,-4.2917604
8,1.7138894,1.2201452
9,-2.8799202,-3.7440748
10,-0.5144153,-0.7795999
11,0.15056694,-0.7928293
12,-2.58157,-3.0821095
13,2.4326284,1.6029959
14,2.3396742,1.6147763
15,2.4497483,2.0078928
16,0.09701677,-0.30161095
17,1.3823334,0.912107
18,2.3328333,0.8747679
19,-3.2825472,-3.784883
20,2.188067,1.2608023
21,1.2698063,0.88205856
22,0.63843143,-0.2756462
23,2.2741647,1.6668907
24,2.708888,1.521899
25,1.0493987,-0.91965115
26,-2.9823287,-3.9061575
27,2.321241,1.002002
28,-1.053045,-1.8808365
29,-0.11317268,-0.7424741
30,-0.67266256,-1.3003306
31,1.3023224,0.6974748
32,1.4162004,0.95677114
33,1.056344,0.8603385
34,2.3921795,1.7892616
35,-0.9568317,-1.6775374
36,2.114273,1.9067087
37,1.5910953,0.54084516
38,1.481774,0.95502436
39,2.4728098,1.2127523
40,2.2075703,0.53543055
41,2.474197,1.8938935
42,2.2473621,1.625432
43,2.2921357,1.0036242
44,2.1192207,1.5450616
45,-2.9703195,-3.852563
46,3.324192,2.499
47,-2.2083132,-2.651081
48,2.4365857,1.5148394
49,1.4664063,0.6515548
50,0.066387296,0.09416175
51,2.421819,1.7053981
52,-3.2841215,-4.2310643
53,1.4952244,1.6994457
54,2.341988,1.4613655
55,0.12402032,-0.7239897
56,2.3514154,1.6890738
57,2.4307144,1.278594
58,-0.41935295,-0.84622
59,2.4211302,1.9218003
60,1.4860653,0.12194222
61,2.462418,1.3856146
62,-0.6717852,-1.2775211
63,2.0542445,1.48088
64,1.4930822,0.92149997
65,1.6527271,0.41934806
66,2.4240108,1.5448077
67,2.4184384,0.8611586
68,2.3149781,0.8956535
69,2.4457376,1.7613809
70,2.3350089,1.6960522
71,1.3455536,0.7028468
72,2.4346893,1.842983
73,-1.7895734,-2.0593672
74,2.46553,1.7746521
75,-1.9990633,-2.6643267
76,2.307708,1.5775778
77,-0.110794604,-1.156395
78,1.4771229,1.8018675
79,-0.907125,-1.8844984
80,2.117435,1.3617616
81,1.4181368,0.6632045
82,2.3264394,1.5753161
83,-0.11051487,-1.0931034
84,2.4437454,1.2269907
85,2.4539735,1.6185217
86,-0.020938259,-1.5204037
87,1.7134912,1.0549316
88,1.1852002,0.3701508
89,2.2799346,1.5583265
90,1.3268123,1.4385619
91,2.389442,1.3912984
92,2.2299716,1.6860354
93,1.3469931,0.6573251
94,1.0749741,-0.54510987
95,0.53383595,-0.02244711
96,2.2683873,1.6653311
97,2.3595858,1.8674097
98,-1.0740958,-2.0533574
99,2.3260596,1.2649398
100,1.3458967,0.07867324
101,2.2197742,1.4905075
102,-1.068946,-2.0353978
103,-1.0521448,-1.9418945
104,2.4098198,2.1814036
105,-2.1963441,-2.329338
106,-3.0199537,-4.0152855
107,-1.4272807,-3.354758
108,1.6361113,1.6425797
109,-0.9068788,-1.8130338
110,1.5130286,1.6520269
111,-3.108038,-3.8401127
112,2.438076,1.3014352
113,2.403455,1.7933948
114,-0.75286126,-1.7459102
115,0.85211897,0.18907428
116,2.4433844,1.7077837
117,-2.4335353,-2.8915868
118,2.4252863,1.769704
119,0.7136669,-0.0021243095
120,1.913357,1.0183856
121,2.4418004,1.2042215
122,1.3957218,-0.75334907
123,2.3409626,1.6176391
124,2.3248613,1.3174767
125,2.3372517,0.8963208
126,2.4838476,0.9617072
127,2.3734322,1.4272265
128,2.2921014,1.5289874
129,1.4837838,0.9183419
130,1.5098478,1.7372115
131,1.8097718,1.3809177
132,2.4039912,1.6095902
133,2.4325054,1.2880653
134,0.3306167,-1.3094842
135,2.3329737,1.2624235
136,2.4477522,1.9142525
137,1.5161463,1.0788438
138,-3.0204637,-4.206374
139,2.300767,2.1010797
140,0.45792654,-0.5229747
141,1.4198202,0.48644245
142,1.5341649,0.6475866
143,0.31032035,-0.37587738
144,0.81979644,-0.15268123
145,1.3064765,0.62963814
146,2.0721803,0.77661884
147,2.1044018,1.5104208
148,0.6347539,-0.18270493
149,2.380831,0.50361407
150,1.4983968,0.15035099
151,-1.0572212,-1.3003306
152,0.9742933,0.016924858
153,2.3578262,1.0503124
154,1.3264774,0.6850883
155,2.4394882,1.7313564
156,2.4170325,1.4962298
157,2.358542,1.60566
158,-2.971627,-3.8401127
159,1.7015139,1.4036674
160,-1.7574271,-2.2403088
161,-0.10776264,-1.2875385
162,2.3900454,1.41512
163,-1.1150652,-2.011976
164,2.3788445,1.4430277
165,2.413802,1.6391127
166,-0.521596,-0.79097724
167,2.4521697,1.8510182
168,2.3240747,2.1288486
169,0.2896231,-0.19119185
170,-1.494907,-2.0593672
171,1.7139974,1.3246193
172,-1.1159055,-1.4460857
173,2.3131905,2.670965
174,-3.0198154,-3.4897947
175,1.824019,1.0030642
176,2.1816707,0.33400667
177,0.86204916,-0.21587941
178,-2.1222317,-2.7796502
179,1.3027713,0.6903996
180,-1.7572092,-2.329338
181,2.3931384,1.5432099
182,-1.1424102,-1.9418945
183,1.4669406,1.0350082
184,2.608172,2.0391555
185,1.1594872,0.46602798
186,-2.6286213,-2.8915868
187,1.5192277,1.0346248
188,2.3706355,1.3007264
189,2.4151392,1.4933567
190,2.2184296,1.6098337
191,2.3444328,1.8670145
192,1.417915,1.0122336
193,2.3488076,1.6446037
194,2.737215,1.6306269
195,2.4310563,1.5519819
196,2.3265595,0.70524526
197,2.8943958,2.0354476
198,2.4581974,1.6017253
199,2.4305186,1.4871469
200,1.7169756,1.0873966
201,-2.012476,-3.2751596
202,2.4047031,1.5600445
203,2.4293232,1.532459
204,2.07215,1.5629929
205,1.0523291,-0.6378324
206,0.8703473,0.88562214
207,-2.5980053,-3.0821095
208,0.8157525,-0.7476753
209,1.4859877,0.83840835
210,-2.5309827,-2.9755812
