,True,Predicted
0,1.5098478,1.1233304
1,-2.2081654,-2.7563674
2,2.4581974,1.5476885
3,2.4151392,1.8580227
4,1.818144,1.0758828
5,1.3023224,0.35195208
6,2.4728098,2.2376986
7,2.3240747,1.9667392
8,2.3706355,1.6271963
9,2.1192207,1.2292995
10,2.4310563,1.5083356
11,1.4804214,0.5878706
12,-1.068946,-2.0326989
13,2.2921014,1.6280651
14,2.474197,1.7601295
15,1.0749741,-0.055396557
16,1.4952244,-0.4348123
17,1.5192277,-0.35405475
18,1.8140831,1.0091362
19,-2.4335353,-3.1802187
20,-3.0198154,-3.4667225
21,2.4418004,1.4546483
22,2.3260596,1.2097101
23,0.81979644,-0.18307781
24,1.0493987,0.038953304
25,2.4365857,1.5800853
26,2.608172,0.979717
27,-2.9704642,-3.6129894
28,1.5910953,1.2872566
29,0.31032035,-0.5427542
30,1.4859877,0.6908951
31,1.4860653,0.21971369
32,1.4198202,0.21417236
33,0.066387296,-0.5821352
34,-1.7574271,-2.4447608
35,2.4098198,2.1128452
36,-1.9990633,-2.7563674
37,2.365384,1.3311005
38,1.1852002,-0.23505974
39,-2.9703195,-4.001733
40,0.7136669,-0.15483117
41,2.3265595,0.69504154
42,2.0542445,0.9655837
43,-2.012476,-2.504455
44,1.4181368,1.3915973
45,0.09701677,-0.20665455
46,1.3268123,1.2566319
47,2.3613372,1.6738744
48,0.9742933,-0.3310032
49,2.293774,1.2097635
50,1.2698063,0.23638964
51,0.6347539,0.38231754
52,2.4539735,1.7794485
53,-2.5980053,-3.386795
54,-3.2841215,-4.644206
55,2.4211302,0.93144727
56,0.8291099,-0.3293829
57,2.389442,1.3570132
58,-2.1963441,-2.4072757
59,2.4922748,1.4762158
60,2.3578262,1.0281444
61,1.7138894,1.0607016
62,-0.9068788,-1.5753601
63,2.114273,0.7449913
64,-0.9754755,-1.720052
65,2.4304767,1.0126665
66,2.4325054,1.5830951
67,-2.5309827,-3.5430198
68,-1.7572092,-2.4072757
69,-1.4272807,-2.527844
70,-1.0740958,-1.4031155
71,-0.9568317,-2.139986
72,2.3788445,1.242667
73,2.1816707,1.7374902
74,2.117435,0.74252987
75,0.15056694,-0.4262054
76,2.403455,-0.122460365
77,2.4838476,1.7767696
78,1.8097718,0.53007317
79,2.440308,0.93837357
80,-2.9026992,-3.834612
81,-0.907125,-1.720052
82,-1.1159055,-2.5668914
83,2.3595858,0.1997261
84,-1.053045,-2.3333454
85,-1.1424102,-2.431138
86,1.481774,-1.2188587
87,-3.2401829,-4.1674023
88,-0.67266256,-1.6329813
89,1.5130286,1.5194825
90,0.5957282,-0.185992
91,-2.6286213,-3.1802187
92,2.708888,0.8510573
93,-0.41935295,-1.2331295
94,2.3488076,1.629333
95,2.4406457,0.8902017
96,1.3957218,-0.08495951
97,0.4612943,0.13708925
98,1.3458967,1.1591215
99,2.4176712,1.7952864
100,2.4346893,1.0520768
101,-3.0204637,-3.834612
102,2.3329737,1.6364393
103,3.324192,1.8536472
104,-0.020938259,-1.5446668
105,2.2473621,1.2104244
106,-2.879893,-3.526716
107,1.3027713,0.34431696
108,2.358632,0.91131544
109,2.3131905,1.5091155
110,-2.1222317,-3.4041662
111,2.1884465,1.2126794
112,2.4307144,1.6065762
113,2.321241,1.1734958
114,-0.5144153,-0.9315579
115,2.4497483,1.3392715
116,1.4664063,-0.21239191
117,2.737215,1.3001242
118,-1.7895734,-2.4757376
119,0.3306167,-0.2364912
120,1.901953,0.9652114
121,2.438958,1.4738412
122,2.07215,1.016633
123,2.4433844,1.5728147
124,2.0721803,0.74692154
125,2.300767,1.3965724
126,2.1044018,1.7292132
127,2.4240108,0.7972152
128,1.0523291,-0.30381536
129,2.341988,1.4350619
130,1.0105679,-0.13419294
131,1.7139974,0.99047494
132,0.2896231,0.1805791
133,2.3514154,1.3784032
134,0.40443364,-0.23325825
135,2.2075703,1.5557647
136,2.4045038,2.2325191
137,1.4377928,0.45485687
138,1.6489996,0.33457613
139,-0.75286126,-2.237875
140,1.4162004,1.3443453
141,2.380831,1.5553465
142,1.417915,0.106321335
143,2.46553,1.3118465
144,2.4170325,1.8840616
145,2.421819,2.6217227
146,2.3248613,1.3823633
147,2.4457376,1.0833635
148,2.3811834,1.8891172
149,2.4252863,1.7819064
150,-2.2083132,-2.7485297
151,-0.110794604,-1.0239034
152,1.7169756,0.5502641
153,-1.0670158,-2.048361
154,2.3726866,1.3133721
155,-2.58157,-3.386795
156,2.3931384,1.0642996
157,2.3941257,1.8114228
158,1.4837838,1.1534419
159,0.86204916,-0.2628355
160,2.413802,1.4549022
161,2.2921357,0.77839386
162,2.4184384,1.4773619
163,1.913357,1.0132759
164,-3.108038,-3.5446253
165,2.4305186,1.9713631
166,-0.10776264,-1.4430408
167,2.3350089,1.5196488
168,-2.971627,-3.5446253
169,-0.521596,-1.088393
170,-1.456417,-2.4393206
171,1.6527271,0.6909795
172,-2.0152555,-2.527844
173,0.45792654,-0.2706914
174,2.3328333,1.0100822
175,-3.284352,-4.1674023
176,2.3264394,1.3399677
177,2.435468,1.2560172
178,2.2741647,1.2757516
179,2.410992,1.2069578
180,1.4983968,0.8277011
181,-2.9823287,-3.526716
182,2.188067,0.42049503
183,1.056344,0.5643897
184,0.060340174,-1.5435052
185,-2.8799202,-3.7914035
186,0.53383595,-0.84379673
187,-0.6717852,-1.4409494
188,2.2738059,1.6421008
189,2.4922345,1.7606997
190,1.3469931,0.41365767
191,1.5161463,0.9868263
192,2.4394882,1.4205921
193,1.6167691,0.5211072
194,2.1940846,1.5291643
195,1.1803612,0.3405075
196,1.6361113,1.3399982
197,-0.9950627,-1.8064821
198,1.7134912,1.2001398
199,0.12402032,-0.7422223
200,2.3149781,1.760421
201,2.4151804,1.9564598
202,0.8157525,-0.2341547
203,2.42914,1.8321345
204,0.08042048,-0.41178226
205,2.3396742,0.98892117
206,2.8943958,2.0978708
207,0.970227,0.613019
208,2.2799346,1.2725489
209,2.4477522,1.6132889
210,2.3734322,1.755434
