,True,Predicted
0,0.3306167,0.3208102
1,2.2683873,0.9738847
2,1.3064765,0.38445166
3,-2.1963441,-2.7322009
4,2.4039912,1.3803009
5,2.3372517,0.83484083
6,-3.0199537,-3.2165015
7,0.45792654,0.5729739
8,2.351734,0.3292117
9,-0.41935295,-1.8591505
10,2.440308,1.3042033
11,-0.67266256,-2.6086202
12,2.3931384,0.07371118
13,2.3240747,1.2963879
14,1.4669406,0.7918476
15,2.4433844,0.424504
16,1.4377928,1.1118343
17,2.2921014,1.2084056
18,0.9742933,-0.06828049
19,-2.5980053,-2.804686
20,-0.11051487,-0.053674873
21,-2.2081654,-2.6677868
22,-0.9950627,-1.9582365
23,2.2738059,1.1674328
24,2.708888,1.0782351
25,2.3248613,1.1094686
26,-0.907125,-2.5607963
27,1.7138894,0.51786274
28,0.8703473,-0.42763537
29,2.3595858,0.88072884
30,1.5910953,0.3083439
31,0.86204916,1.3157699
32,-3.108038,-3.0221064
33,1.8140831,0.9033861
34,1.4983968,0.11131257
35,-3.284352,-4.6268854
36,2.4838476,0.86974204
37,-1.4272807,-2.7580566
38,2.293774,1.5864207
39,0.09701677,-1.901003
40,1.5341649,0.51605225
41,2.4151392,0.16744964
42,-2.9823287,-3.5261405
43,1.6361113,0.7085079
44,1.3469931,0.27177215
45,2.3921795,1.5598925
46,-2.879893,-3.5261405
47,2.4365857,1.1345061
48,2.421819,0.14342909
49,2.4045038,0.043400854
50,0.060340174,-2.0065334
51,-0.9754755,-2.5607963
52,1.4860653,0.49628145
53,2.4240108,1.4291536
54,0.8291099,0.46601978
55,2.3811834,1.0270963
56,-1.456417,-2.7589536
57,1.3458967,0.8714252
58,1.7139974,0.256154
59,-1.1150652,-0.4170323
60,2.1816707,1.3098097
61,2.3260596,0.5983881
62,1.5098478,1.2221706
63,2.117435,1.434092
64,-0.6717852,-2.7157354
65,1.7015139,1.6600885
66,2.0721803,1.142682
67,2.3941257,1.3737293
68,1.3455536,0.029239886
69,2.4151804,0.4950254
70,2.4305186,0.1960468
71,2.2299716,0.80478835
72,-1.7572092,-2.7322009
73,1.7134912,0.077635214
74,2.3706355,1.7770654
75,-2.4335353,-2.5612466
76,1.1852002,0.27953976
77,2.4098198,1.413625
78,1.3027713,0.020778446
79,2.3264394,0.7476512
80,1.6167691,0.38535303
81,2.2921357,0.9995425
82,-0.9568317,-2.801437
83,-0.10776264,-1.9447129
84,-1.7574271,-2.8479571
85,0.40443364,0.20536056
86,2.8943958,1.2502557
87,-0.020938259,-1.9683564
88,-1.494907,-2.6519454
89,-3.0204637,-3.096529
90,2.410992,1.8101201
91,-1.053045,-2.6433012
92,2.3328333,0.828901
93,2.4176712,-0.25933713
94,3.8051965,1.3690691
95,1.824019,1.1559176
96,0.2896231,0.49849513
97,-3.0198154,-2.3037343
98,1.4162004,1.1531384
99,2.4170325,2.006026
100,2.2799346,0.75751865
101,1.5161463,0.43239927
102,1.5130286,0.5681329
103,-1.1159055,-0.20646638
104,-3.2825472,-3.884122
105,0.81979644,0.4098262
106,1.0523291,0.46810067
107,2.07215,1.052502
108,2.4477522,0.14199173
109,3.324192,1.1767068
110,2.4325054,1.797997
111,1.4771229,0.60172474
112,2.4539735,1.0900954
113,1.0540177,0.5426504
114,1.481774,0.7622726
115,-1.0670158,-0.6447824
116,2.3131905,0.94878554
117,1.7169756,0.47453994
118,2.4304767,1.2584454
119,2.399168,1.8920709
120,2.435468,1.8404273
121,1.4930822,0.291584
122,-1.9990633,-2.6677868
123,1.2959996,0.18738383
124,1.5192277,0.04860878
125,2.4211302,1.9101282
126,-2.5309827,-2.912756
127,2.3788445,0.29149517
128,2.1044018,-0.10055895
129,0.08042048,0.22787443
130,0.31032035,0.36437288
131,2.4437454,1.0433393
132,2.307708,1.0321858
133,1.3264774,-0.4570902
134,2.188067,1.6890107
135,0.066387296,0.49498847
136,2.4497483,1.1695294
137,1.0637814,0.49158254
138,2.3514154,0.4887131
139,1.3823334,0.6378634
140,2.462418,1.0474758
141,1.1594872,0.043154716
142,2.4326284,0.73304105
143,2.4406457,1.3430679
144,2.4047031,1.3118107
145,1.901953,0.52209085
146,-3.2401829,-4.6268854
147,-2.9026992,-3.096529
148,-2.9704642,-2.2269003
149,1.4181368,1.2423041
150,2.2473621,1.5097669
151,2.3726866,1.8991876
152,-0.75286126,-2.689584
153,0.5957282,0.54319257
154,-1.0521448,-2.5401833
155,2.341988,1.5045573
156,2.1298535,1.0104303
157,-1.068946,-0.40105227
158,2.3329737,0.9986288
159,-0.94371533,-2.689584
160,2.3265595,0.86009526
161,-0.11317268,-1.949887
162,1.0105679,0.32425553
163,1.4952244,0.7545799
164,2.438958,0.93770444
165,2.438076,1.6087022
166,2.1192207,0.94727886
167,1.3268123,0.7393576
168,2.321241,0.65872294
169,2.3149781,0.62360895
