,True,Predicted
0,1.481774,1.2189996
1,2.3734322,1.2809596
2,2.321241,1.5397577
3,2.4418004,1.433676
4,-3.2841215,-3.8249125
5,2.4252863,1.806338
6,-2.0152555,-3.2797832
7,2.2799346,1.5352787
8,2.4153624,1.5397577
9,1.1594872,-0.38057828
10,1.8140831,1.0308623
11,0.81979644,-0.57732975
12,2.2683873,2.0276103
13,2.3264394,1.025502
14,-0.67266256,-1.3589869
15,2.0542445,1.066972
16,0.12402032,0.2848127
17,0.8157525,-0.57732975
18,1.4181368,0.95475155
19,0.86204916,0.97866577
20,2.2197742,1.3632485
21,1.4664063,-0.4381733
22,2.42914,1.433676
23,1.0540177,0.7878663
24,2.2921014,1.2809596
25,-1.9990633,-2.9276245
26,3.324192,2.5308664
27,2.708888,1.6873734
28,-0.9754755,-1.8845139
29,2.4535255,0.97866577
30,2.1192207,0.24406856
31,2.1884465,0.67218447
32,2.365384,1.2071986
33,2.4151804,1.4128606
34,0.9742933,0.17370844
35,0.7136669,0.38600588
36,2.3372517,1.4261825
37,2.389442,0.9226861
38,2.4293232,1.2184051
39,2.3595858,1.5040874
40,-2.1222317,-3.0792532
41,0.4612943,0.12325907
42,2.421819,1.4007379
43,-2.879893,-3.6341696
44,-2.5309827,-3.3873146
45,-2.8799202,-3.6341696
46,2.3329737,0.96827537
47,2.4539735,1.3715467
48,2.307708,0.78305113
49,1.6527271,0.6533205
50,2.4184384,1.433676
51,1.4804214,0.7878663
52,-3.2825472,-3.8249125
53,1.5098478,0.78305113
54,1.4860653,0.7878663
55,-3.0204637,-4.6432366
56,2.3409626,1.0636929
57,2.3931384,1.0489944
58,1.901953,1.5397577
59,-2.9703195,-4.0743494
60,2.4497483,1.3038988
61,1.3455536,0.6533205
62,1.417915,1.0489944
63,1.1803612,-0.38057828
64,2.410992,1.647055
65,1.4952244,1.0636929
66,-3.2401829,-3.8249125
67,1.6167691,0.49285328
68,1.7139974,0.7091187
69,1.818144,0.9226861
70,2.2299716,1.0413358
71,2.4098198,1.2491837
72,1.4162004,0.6988077
73,2.358632,1.2507162
74,2.4521697,1.3038988
75,2.4151392,1.4007379
76,2.8943958,1.2491837
77,2.4045038,1.2240949
78,1.0523291,0.12325907
79,1.0499105,0.12325907
80,2.07215,0.8448032
81,2.2921357,0.6988077
82,-1.7895734,-1.8033874
83,2.4477522,1.2184051
84,0.066387296,-0.1588955
85,-1.1150652,-1.548178
86,-1.1159055,-1.548178
87,2.3706355,1.2809596
88,0.8291099,-0.57732975
89,2.4581974,0.22818708
90,-0.6717852,-1.3589869
91,1.2698063,0.6087769
92,1.4837838,0.7750534
93,2.293774,1.5727005
94,2.4170325,1.806338
95,2.4406457,0.6988077
96,1.3268123,0.24406856
97,2.4346893,1.2184051
98,2.3578262,1.0308623
99,-1.068946,-1.9598079
100,2.4305186,1.8893116
101,2.380831,1.5727005
102,1.3823334,1.2189996
103,2.4310563,2.0276103
104,2.4838476,0.96827537
105,2.4039912,1.2507162
106,-2.9704642,-4.0743494
107,1.7134912,0.7091187
108,-0.020938259,-3.0259943
109,2.3248613,1.4261825
110,-0.521596,-1.4879689
111,-2.2083132,-2.9276245
