,True,Predicted
0,1.9780644,2.6353939
1,2.1672943,2.0055661
2,0.03762073,-0.18649861
3,-0.42935404,-0.7985163
4,-0.46152812,0.0074920654
5,-1.7243762,-1.4799681
6,-2.1586556,-1.8305554
7,1.3919817,0.76108456
8,0.18412083,0.09295893
9,-1.9503593,-1.7755885
10,-0.79639834,-0.9444938
11,0.30653575,0.95065904
12,-2.3966978,-2.2842822
13,-0.42586583,0.18969536
14,-0.28274137,-0.42929208
15,0.8180324,1.2010094
16,-1.706786,-1.7651961
17,-0.25696218,-0.1440053
18,-1.4944717,-0.84183025
19,-2.4470456,-2.5019958
20,1.7519392,1.7786059
21,-2.5748644,-2.269949
22,1.0160147,1.3899031
23,2.2938774,2.2379537
24,1.2827427,0.8010359
25,-2.0731053,-2.2931554
26,-1.9781879,-1.8042581
27,-0.60259336,-0.43136954
28,-1.8648397,-1.856349
29,3.668212,2.7686834
30,-1.9600339,-1.8450849
31,3.6194572,3.1399374
32,1.6191646,1.4493253
33,-2.441845,-1.9844387
34,0.025667993,0.34316257
35,0.9000179,0.8137727
36,2.0505164,2.0184503
37,-1.948147,-1.7755885
38,1.9413774,2.1355305
39,-1.1057765,-1.294549
40,-1.8647993,-2.108798
41,-1.5116783,-1.5027204
42,-1.334237,-1.4969544
43,-1.9643965,-2.232213
44,-0.075394414,0.29805517
45,-0.037560925,-0.10016847
46,-0.1789551,-0.46545506
47,1.035754,1.872262
48,-0.06860265,-0.2889608
49,-0.08292652,0.21717072
50,2.0901618,1.8445625
51,-0.8082422,-0.6242709
52,-0.30215934,-0.22088087
53,1.3673582,2.2237072
54,0.52796483,0.582839
55,1.1792893,1.4099729
56,-1.3312873,-1.3966608
57,-0.4215418,-0.025795937
58,0.9078417,1.0414529
59,0.07453304,0.16235423
60,-0.5842182,-0.5210235
61,1.9522433,1.9557829
62,1.8479643,1.626926
63,1.9674283,1.2856512
64,2.188111,1.749929
65,-0.80813944,-0.76909494
66,2.0472374,2.300709
67,-0.9261084,-0.8799639
68,0.24126564,0.28856707
69,2.14648,2.6011248
70,-1.0882459,-0.9291573
71,-0.101797484,0.038134575
72,1.1704127,1.3739506
73,-0.7285724,-0.6376362
74,-2.072215,-1.8310955
75,-2.5595622,-2.421618
76,0.29202458,1.3447562
77,-2.0356715,-1.7278364
78,3.832354,3.3539894
79,-2.0351474,-1.9541042
80,-2.5770082,-2.5226316
81,2.3705134,2.0650668
82,-1.8650864,-1.856349
83,-0.1147365,-0.029462963
84,1.1877677,1.6837821
85,-1.9882623,-1.7931285
86,-1.9949665,-1.8285794
87,0.0012131208,0.12521014
88,1.2708272,1.0296712
89,0.3853757,0.15865985
90,2.0507698,1.8756795
91,0.33161014,0.6712074
92,1.809745,1.6858852
93,-2.1745625,-2.108798
94,2.5627184,1.8152776
95,-1.9886746,-1.7931285
96,-2.3687572,-2.5226316
97,-0.30067727,0.73377204
98,1.7125958,1.8127832
99,-0.76957977,-0.94676715
100,1.6100823,1.8661916
101,1.0387318,1.1478872
102,1.4346119,2.059914
103,0.32321626,0.48541546
104,1.8462856,1.7839022
105,-2.47173,-2.159682
106,-0.26216385,-0.37771654
107,2.0455167,2.7099926
108,1.3799661,1.6988568
109,-1.0891769,-0.7585998
110,-0.87095743,-0.83046085
111,0.48444018,1.0899444
112,0.18820167,0.16729021
113,-0.80076647,-0.5215106
114,1.6228681,1.5623267
115,-1.8321021,-1.5585935
116,-0.47793868,-0.411088
117,0.0974953,0.02505207
118,0.060611356,-0.15351295
119,0.22717163,0.60190916
120,-2.097455,-1.8995199
121,-0.29767883,-0.11782205
122,-1.5749494,-1.6164129
123,-0.4577898,-0.5212214
124,4.0824704,3.2852042
125,1.7812524,1.6624684
126,-1.8642699,-1.9348001
127,-1.1876415,-1.5392308
128,-0.8795471,-0.85407925
129,1.6277992,1.7155111
130,1.0566698,1.2489209
131,-0.3868947,-0.19156885
132,1.0270691,0.8040879
133,1.71861,1.2511044
134,-1.0079458,-0.89565563
135,-1.7216334,-1.4799681
136,-0.25599107,-0.1277113
137,-0.3548886,-0.085686445
138,-1.1267637,-1.1923089
139,-1.1915718,-1.0579166
140,-2.446625,-2.4112098
141,-0.5863088,-0.8011923
142,-1.3148043,-1.4052658
143,-1.178039,-1.1347265
144,-0.7229049,-0.90393543
145,-1.2062125,-1.197844
146,0.09654875,0.09688187
147,-0.44490644,0.08891106
148,-0.5136533,-0.7199316
149,-0.6627546,-0.28441238
150,-0.9711898,-0.92264915
151,-0.1704899,-0.15408802
152,0.4057082,0.8099947
153,-2.0604246,-2.0653155
154,-0.3911824,-0.10904074
155,-2.1733763,-2.1291118
156,0.6249973,0.64432573
157,-0.31664124,-0.40741467
158,-1.9534696,-2.1115642
159,1.3740764,0.8629358
160,-0.19419856,-0.13028717
161,1.4006714,1.4430958
162,1.034993,1.0915518
163,-1.6836065,-1.5027204
164,0.4771099,0.3056705
165,-0.254919,-0.08945608
166,-2.216597,-2.1817863
167,-1.7377381,-1.5585935
168,0.08182392,0.15447927
169,-2.1012766,-1.6522903
170,-0.513365,0.3916602
171,-2.251234,-2.1373458
172,1.709635,1.1197357
173,-0.58894,-0.4997003
174,-2.5625906,-2.57651
175,1.8014386,2.124323
176,0.9891933,0.8744154
177,0.87883246,0.86423063
178,2.0301754,2.1655145
179,-1.1277972,-0.86283636
180,1.9251344,1.814463
181,2.63897,2.3984656
182,-0.35421363,-0.15486145
183,-0.40260273,-0.47717494
184,-0.1433273,0.00078964233
185,0.18388478,-0.005995512
186,0.12178479,0.41563702
187,-0.6476841,-0.6663115
188,1.3665475,2.1530933
189,1.2999724,1.6869946
190,-2.3130474,-1.9749191
