,True,Predicted
0,-0.19074191,0.21137321
1,-2.5748644,-2.4738832
2,-0.5863088,-0.61810577
3,-2.3130474,-2.0635588
4,-2.441845,-2.2252889
5,1.3665475,1.8743906
6,1.9522433,1.4762222
7,-1.1915718,-1.3289714
8,-1.065434,-0.959768
9,1.0387318,1.2851611
10,0.12178479,0.35436118
11,1.034993,1.2851611
12,1.7866899,2.052074
13,-0.58894,-0.42396832
14,0.32321626,0.42705774
15,-0.7914701,0.24338186
16,-0.25599107,0.08230412
17,-1.9781879,-1.773489
18,-0.254919,0.08230412
19,0.22717163,0.5922117
20,2.0901618,2.4665952
21,0.52796483,1.403482
22,0.39692673,1.0184339
23,0.18820167,-0.07497764
24,-2.5625906,-2.4088254
25,-0.101797484,-0.10460508
26,0.025667993,0.07622802
27,-1.8642699,-1.8200254
28,-0.3573372,-0.61718893
29,0.4057082,1.4094105
30,-0.1147365,-0.12484717
31,1.3799661,1.7310357
32,1.9589945,1.4762222
33,1.809745,1.5415726
34,2.188111,1.7974844
35,2.3705134,1.403482
36,-2.3687572,-2.4738832
37,-0.26216385,0.08230412
38,1.2999724,1.8743906
39,1.9674283,1.4762222
40,-0.5842182,-0.42396832
41,2.5627184,1.9286901
42,1.8479643,1.5415726
43,1.7130717,1.7974844
44,-1.5749494,-1.470686
45,-2.216597,-2.0635588
46,1.0566698,0.72085094
47,-2.251234,-2.4088254
48,0.0012131208,-0.12484717
49,1.035754,1.2851611
50,1.8014386,1.5415726
51,1.9780644,2.9595962
52,0.87883246,1.3103182
53,2.1672943,1.7310357
54,2.0938697,2.2570314
55,-0.19419856,0.21137321
56,-2.5770082,-2.4738832
57,0.887383,1.3103182
58,2.2938774,1.7974844
59,-0.80076647,-0.26098055
60,-0.1433273,0.17811036
61,0.6249973,0.15628171
62,0.24126564,-0.07497764
63,-1.9949665,-1.6180712
64,-2.072215,-1.773489
65,-0.1704899,0.21137321
66,-0.30067727,1.5894313
67,-0.6476841,-0.61718893
68,2.0455167,2.052074
69,-2.5725946,-2.4738832
70,-1.0891769,-0.42378187
71,3.3348553,2.6519346
72,-0.10197415,-0.10460508
73,1.3740764,0.48017335
74,0.9754603,0.024974823
75,-0.4266998,-0.86456656
76,-0.87095743,-0.42378187
77,-0.19617942,-0.42396832
78,2.0507698,1.9286901
79,0.30653575,0.15628171
80,0.0974953,0.17811036
81,4.0824704,2.4943352
82,-1.948147,-1.6502786
83,-1.9882623,-1.6180712
84,-0.7583166,-0.26098055
85,1.4346119,1.9286901
86,-0.76957977,-0.42378187
87,0.9000179,1.3103182
88,-1.9449551,-1.6502786
89,0.03762073,0.07622802
90,-0.25696218,0.08230412
91,-2.1589713,-1.7755241
92,1.6100823,1.0537605
93,2.0472374,2.052074
94,1.0270691,0.7048888
95,-2.1733763,-2.0466418
96,-0.9261084,-1.0324473
97,-2.5595622,-2.4088254
98,1.3919817,1.2851611
99,0.07453304,0.12504804
100,-0.47793868,-0.79659605
101,-0.40260273,-0.86456656
102,0.6231204,0.15628171
103,-1.9600339,-1.6957011
104,1.0295994,1.1392896
105,-0.60259336,-0.42396832
106,-2.097455,-1.8457749
107,0.18412083,-0.07497764
108,0.4771099,0.48017335
109,2.0505164,1.252286
110,1.6191646,1.9605684
111,-0.9711898,-1.470686
112,-1.1267637,-0.24614
113,-2.1012766,-1.8457749
114,-2.0356715,-1.6957011
115,0.08182392,0.12504804
116,-1.4944717,-0.61810577
117,1.7812524,0.72085094
118,-1.9886746,-1.6180712
119,-0.8082422,-0.7134714
120,-0.34049386,-0.25514984
121,-1.8321021,-1.470686
122,-0.28274137,-0.14581299
123,-1.8647993,-2.0466418
124,3.6194572,2.9595962
125,1.5749843,2.277841
126,1.1792893,1.9605684
127,1.8462856,1.4094105
128,-2.0731053,-1.773489
129,2.63897,2.277841
130,-0.4577898,-0.61718893
131,-2.508946,-2.0635588
132,1.1822182,1.3639374
133,0.8180324,0.99590373
134,-1.9534696,-1.8457749
135,1.0160147,2.2570314
136,0.48444018,1.1253097
137,-1.9503593,-1.6502786
138,-2.0351474,-1.6957011
139,-1.3148043,-1.6502786
140,-1.2062125,-1.6180712
141,1.71861,1.3994622
142,-0.8675044,-0.959768
143,-0.42586583,-0.4689386
144,2.0301754,1.9286901
145,-0.32633317,-0.959768
146,-0.4215418,-0.044611454
147,0.33161014,0.42705774
148,-1.706786,-2.0635588
149,-1.0079458,-1.212677
150,0.8172768,0.99590373
151,1.6228681,1.528661
152,2.14648,2.9379418
153,1.1704127,2.4146569
154,3.668212,2.2118723
155,-1.1876415,-1.2925858
156,-0.028853351,0.12504804
157,-2.101915,-2.2252889
158,-2.5156136,-2.6675918
159,-1.7243762,-1.212677
160,-0.8795471,-1.0324473
161,-0.7285724,-0.24614
162,-0.7649598,-0.61718893
163,-1.9643965,-1.8457749
164,-2.446625,-2.2252889
165,0.9891933,0.51521873
166,-1.3312873,-1.7755241
167,-2.47173,-1.6957011
168,-0.5136533,-0.4689386
169,-2.4470456,-2.2252889
170,-0.30215934,-0.14581299
171,-0.3043046,-0.25514984
172,-0.08830288,-0.12484717
173,-1.7377381,-1.470686
174,-0.17960756,-0.79659605
175,-0.037560925,0.12504804
176,1.9413774,1.4762222
177,-1.6836065,-1.2925858
178,0.09654875,0.17811036
179,3.832354,2.9379418
180,-2.0604246,-1.773489
181,0.3853757,1.0219529
182,1.3673582,2.4943352
183,-1.0201219,-0.24614
184,1.7125958,1.3994627
185,1.6893098,1.8743916
186,1.2827427,1.7785845
187,-1.0882459,-0.4237814
188,1.7519392,1.7974844
189,-0.1789551,-0.79659605
190,-0.46152812,0.17811179
