,True,Predicted
0,-0.6204926,-0.36644948
1,1.1693138,1.361223
2,0.7780136,1.1166229
3,-0.121842906,0.093437016
4,-0.30679733,-0.4564134
5,1.0753304,1.0845046
6,-0.16302013,0.20937029
7,-0.45763037,-0.14209533
8,-0.5588356,-0.35212612
9,-1.0152887,-0.90140927
10,-0.09311993,0.19164824
11,-0.10055632,-0.023251057
12,0.14543991,0.2533921
13,0.59814566,0.41800374
14,-0.3977186,-0.32567918
15,-0.14377746,0.22883695
16,-0.13923867,-0.07443154
17,-0.13790001,-0.15251052
18,-0.1415947,0.068582624
19,1.1061012,0.9194502
20,-0.84185016,-0.67347604
21,-0.12973584,-0.20365423
22,-1.0656881,-0.5609905
23,-0.34169042,-0.048505526
24,-0.1312941,-0.018721282
25,1.1461254,1.0296755
26,0.41227108,0.6686747
27,-1.6295624,-1.3781366
28,-0.14574614,-0.1092135
29,-0.6363117,-0.7348718
30,-0.110672496,-0.11929691
31,-0.1750692,0.31286287
32,-0.13195881,0.11802733
33,-0.9265846,-0.72008777
34,-1.7613177,-1.5583196
35,-0.48495924,-0.12391254
36,-0.5325252,-0.42564774
37,-0.589619,-0.42077446
38,-0.1915876,-0.105653405
39,-0.14477387,0.11280822
40,-1.0097684,-0.7825231
41,-0.20520274,-0.01632303
42,-0.090097494,0.0844326
43,-0.43052512,-0.2702604
44,-0.1594004,0.13154137
45,-0.15847759,-0.24411646
46,-0.13043211,0.15587741
47,-0.1674362,-0.027848125
48,-0.29071608,-0.19656241
49,-0.14147435,0.03529468
50,-0.13934371,-0.33133048
51,-0.42888448,-0.47153467
52,-0.640817,-0.5833883
53,-0.8617559,-0.67347604
54,-0.14711535,0.12376295
55,-0.4032506,-0.47977573
56,-0.096374616,0.12143785
57,-0.088654675,0.018272877
58,-0.18352962,0.0054814816
59,1.8180017,1.3684154
60,0.7831057,0.41354358
61,-0.88987,-0.92908365
62,0.51870006,0.7165648
63,-0.10403544,0.015666127
64,-0.26610637,-0.24840592
65,-0.08382112,0.017455041
66,-0.10525716,-0.09122193
67,-0.10524022,-0.2845456
68,0.848739,0.90043354
69,-0.16680169,0.07353842
70,-0.10562968,0.10287303
71,-0.23637597,-0.2446396
72,0.045633305,-0.27941346
73,-0.6637851,-0.5046771
74,-0.36809587,-0.36353385
75,-0.15308729,0.045955777
76,1.8882821,1.529366
77,-0.1796456,-0.22999227
78,-0.13547929,0.07375705
79,-1.4461999,-1.3406866
80,-0.1806642,0.026824832
81,-1.0097942,-1.0222079
82,-0.1261317,0.11486685
83,-0.27935043,-0.36241323
84,-0.11513285,0.0049505234
85,-1.0003688,-1.061843
86,-0.3020688,-0.17467463
87,-1.008601,-0.9398926
88,-0.6032921,-0.47153467
89,-0.17655337,0.15577593
90,-0.6204904,-0.42564774
91,-1.0638766,-0.9648534
92,-0.09244774,-0.027262568
93,-0.13588269,-0.024333864
94,-0.44568506,-0.27706772
95,-0.10106797,-0.3715973
96,-0.40894532,-0.47341216
97,-0.32334343,-0.37713906
98,0.28779456,0.29222807
99,-0.091333635,-0.21797699
100,-0.2920932,0.070633605
101,-0.10125613,0.38374913
102,-0.7320336,-0.6932773
103,-0.33152398,-0.31746924
104,0.83129936,1.1573577
105,-0.21305996,-0.2560137
106,-0.13160105,0.40377998
107,-0.14240491,-0.20365423
108,-0.22116956,-0.24576543
109,-0.11494217,0.30685216
110,-0.5350417,-0.30200273
111,0.7686713,0.2945568
112,-0.9867203,-0.8468081
113,0.789803,0.9810337
114,2.114886,1.6685658
115,-0.08773432,0.027460456
116,-0.10707542,-0.20123315
117,-0.9937311,-0.8407209
118,0.8726546,0.94540936
119,-0.99983275,-0.72571146
120,1.3455645,1.3464772
121,0.8048004,0.58040655
122,-0.10013958,0.029744685
123,-1.1190425,-0.75004
124,-0.13032734,0.060382307
125,0.49433768,0.35461086
126,0.96641517,0.9335855
127,-0.17897654,-0.03885144
128,-0.09144793,-0.1318101
129,-0.94687325,-0.67803824
130,-0.16100737,0.023168445
131,-0.15144046,0.14389604
132,-1.0761818,-0.5356502
133,-0.17771114,0.11677152
134,-0.13596977,-0.2538308
135,-0.13405238,0.19265783
136,-0.09386899,0.39597166
137,-0.9508112,-0.63810074
138,-0.09679727,0.020145833
139,-0.08100311,0.08999039
140,-0.14332229,-0.16976729
141,-0.12866738,-0.26652646
142,-0.14065272,0.16542137
143,-1.0103058,-0.8728122
144,-0.19405213,0.0050264
145,-0.07963866,0.18633923
146,-0.102974944,0.11524224
147,-0.16423254,0.44954348
148,2.415264,2.27824
149,0.52094173,0.8416879
150,-0.15669973,0.09964812
151,-0.14260948,0.08299959
152,-0.927754,-0.8522574
153,-0.3561726,-0.3588295
154,1.0215375,0.9566603
155,-0.15098317,-0.21782649
156,-0.18614177,-0.025173008
157,-0.5341239,-0.4949758
158,-0.16153356,-0.15052113
159,-0.27379617,-0.32964098
160,-0.07888137,-0.003967285
161,-0.18219973,0.010495275
162,-0.65260977,-0.59043974
163,-0.09953896,-0.024989247
164,-0.17994812,-0.053374648
165,0.8757332,0.81566143
166,-1.0039026,-0.8468081
167,-0.123086266,0.20769477
168,-0.26879567,-0.17522404
169,-0.30619767,-0.5456054
170,-0.10975608,0.26267758
171,0.46536633,0.6396287
172,-0.09713599,0.105879426
173,-0.31844604,-0.47341216
174,-0.121042006,0.37590367
175,-0.18831325,0.1901514
176,-0.096755505,-0.029538155
177,-0.16960011,0.053793013
178,-0.17944853,0.024753392
179,-0.13162635,-0.11612934
180,-0.5348516,-0.43255877
181,-0.33302495,-0.32667816
182,-0.10569859,-0.07056746
183,-0.14945988,0.0042688847
184,-0.09564106,0.015734673
185,-0.16175936,-0.27117193
186,-0.1718324,0.04473889
187,-0.56817216,-0.010765851
188,-0.23085722,-0.07341039
189,-0.40495166,-0.18896228
190,1.3468841,1.4024452
191,0.8467677,0.8392525
192,-1.0230756,-0.5241562
193,-0.9178909,-0.8351955
194,0.9397113,0.76665306
195,-0.9991352,-1.1812621
196,-0.17738414,0.19055837
197,0.40462834,0.26983643
198,-0.83687544,-0.59043974
199,-0.098086074,-0.001098156
200,-1.0015266,-0.72571146
201,-0.29691124,-0.23826288
202,-0.13679549,-0.14574426
203,-0.11343853,-0.051237464
204,-0.17463727,-0.034408987
205,0.32885873,0.124734044
206,-0.13668066,-0.3909112
207,-0.12669687,0.25569642
208,-0.12818533,0.114875734
209,0.85226244,1.4514914
210,1.0400285,1.0170883
211,-0.101450086,-0.2164461
212,0.9933352,1.2315612
213,-0.45379943,-0.24697971
