,True,Predicted
0,-0.3079592,-0.008971095
1,-0.14549674,0.40364832
2,-0.19405213,0.08465463
3,-0.14260948,0.25298047
4,-0.23637597,-0.46719664
5,-0.110672496,0.06591951
6,-0.9937311,-0.6663264
7,-1.0230756,-0.58905435
8,-0.12818533,0.7440706
9,-0.09512194,-0.13908592
10,-0.4032506,-0.08251569
11,-0.927754,-1.2389839
12,1.1461254,1.3439785
13,-0.07888137,0.54254013
14,-0.12669687,-0.47139952
15,-0.6032921,-0.45309526
16,-0.20560262,0.3107242
17,-1.0638766,-1.1297674
18,-0.84185016,-0.30466032
19,-0.11640015,0.43573236
20,-0.32334343,-0.27429292
21,0.8726546,1.148471
22,-0.10773653,0.17400755
23,1.8242538,1.1185604
24,-1.0761818,-0.5229403
25,-0.17994812,-0.1647174
26,-0.34216785,-0.2112397
27,-0.5325252,-0.53250676
28,-0.13679549,-0.348643
29,-0.1415947,-0.35900417
30,-0.101450086,0.27686036
31,0.51870006,0.3706041
32,-0.13043211,0.5818688
33,0.41227108,0.43238914
34,2.114886,1.0521301
35,-0.42888448,-0.45309526
36,-0.5350417,-0.95556414
37,-0.09311993,0.0059009194
38,-0.5333971,-0.66760623
39,-0.22116956,0.071838334
40,-1.071184,-0.975407
41,-0.17655337,0.7914435
42,0.49433768,0.6718836
43,0.96641517,0.9472813
44,-0.15230538,-0.12962526
45,1.0753304,0.9566098
46,-0.5588356,-0.32812655
47,-0.99342835,-0.559852
48,-0.10525716,0.08495448
49,-0.27935043,-0.47398078
50,-0.6204926,-0.23156661
51,-0.090737365,0.40802735
52,-0.913268,-1.0964801
53,1.8180017,0.85953045
54,-0.12973584,-0.4340645
55,-0.10013958,0.028031915
56,-0.9265846,-1.1502231
57,-1.0656881,-0.43237123
58,-0.14945988,0.03537851
59,-0.14377746,-0.018773466
60,3.3651953,0.82028115
61,0.045633305,0.16268241
62,-0.17897654,0.3455841
63,-0.94687325,-0.7278281
64,-0.5348516,-0.50230837
65,-0.1088158,0.056355223
66,-0.640817,-0.62504226
67,-0.13934371,-0.34003052
68,-0.091333635,0.5829401
69,-0.09564106,0.31487006
70,-0.11513285,-0.058456525
71,1.8317311,0.75023633
72,-0.13195881,-0.062910855
73,-0.1833637,-0.4190646
74,-0.9508112,-1.1976581
75,-0.12934074,0.27507207
76,-0.31844604,-0.6355148
77,-0.15308729,-0.22283599
78,-0.1718324,-0.29222375
79,1.8882821,0.26533973
80,-0.10403544,-0.5130409
81,-0.22702593,0.68650335
82,0.7686713,-0.20752624
83,0.52094173,0.47400987
84,-0.16153356,0.30389887
85,0.32885873,-0.43853423
86,-0.16175936,-0.5904177
87,-1.0680182,-0.90248406
88,-0.1750692,0.70232034
89,-0.13547929,-0.07251904
90,-0.18780862,-0.09560201
91,-0.26297754,-0.31547862
92,-0.16302013,0.68183
93,-0.1796456,0.11006653
94,-0.29071608,-0.008971095
95,-1.4461999,-0.13922063
96,-0.9991352,-0.946218
97,-0.16100737,-0.09203316
98,-0.8617559,-0.30466032
99,-0.14574614,0.41890386
100,-0.26610637,-0.30753407
101,-0.08100311,0.39599127
102,-0.12739858,0.3687046
103,-0.589619,-0.76723635
104,-0.098086074,0.13236882
105,0.7831057,0.29530638
106,-0.27379617,-0.14412645
107,-0.8572653,-1.0344589
108,-0.08773432,0.09075159
109,-0.10106797,0.2120686
110,2.415264,0.84839964
111,-0.12866738,0.31295794
112,-0.56817216,-0.5498593
113,-0.088654675,-0.088320516
114,-0.28047916,-0.4190646
115,-1.6295624,-0.3605345
116,-0.09953896,0.2574224
117,-0.1674362,0.052826427
118,-0.17738414,0.43852568
119,-0.48495924,-0.78973883
120,-0.1312941,0.109422386
121,0.8467677,0.38168195
122,-0.1594004,-0.13815239
123,0.46536633,-0.11762363
124,0.44200802,0.22164887
125,-0.09244774,-0.11000765
126,-0.6718592,-0.73506767
127,-0.3561726,-0.39989927
128,-0.096374616,-0.032446265
129,-0.17295568,0.10627192
130,-0.10054517,-0.23969305
131,-0.10975608,0.27447996
132,-0.34169042,-0.05783817
133,-0.096755505,-0.0057216734
134,-0.33302495,-0.33523422
135,1.1061012,0.944789
136,-0.6363117,-0.54650456
137,-0.13588269,-0.10481772
138,-0.40894532,-0.6355148
139,0.85226244,1.2392834
140,1.1693138,0.5955727
141,-0.36809587,-0.42758644
142,-0.14065272,0.09757623
143,-0.5341239,1.1509871
144,-0.12263775,-0.34003052
145,-0.09679727,0.50023705
146,5.3639865,1.5065823
147,-0.6637851,-0.050373167
148,-0.11343853,0.018647552
149,-0.09144793,0.19597045
150,-0.14147435,0.613075
151,-0.18614177,-0.20648772
152,0.83129936,0.9336873
153,-0.12831235,-0.43213457
154,-0.11494217,0.3985326
155,-0.10524022,-0.63531053
156,-0.18352962,0.4930851
157,-0.17463727,0.52037096
158,-0.09386899,0.36478376
159,-0.15098317,-0.24951315
160,1.3455645,-0.25954172
161,-0.102974944,0.30421603
162,-0.20520274,-0.3817802
163,1.0215375,0.892951
164,-0.10214683,-0.24791938
165,-0.077154465,-0.35244045
166,-0.15847759,-0.067419976
167,-0.10055632,0.0873118
168,-0.13923867,0.15016678
169,-0.18831325,-0.064230025
170,0.40462834,0.33021417
171,-0.13162635,0.28530833
172,-0.08265994,-0.21846741
173,-1.7614379,-0.21923183
174,-0.1806642,0.40191567
175,-0.7320336,-0.50319475
176,-0.16423254,0.017235637
177,-0.08382112,-0.18019682
178,0.8757332,0.21016887
179,-0.65260977,-0.3986451
180,-0.13405238,0.6335546
181,-1.1190425,-1.0222235
182,-0.10562968,0.03812641
183,-1.0003688,-0.48977172
184,-0.13160105,0.46113202
185,-0.14332229,0.33833566
186,-0.9867203,-0.64867765
187,0.28779456,0.17763275
188,-1.0103058,-0.51709044
189,-0.10125613,0.23726696
190,-0.9178909,-1.2524828
191,0.14543991,0.05500701
192,-0.17771114,0.05358535
193,-0.17707671,-0.036192283
194,-0.121842906,0.75644517
195,-0.3020688,-0.2827578
196,-0.13790001,-0.009638995
197,-1.0152887,-0.6384106
198,-0.45379943,-0.66760623
199,-1.008601,-0.87795365
200,-0.10328304,0.56135035
201,-0.2920932,-0.099974215
202,-0.123086266,0.7248209
203,-0.43052512,0.44909194
204,-0.3319171,0.09668975
205,3.5025024,1.2932613
206,-0.10569859,0.14394064
207,-0.15669973,-0.15930451
208,-1.7613177,-0.17785673
209,-0.88987,-0.3985783
210,-0.30679733,-0.35086325
211,0.9933352,0.88998365
212,0.59814566,-0.25967163
213,-1.0097942,-0.745729
