,True,Predicted
0,-2.2219706,-2.5213776
1,-2.1890168,-2.5425174
2,2.9047506,2.76567
3,2.2403934,2.32763
4,-0.7270637,-0.76117206
5,2.315194,2.1878393
6,-1.0284339,-0.9329506
7,0.9620621,0.9791805
8,3.109514,2.883704
9,-2.4482412,-2.5756369
10,2.4096465,2.4286056
11,2.7606192,2.6843865
12,-2.1462529,-2.3681445
13,2.5044594,2.4637303
14,-2.225886,-2.3955688
15,2.7335644,2.7853553
16,1.9336103,1.9296212
17,2.928569,3.0009444
18,-1.7484865,-1.6951337
19,2.4557128,2.6119003
20,-3.131796,-3.1700072
21,0.6963436,0.5337494
22,3.1377187,2.7639318
23,-1.1480671,-1.0515949
24,-0.8329652,-0.5831739
25,2.079675,2.23575
26,2.5506315,2.5591035
27,2.7386258,2.3500953
28,2.7410767,2.9087334
29,-0.49697867,-0.59651893
30,2.0602195,2.0497558
31,1.9349568,2.0709822
32,2.733142,2.7286413
33,-2.6996982,-2.6349735
34,-0.18835837,-0.28819144
35,-1.251527,-1.3918667
36,-0.25483245,-0.29760015
37,2.8240685,2.8062208
38,2.9051545,2.7937346
39,0.36368948,0.17059934
40,1.5701462,1.4155374
41,-2.5746987,-2.3955688
42,4.09586,3.9610426
43,-1.5579652,-1.6137168
44,-2.948876,-3.013769
45,1.1427735,0.8467574
46,-0.45270398,-0.43812168
47,1.8273517,1.7955916
48,-0.9791212,-1.1089268
49,-1.2162819,-0.8951568
50,-1.554967,-1.9098573
51,3.4995763,3.2680526
52,0.699027,0.5895174
53,2.7473905,2.8377655
54,1.4472604,1.5666203
55,-1.199064,-1.0013795
56,-0.68184316,-0.6954276
57,-0.5819225,-0.6120564
58,4.277596,4.2680597
59,-0.85879177,-0.6813904
60,-3.128912,-3.2179737
61,1.8641264,1.8778689
62,1.5821241,2.0582955
63,-2.040858,-1.8202158
64,2.8772645,2.910724
65,2.6071994,2.6670732
66,-0.5917962,-0.97398704
67,1.0953189,1.5736336
68,1.5545748,1.6685624
69,2.7187443,2.8477774
70,1.517101,1.0884583
71,-2.3280823,-2.1863332
72,1.8260599,1.714093
73,3.9254904,3.881462
74,0.047792643,0.3328662
75,0.7297758,0.84161675
76,-1.0916803,-1.246124
77,0.68906456,0.6484163
78,0.69236666,0.73163277
79,-3.1081905,-3.1479785
80,2.1724248,2.1873553
81,-3.0645118,-2.92202
82,-0.8618832,-0.93537104
83,2.8180585,3.0331135
84,-1.0090503,-1.5376259
85,2.5423625,2.5425372
86,-0.8136765,-0.84713167
87,2.4653983,2.236695
88,2.5498176,2.6077511
89,1.5653344,1.6920183
90,-0.93794495,-1.0926424
91,-2.9226296,-2.9300663
92,2.7187235,2.661355
93,-0.2877532,-0.36312163
94,-3.9903398,-3.9202356
95,2.4190812,2.4466484
96,0.29271027,0.39981198
97,-0.2350312,-0.31646544
98,-1.4911221,-0.9549743
99,0.7218281,0.6500317
100,-3.6091855,-3.5603933
101,2.5557153,2.6297917
102,-2.7643147,-2.704629
103,0.9521436,0.8010075
104,-3.1080682,-3.013769
105,0.69012815,0.8006099
106,2.268792,2.187171
107,-1.1911318,-0.9808786
108,2.351948,2.2495966
109,-2.0125043,-2.0238535
110,2.221412,2.2796767
111,0.7837875,0.9642813
112,-1.0503061,-0.7493349
113,-0.20224304,-0.14853024
114,2.0797753,2.0556762
115,-3.0351698,-2.8607426
116,-2.4450452,-2.319394
117,-2.9289677,-2.8890574
118,0.9636653,0.68500346
119,-1.2027427,-1.3183984
120,2.4003468,2.4261959
121,-0.8973652,-0.8213567
122,-1.0307723,-1.0976974
123,0.5851972,0.43282446
124,-2.239087,-2.0984712
125,-2.7741487,-2.676998
126,1.7429026,1.6037092
127,1.865093,1.8641303
128,2.4828193,2.7344482
129,3.1312842,2.9257145
130,0.6908768,0.5806508
131,1.6680876,1.666291
132,-2.7734284,-2.5425174
133,1.7545516,1.587631
134,-1.1340619,-1.3227326
135,-3.1319482,-3.1030006
136,-0.83230853,-0.7298657
137,-0.6194779,-0.28637367
138,0.2738017,0.62768215
139,-0.9104506,-0.96048933
140,-0.7873491,-0.664416
141,2.4066913,2.4133043
142,-2.1132746,-2.2276733
143,0.21571988,0.18075442
144,-1.1262482,-1.1146698
145,3.9454494,3.972446
146,0.083838545,-0.22096682
147,-2.6998851,-2.5213776
148,1.7973558,1.9837558
149,1.046782,0.9311453
150,2.4003959,2.391666
151,0.8517493,0.7695462
152,-0.6046024,-0.7924357
153,2.7472343,2.8447003
154,-1.2037956,-1.1525903
155,-0.94668806,-0.8571286
156,-1.4595431,-1.3653346
157,-3.1297536,-3.0417514
158,2.6268535,2.433896
159,2.4577053,2.8939633
160,1.0677968,1.0986817
161,0.8014838,0.9527246
162,3.694084,3.5327072
163,-2.5752604,-2.6081543
164,-2.6478698,-2.6781836
165,1.0373034,1.1312909
166,-0.98052144,-0.98631847
167,-2.113416,-1.9828746
168,1.66967,1.6340342
169,2.7186155,2.6815605
170,0.944076,0.95795894
