,True,Predicted
0,0.6908768,0.576314
1,-0.8618832,-0.8649411
2,2.928569,2.7993057
3,2.4597647,2.0805593
4,2.504283,2.0447674
5,-1.0503061,-0.93981624
6,-2.1465287,-2.9810572
7,-2.1890168,-2.8897882
8,3.1312842,2.7067666
9,1.5545748,0.81411827
10,-2.948876,-3.370369
11,0.21571988,-0.08934647
12,3.056939,2.892627
13,1.5701462,0.8726195
14,2.079675,1.7783213
15,2.4653983,1.7756038
16,-2.0125043,-2.1585093
17,-0.18835837,-0.5888157
18,1.3855307,0.9722171
19,-0.6194779,-0.639112
20,-3.2057137,-2.7428832
21,-0.25483245,-0.17872095
22,-0.81954753,-0.81807613
23,1.6680876,0.6458881
24,1.5697414,0.973531
25,-0.8973652,-0.7006202
26,-0.94668806,-0.9348364
27,-2.6478698,-3.093595
28,-1.0916803,-1.4823189
29,-0.7270637,-1.2627006
30,2.2804894,1.8899741
31,-2.7734284,-2.8897882
32,0.7297758,0.70547104
33,2.8240685,2.7361898
34,1.4472604,0.89361763
35,2.098386,1.6199651
36,-0.82347554,-0.98524785
37,2.0602195,2.3559463
38,-1.96075,-2.3679552
39,4.277596,3.9924388
40,1.865093,1.5922785
41,1.0373034,0.9946246
42,2.7335644,1.9974208
43,4.09586,3.2361975
44,-0.8329652,-0.8198471
45,0.9636653,0.60018647
46,2.2874353,2.3991253
47,0.8014838,0.5110693
48,0.5851972,0.30228806
49,1.1078017,1.2401385
50,2.7606192,2.4305408
51,-0.9104506,-1.2363317
52,-2.0183318,-2.4757419
53,-2.113416,-2.3679552
54,1.5653344,1.2823422
55,-1.0284339,-1.4551249
56,-2.5746987,-3.7134762
57,0.68906456,0.5956249
58,-3.0351698,-2.8857508
59,-2.7741487,-2.7280967
60,1.7545516,1.4740901
61,-0.87008786,-1.5123973
62,1.3852539,1.1706934
63,2.4828193,2.1117964
64,2.1724248,2.320594
65,2.7410767,3.0084822
66,2.351948,2.1370502
67,0.69236666,0.3411417
68,-2.4482412,-2.438167
69,1.66967,1.1207529
70,0.083838545,-1.0130229
71,-0.83230853,-1.0699959
72,1.8260599,1.280442
73,2.7473905,2.3831139
74,0.6878886,0.55189896
75,-2.4450452,-2.4757419
76,-2.6998851,-2.6665084
77,2.315194,2.1487403
78,-3.1297536,-3.5912848
79,-0.68184316,-1.1013132
80,0.944076,0.34294719
81,1.9349568,2.3207617
82,1.9336103,2.0283122
83,-0.7873491,-1.0500436
84,0.29271027,0.03649476
85,2.5423625,1.9279771
86,-3.6091855,-2.716903
87,-1.2037956,-1.7801867
88,1.1425313,0.250993
89,1.2093761,1.0607982
90,-0.8537424,-1.0818353
91,2.8772645,2.3757362
92,-2.239087,-2.9810572
93,0.8517493,0.39649212
94,1.0677968,0.57335824
95,2.268792,2.1209984
96,-3.128912,-3.384822
97,3.9254904,3.6702151
98,1.8641264,1.6441257
99,-3.1319482,-3.6643991
100,-1.7309209,-2.002707
101,-1.554967,-1.7842011
102,-1.2162819,-1.2332706
103,-0.45270398,-0.8417835
104,2.9047506,2.4763086
105,-1.0090503,-1.6630569
106,1.1427735,0.41310692
107,0.047792643,-0.15829515
108,-0.8136765,-1.390449
109,-2.3280823,-2.6278234
110,2.6268535,1.8431911
111,2.255398,1.9972987
112,3.014038,2.7095199
113,-1.2027427,-1.8173714
114,-0.6046024,-0.84276724
115,-3.1080682,-3.370369
116,2.6071994,2.4563525
117,-2.9226296,-4.1586547
118,0.7837875,0.5507247
119,2.8597302,2.2119231
120,1.046782,0.54894257
121,-0.9791212,-1.6045604
122,0.6963436,0.27178383
123,2.4548166,2.285038
124,0.9253347,0.62602806
125,2.4557128,2.449895
126,-3.0355012,-3.093595
127,-1.5579652,-2.229217
128,3.9454494,3.4486175
129,-1.1340619,-1.495909
130,1.517101,1.2636528
131,-0.2877532,-0.692842
132,2.4003468,1.9179688
133,-2.2219706,-2.6665084
134,-0.93794495,-1.4900291
135,1.1307064,0.9137182
136,3.4563184,3.135159
137,-0.2350312,-0.83048296
138,2.221412,1.6040952
139,-0.9117755,-0.7014327
140,-0.5917962,-1.1919084
141,2.8180585,2.3217945
142,-1.4595431,-1.2335248
143,-0.85879177,-0.59139585
144,-2.040858,-2.23641
145,-1.4911221,-1.437695
146,-1.199064,-1.39253
147,-0.20224304,-0.43871593
148,3.1377187,2.003109
149,2.5044594,2.2286015
150,2.99027,2.8768077
151,-3.1081905,-3.1687708
152,0.2738017,0.41102517
153,-2.6996982,-2.4374397
154,2.7472343,2.3290515
155,-0.5819225,-0.7849269
156,2.733142,1.9756444
157,-2.1462529,-2.8632708
158,-3.9903398,-3.956292
159,2.7187235,2.2064345
160,-1.1911318,-1.3184204
161,2.5557153,2.4311895
162,2.2403934,2.361309
163,1.7973558,2.0137982
164,-0.98052144,-1.3819344
165,0.36368948,-0.00053191185
166,2.7386258,2.1482139
167,2.7186155,2.0720162
168,0.7218281,0.4533627
169,0.9620621,0.5344449
170,1.4495966,1.0620861
