,True,Predicted
0,-3.2057137,-2.7941003
1,-0.49697867,-1.2086515
2,-2.6996982,-3.173139
3,0.8633252,0.5722597
4,0.9521436,0.62207854
5,2.928569,2.257361
6,-2.1132746,-3.3643608
7,-0.20224304,-0.3163886
8,2.5423625,2.3231983
9,2.1724248,1.8636806
10,-1.0090503,-0.2565366
11,2.504283,2.185367
12,1.5697414,0.9572037
13,-2.6998851,-2.946892
14,1.046782,0.4785267
15,-0.85879177,0.21864796
16,1.1307064,-0.22462569
17,0.8014838,0.8578714
18,-3.131796,-3.3981035
19,2.4653983,2.151544
20,-1.1480671,-0.749522
21,2.99027,0.8674474
22,2.255398,1.5959808
23,1.9349568,1.8961304
24,0.047792643,-0.0648312
25,2.7335644,2.0085602
26,2.351948,0.42347938
27,-2.113416,-3.1598659
28,-1.251527,-1.4793022
29,-1.0284339,0.3673456
30,-2.2219706,-2.946892
31,2.2403934,0.084618896
32,2.268792,1.4096726
33,0.6908768,-0.04131812
34,-2.3280823,-2.7174978
35,2.733142,1.3126472
36,-2.1890168,-2.9109268
37,0.083838545,0.07543084
38,0.8517493,-0.013649702
39,2.4577053,0.36266464
40,-0.8136765,0.14427091
41,0.53686434,0.40687507
42,-0.2350312,0.15631768
43,-0.6194779,-1.3726288
44,2.9047506,2.1863701
45,-2.948876,-3.078251
46,-0.5917962,-0.99153125
47,-0.9117755,0.6123574
48,2.315194,1.2213279
49,1.3852539,-1.107822
50,3.014038,0.24633703
51,-2.0125043,-0.48089123
52,1.7051699,3.5465095
53,2.4190812,1.6429468
54,2.0602195,2.5167775
55,0.69236666,0.51465696
56,0.9636653,0.22150826
57,1.7973558,1.3796884
58,0.2738017,0.099864244
59,2.7187443,0.46362054
60,-1.1340619,-0.34962532
61,-0.81954753,0.6229924
62,1.9336103,1.7385186
63,-0.25483245,-1.533956
64,2.4597647,0.7164973
65,2.5506315,2.3284492
66,-1.0307723,0.52001834
67,0.69012815,0.16774398
68,3.9454494,2.2070565
69,-2.7734284,-2.9109268
70,-2.1462529,-3.9865866
71,-2.5752604,-2.6766424
72,-1.2037956,0.3959898
73,-0.5819225,0.64499784
74,-1.7484865,-2.7307422
75,-1.4911221,-0.38947785
76,0.7218281,0.46565735
77,-3.1319482,-3.1634982
78,1.7429026,0.74773026
79,-2.5746987,-2.4664936
80,1.8260599,-0.34152704
81,3.4563184,0.17093115
82,0.5851972,0.6035502
83,0.7837875,0.63654387
84,2.7606192,2.921626
85,2.7410767,2.296843
86,2.2804894,1.203322
87,2.4003959,2.2909946
88,2.2874353,0.6234368
89,1.1425313,1.3390927
90,0.9620621,0.35405755
91,4.277596,0.77127457
92,-0.8329652,0.56505287
93,2.5498176,2.350483
94,1.5653344,-0.19596392
95,2.6268535,0.26525366
96,3.056939,1.81661
97,0.21571988,1.056884
98,-3.6091855,-0.8234589
99,-0.9104506,0.24953248
100,-2.040858,-1.112849
101,0.3097484,0.7687954
102,3.109514,0.29462373
103,2.145514,0.011363313
104,2.4828193,0.3692659
105,2.221412,1.4763508
106,-1.96075,-3.1598659
107,2.9051545,0.103686705
108,-3.128912,-3.7456322
109,-0.8973652,-0.8243617
110,-2.9289677,-2.075459
111,-0.83230853,0.7203139
112,0.9253347,0.2835377
113,2.7386258,0.96051365
114,-2.4482412,-2.6868463
115,1.66967,1.5321403
116,-0.87008786,-1.1789083
117,-1.0916803,-0.28743982
118,2.8597302,2.0492747
119,1.5821241,1.0290726
120,-3.9903398,-0.5641835
121,0.7297758,0.5554656
122,1.0677968,0.9276322
123,1.5545748,0.91134405
124,1.517101,1.007284
125,-2.6478698,-2.6368062
126,-0.34375244,0.7467011
127,-3.1081905,-3.2649915
128,-1.1262482,-1.1635429
129,-0.68184316,-1.8993772
130,-3.1297536,-3.5261831
131,3.4995763,0.87451094
132,1.8641264,2.4294472
133,1.865093,2.9241195
134,1.1078017,0.8631772
135,2.7473905,2.0052261
136,1.1427735,-0.19065899
137,-0.7270637,1.0840058
138,-3.0645118,-3.0061433
139,-1.5579652,0.9554627
140,2.4548166,2.356081
141,0.699027,0.030584991
142,-3.1080682,-3.078251
143,0.36368948,0.038223438
144,1.6680876,0.49731293
145,2.7186155,-0.04160939
146,2.8240685,1.9384519
147,-0.82347554,0.61607563
148,2.4096465,0.22279692
149,0.6878886,-0.0025538802
150,2.6071994,0.4415388
151,-0.7873491,0.6916847
152,-1.2027427,-1.3122253
153,3.1312842,2.3344283
154,-2.7741487,-3.133545
155,3.9254904,2.0582662
156,3.1377187,0.40234333
157,-2.7643147,-2.7941003
158,0.944076,0.57274354
159,2.7472343,0.37423778
160,2.7187235,0.7225599
161,-2.4450452,-2.47757
162,-2.9226296,-2.3120396
163,1.0953189,0.9101768
164,-1.1911318,-0.14881468
165,1.2093761,0.5181855
166,-1.2162819,-1.1348418
167,-0.2877532,0.02171278
168,-1.199064,0.24023476
169,1.4495966,0.15149881
170,-1.0503061,0.09102
