,True,Predicted
0,-1.554967,-1.4124646
1,2.9047506,2.2667336
2,2.7606192,2.2667336
3,-1.96075,-1.7327406
4,1.9336103,2.160646
5,0.6908768,0.7234064
6,-2.948876,-2.9987566
7,-0.8618832,-0.5441637
8,2.7473905,2.536304
9,-2.2219706,-2.5409982
10,-2.7734284,-2.507331
11,2.2874353,2.1321785
12,-0.5917962,-0.7799783
13,2.7335644,2.536304
14,-2.9226296,-2.8940878
15,-2.1132746,-1.7327406
16,-3.1297536,-3.1984286
17,1.0953189,1.5821471
18,2.4003959,3.1848261
19,-0.82347554,0.08664775
20,-1.251527,-2.6108303
21,2.7187235,2.6202855
22,1.9349568,2.5448985
23,3.9254904,2.6883354
24,2.5557153,2.5448985
25,1.3855307,1.1207373
26,-2.4482412,-1.8569075
27,-1.0307723,-0.3538394
28,0.8014838,0.8818759
29,1.0373034,1.2814435
30,3.1312842,2.8986344
31,1.5821241,1.1519285
32,-3.128912,-3.1984286
33,-3.131796,-3.223958
34,-0.49697867,-1.284698
35,-3.1080682,-2.9987566
36,-2.5746987,-2.7176876
37,2.8240685,2.9213076
38,-1.2037956,-0.8249874
39,-1.0090503,-1.7584815
40,2.145514,2.8520527
41,1.4472604,1.0698211
42,0.9636653,0.9131918
43,-0.8329652,-0.29812264
44,-2.6996982,-2.5409982
45,0.9253347,-0.11744177
46,1.7051699,2.3879385
47,1.7973558,2.099389
48,2.5044594,2.160646
49,-1.4911221,-1.7584815
50,2.2804894,2.7799222
51,1.865093,2.9213076
52,-2.113416,-1.7327406
53,-2.3280823,-1.284698
54,-0.9791212,-0.99043155
55,3.014038,2.6661375
56,-3.6091855,-2.762603
57,2.098386,1.9134521
58,2.1724248,2.2667336
59,-2.4450452,-1.8569075
60,0.21571988,-0.58238983
61,2.7410767,2.8986344
62,-2.9289677,-2.8940878
63,-0.20224304,-0.6125628
64,2.4653983,2.536304
65,2.5506315,2.4559188
66,-2.9904819,-2.8940878
67,0.6878886,0.7234064
68,-1.0916803,-1.0717363
69,-0.2350312,-0.8784418
70,1.1425313,1.8855728
71,3.4563184,2.8520527
72,0.5851972,0.8818759
73,-0.8537424,-0.8784418
74,-0.7270637,0.05710745
75,2.255398,2.099389
76,-3.9903398,-2.762603
77,-0.6046024,-0.8784418
78,0.3097484,0.32281327
79,-1.0503061,-0.37932682
80,-0.25483245,1.0875044
81,1.046782,0.8818759
82,2.99027,2.6883354
83,-0.6194779,-1.4124646
84,-0.34375244,-0.8249874
85,2.315194,2.099389
86,-2.7643147,-2.6108303
87,2.8180585,2.6174903
88,0.6963436,0.88828325
89,-0.85879177,-0.5441637
90,2.0602195,2.2836282
91,0.7218281,0.08664775
92,1.1307064,1.0698211
93,2.4828193,2.6807446
94,2.9051545,3.0081542
95,-0.87008786,-1.8569075
96,2.221412,2.2071476
97,-3.0645118,-2.6108303
98,-0.9117755,-0.37932682
99,2.8772645,2.3879385
100,1.1427735,0.96664166
101,-2.0183318,-1.8569075
102,2.4066913,2.695675
103,2.5423625,2.4559188
104,3.056939,2.9213076
105,-1.1340619,-0.8995943
106,-3.0355012,-2.0248327
107,2.4548166,2.5448985
108,-1.0284339,-0.3538394
109,-1.2027427,-2.0248327
110,1.7545516,1.9134521
111,2.6071994,2.6202855
112,3.1377187,2.9125881
113,2.0797753,1.9134521
114,-3.058314,-3.1984286
115,-0.8973652,-0.7799783
116,-0.68184316,-1.7327406
117,-0.18835837,-0.29812264
118,-0.7873491,-0.99043155
119,-1.5579652,-0.90679884
120,1.986223,1.9188948
121,0.7837875,0.46892786
122,1.8260599,1.4145608
123,0.53686434,-0.29812264
124,2.7187443,3.0081542
125,-3.2057137,-2.6108303
126,-1.7309209,-1.4124646
127,-0.45270398,-0.16590881
128,-2.1890168,-2.507331
129,0.69236666,0.88828325
130,-1.7484865,-1.4124646
131,1.66967,1.9188948
132,-0.93794495,-0.8995943
133,-0.5819225,-0.5441637
134,3.694084,2.8520527
135,-2.7741487,-2.507331
136,-0.83230853,-0.29812264
137,-2.1465287,-2.3150973
138,2.2403934,2.6661375
139,-2.1462529,-2.3150973
140,2.4096465,3.314137
141,1.3852539,1.1207373
142,2.4557128,2.5448985
143,1.0677968,0.46892786
144,0.9620621,0.9131918
145,1.1078017,1.2814435
146,1.7429026,1.9188948
147,-2.5752604,-2.7176876
148,0.68906456,0.7234064
149,1.5545748,1.9188948
150,2.8597302,2.160646
151,2.4577053,2.9125881
152,2.268792,2.4314675
153,-0.9104506,-0.37932682
154,0.7297758,0.8818759
155,0.36368948,-0.46033645
156,-1.199064,-0.8249874
157,3.4995763,2.6174903
158,-1.1480671,-0.8995943
159,1.5653344,1.4145608
160,0.2738017,0.9131918
161,2.079675,1.9134521
162,-3.1319482,-3.223958
163,0.69012815,0.88828325
164,-0.2877532,-0.5441637
165,2.6268535,1.412602
166,2.7386258,1.5821471
167,2.3926537,2.2071476
168,1.5697414,0.7391994
169,2.4190812,1.1909451
170,-3.1081905,-2.9987566
