,True,Predicted
0,-2.2482276,-2.605712
1,-2.39967,-2.9296608
2,-1.3212419,-1.6692286
3,-1.2795345,-1.6455607
4,2.7421772,2.2361627
5,4.3058157,4.160117
6,1.8198978,1.462409
7,-1.8786076,-2.667008
8,1.996969,1.4407821
9,-2.5299685,-2.789741
10,-2.5692348,-3.0055733
11,2.4086776,1.6213913
12,2.4323952,1.8830049
13,3.1975863,2.696064
14,2.4473243,0.48384124
15,3.9813755,2.7806907
16,-2.5835617,-2.9296608
17,2.610799,1.9579692
18,0.35892117,-0.40448093
19,1.9316304,1.1092964
20,-2.5304341,-3.1970134
21,4.424884,4.065632
22,-0.4771263,-1.3194706
23,0.5280129,0.31611675
24,3.5906103,3.1878395
25,0.5453756,0.07721448
26,-2.5445151,-3.186787
27,0.1873747,-0.5341245
28,0.38968176,0.08576727
29,3.9803622,3.9370074
30,0.667489,0.11536226
31,-1.3213365,-2.3342159
32,0.20367153,-0.3499465
33,2.2592285,1.7764406
34,2.328857,1.6098003
35,-0.42164984,-1.2808764
36,1.3113506,0.86956406
37,2.481847,1.869432
38,1.15301,0.7275254
39,3.320002,2.8904495
40,-2.4044023,-2.6034594
41,1.3343527,1.0812798
42,2.6047375,2.2537
43,0.6165787,-0.21769571
44,-1.8640572,-2.2726097
45,-0.55868715,-1.0131724
46,-0.7611642,-1.8174584
47,2.3357158,1.6763
48,0.9428902,0.43623012
49,0.75037086,0.4089992
50,3.3044837,1.897069
51,-1.1713144,-2.2726097
52,0.7162562,0.32327795
53,1.4399711,0.7782934
54,-1.4424175,-2.329097
55,1.6496295,1.254251
56,0.5438603,0.1340313
57,-2.5447235,-2.9605029
58,0.55836695,0.44256443
59,3.6560166,3.0832467
60,1.7384604,1.9943547
61,-2.291299,-2.618264
62,1.3122227,0.93828726
63,-1.7838283,-2.6152287
64,1.4312304,0.912445
65,-1.8629857,-1.8882484
66,4.306297,3.7384343
67,-0.37109604,-0.51388454
68,3.0984068,2.6955338
69,3.6787097,2.7207808
70,-2.104757,-2.7525482
71,-0.3484815,-0.7574029
72,-2.247983,-2.3338137
73,2.501912,1.8042755
74,-2.4447107,-3.10596
75,3.528029,3.1712866
76,0.974417,0.3640489
77,4.6400185,4.093475
78,1.1897618,0.40230304
79,2.9331467,2.0412283
80,4.640027,3.4743848
81,-0.5147283,-1.9072504
82,4.5701632,4.7644567
83,-2.2662444,-2.6912189
84,0.67980355,0.2803712
85,-1.0430765,-1.6455607
86,0.09006576,-0.8254242
87,0.03057698,0.1255498
88,-2.7825959,-3.0957823
89,-0.0023915188,-1.5957981
90,0.5030948,0.26168752
91,-2.611759,-3.0644197
92,1.9912937,1.4436321
93,3.479979,2.8463998
94,1.6841617,1.7144904
95,3.0606089,2.4665675
96,1.4222748,1.5541859
97,3.2040594,2.9946334
98,4.220839,3.653208
99,-2.3989296,-2.6642628
100,-1.5525393,-2.6124177
101,3.0925553,2.8967676
102,0.14271006,-0.62294555
103,4.5011,3.6974013
104,3.6740263,3.3824577
105,1.2706239,0.3731358
106,0.5154469,0.36380506
107,2.4467988,1.9758661
108,4.5710964,4.367065
109,0.38575652,0.05795932
110,3.442185,2.4988108
111,0.5295391,-0.12600286
112,2.6472402,2.453609
113,4.7335343,4.246673
114,2.2370794,1.9817247
115,1.8222003,1.7738389
116,1.1889555,0.9069808
117,1.4425538,0.9827589
118,-0.17797972,0.013173431
119,1.9972795,1.5983732
120,2.7193856,2.2762825
121,-1.9764159,-1.9224241
122,4.900499,3.9732563
123,2.544149,2.0791733
124,2.8053138,1.7164608
125,2.9171424,2.483513
126,1.9323151,1.6483027
127,3.622721,3.0718446
128,0.398766,-0.1716415
129,-2.5439987,-2.756224
130,-1.8414855,-2.605712
131,-2.681968,-2.6039214
132,-2.310134,-3.1406317
133,-1.0234666,-2.2441707
134,-2.6117907,-3.0957823
135,-2.185352,-2.87408
136,0.3151484,-0.6982739
137,-0.9353313,-1.0539076
138,-2.4047902,-2.6152287
139,-2.1841574,-2.618264
140,-1.9758362,-2.3342159
141,2.5341547,2.0338836
142,-2.4482331,-3.1970134
143,-1.4990056,-2.4792447
144,1.0298942,0.0640645
145,4.9700346,4.2758646
146,2.5019171,2.3015633
147,-1.2798151,-1.2989373
