,True,Predicted
0,2.544149,1.9804746
1,0.103701726,-0.14947748
2,0.14378321,-0.6122029
3,1.9972795,0.5192672
4,-1.6147048,-2.0918672
5,1.3113506,1.0050607
6,-2.1841574,-2.678353
7,2.9171424,2.4986506
8,2.2592285,1.4493735
9,1.9323151,1.6708863
10,-1.2432812,-1.8670723
11,0.38968176,-0.5136721
12,1.15301,0.4890778
13,3.6560166,3.2797043
14,3.2040594,2.903541
15,-1.3213365,-2.3819811
16,4.7335343,3.9341872
17,3.9813755,4.3698034
18,4.6400185,3.7578897
19,4.220839,4.401746
20,0.09006576,-0.17357016
21,2.5019171,2.3397484
22,-0.42164984,-1.3214924
23,1.3122227,0.72894835
24,-1.4990056,-2.4677508
25,-0.011957545,-1.010447
26,-1.2795345,-1.9685436
27,-1.5525393,-1.8670723
28,0.5280129,-0.0041700825
29,4.424884,3.0247943
30,1.1897618,0.33106196
31,2.5341547,1.759022
32,3.622721,2.6734953
33,-1.4141561,-2.1440535
34,2.3188694,1.2215674
35,1.8198978,0.99702454
36,-1.8414855,-2.8190465
37,3.528029,2.261512
38,2.4477668,1.8047249
39,-2.185352,-3.4307976
40,-1.5520488,-1.7890561
41,3.3916297,3.4846842
42,1.9316304,2.0236175
43,-0.7611642,-1.0269912
44,1.4425538,0.6149223
45,0.6165787,0.96584606
46,-2.4482331,-2.950573
47,0.5030948,-0.39959836
48,2.3162398,2.3268442
49,0.14271006,-0.2839365
50,0.667489,-0.089021444
51,-2.5302107,-2.591978
52,-2.4047902,-2.415893
53,0.5438603,0.40561366
54,2.6047375,1.046898
55,3.1975863,3.4559531
56,1.1889555,0.7310802
57,0.53074646,-0.47550774
58,-2.611759,-3.5186803
59,2.4473243,2.1366374
60,2.4467988,1.8112197
61,-0.5147283,-0.35720444
62,0.9428902,-0.3021132
63,3.6740263,3.4383957
64,2.2370794,1.8874857
65,1.7384604,2.3862834
66,-1.7838283,-2.415893
67,2.501912,1.9317445
68,-2.104757,-3.1084058
69,-0.010757115,-0.533056
70,4.900499,3.9940488
71,-1.9758362,-2.3819811
72,-0.9353313,-1.0432056
73,-2.3989296,-2.4438484
74,3.0606089,1.9223084
75,-1.3212419,-1.9656477
76,-1.6845698,-1.631952
77,-1.4424175,-1.9444056
78,0.7162562,0.4005437
79,2.3357158,2.0968122
80,3.0925553,2.5326402
81,-2.4044023,-2.6497746
82,4.9700346,3.638141
83,-2.4447107,-2.026055
84,0.03057698,0.05041632
85,2.7193856,2.474041
86,0.26842973,-0.32301724
87,-0.24151857,0.038635015
88,-2.310134,-3.387505
89,-0.0023915188,-0.44398236
90,2.841342,2.18152
91,0.42696354,-1.1455152
92,4.5049963,4.2154703
93,2.328857,1.2197573
94,-2.2662444,-2.7425127
95,-2.291299,-2.678353
96,0.20367153,-0.48677254
97,-0.3484815,-1.3996298
98,-2.7825959,-3.112674
99,-1.8640572,-2.285881
100,-2.6117907,-3.112674
101,-1.8629857,-2.1874933
102,-2.5835617,-2.8822906
103,4.71016,3.9784915
104,3.3044837,2.7082133
105,3.0984068,2.3812027
106,-2.5299685,-3.2373905
107,1.7387248,1.2125597
108,4.640027,3.4914074
109,1.8222003,1.1442649
110,-2.247983,-2.5793204
111,0.35892117,-0.26679635
112,1.2706239,0.48188078
113,-2.6132143,-2.7581615
114,4.503928,3.4642441
115,-1.1713144,-2.285881
116,1.4013036,0.8278681
117,-2.39967,-2.8822906
118,3.6787097,2.7857955
119,-0.55868715,-0.8731699
120,-2.5439987,-2.8757396
121,-0.37109604,-0.9802723
122,0.75037086,-0.02228403
123,-1.2798151,-1.7722324
124,-1.9764159,-2.0333488
125,3.9803622,3.7482502
126,2.9331467,2.504069
127,-0.2973292,-1.1776242
128,0.3151484,-0.25025445
129,2.4323952,1.942966
130,-1.0338299,-1.0981152
131,3.9032156,2.3560863
132,-0.17797972,-0.52348924
133,1.6841617,1.0598971
134,0.38575652,0.06951487
135,-2.5445151,-3.6262145
136,0.5453756,-0.30358553
137,1.6496295,1.18353
138,-2.5304341,-2.950573
139,0.5444837,-0.15069844
140,-0.008995926,-0.034533262
141,4.306297,3.8842752
142,1.312863,0.592988
143,0.398766,-0.12557101
144,-1.8786076,-2.3966382
145,-1.0234666,-1.8820915
146,3.5906103,3.1078508
147,-2.681968,-2.6159108
