,True,Predicted
0,-1.4141561,0.14268517
1,4.5710964,0.6149769
2,-2.6117907,-2.4738574
3,1.15301,2.781836
4,0.5295391,0.24386638
5,1.4222748,1.5597926
6,4.71016,0.90037227
7,0.26842973,0.59790397
8,0.09006576,-0.1935221
9,0.5154469,1.0174005
10,3.6560166,0.75190204
11,3.3916297,2.4707484
12,1.9972795,0.5714857
13,-0.3484815,0.36954534
14,-1.3213365,-2.4365687
15,4.503928,0.98411083
16,2.6047375,1.1799484
17,0.35892117,-0.055161715
18,3.6740263,2.6130657
19,-0.008995926,0.5460738
20,3.9803622,0.8553862
21,1.1897618,-0.79774356
22,1.9316304,0.8749972
23,-2.4044023,-3.0505388
24,4.6400185,0.9212432
25,-0.24151857,1.3821533
26,-0.55868715,-0.4574437
27,1.1889555,-1.077738
28,-2.247983,-2.3479369
29,0.53074646,-0.84644526
30,2.4467988,0.9835813
31,-1.3212419,-0.8892615
32,2.328857,1.8319182
33,1.6841617,1.0008736
34,-2.2482276,-2.2416375
35,3.0925553,1.5503095
36,0.974417,0.7982159
37,-0.37109604,-1.6180286
38,-2.5692348,-2.5337422
39,-1.2798151,-2.583398
40,-1.2795345,-2.4726512
41,-1.0430765,-2.4726512
42,0.5280129,0.47334248
43,-2.5304341,-3.3373685
44,1.7387248,1.3917432
45,-0.0023915188,0.44168162
46,3.320002,0.37709582
47,4.5701632,0.87131643
48,-1.6147048,1.4909682
49,3.0984068,3.3681288
50,-2.1841574,-1.613718
51,-1.8629857,-2.6196456
52,0.14271006,-0.6553205
53,-2.4482331,-3.3373685
54,1.8222003,0.5112243
55,0.67980355,-1.3847992
56,2.5341547,1.5912759
57,-2.5299685,-3.4489007
58,3.622721,0.91687334
59,1.996969,-0.014160946
60,0.38968176,-0.6927628
61,2.3357158,0.16768938
62,-1.5520488,-2.1784666
63,0.42696354,0.33471018
64,-2.104757,-3.5327816
65,-2.5835617,-3.4186778
66,1.6496295,-0.9759495
67,4.4804,0.9210673
68,1.9323151,1.1027524
69,4.7335343,1.0524461
70,-1.5525393,-2.0724387
71,0.55836695,0.091412604
72,3.3044837,1.5953281
73,4.9700346,0.94344485
74,-2.3989296,-2.4615881
75,-2.310134,-2.4244018
76,-2.5302107,-2.3569927
77,-2.39967,-3.4186778
78,2.9331467,1.8109323
79,-2.4047902,-2.9361434
80,-2.5445151,-0.70756364
81,1.2706239,1.5159338
82,0.5444837,0.15448523
83,4.5011,0.7483243
84,2.3162398,0.028529227
85,-0.9353313,0.2717659
86,2.4473243,0.18313843
87,-0.4771263,0.3419749
88,0.1873747,-0.33534622
89,3.442185,1.9112337
90,2.9171424,3.0010524
91,2.4477668,-0.08109373
92,-1.3702097,0.38202214
93,-2.611759,-2.58105
94,-0.010757115,0.74032724
95,1.5614332,-0.8575423
96,-2.5439987,-0.59423757
97,3.0606089,2.957656
98,2.841342,1.7092597
99,0.667489,-0.10748768
100,3.7134767,1.659977
101,2.481847,1.0600985
102,-2.681968,0.1728386
103,2.7421772,0.77355206
104,-2.2662444,-1.4725595
105,-2.5447235,-0.43065763
106,-1.0338299,1.2965703
107,2.2370794,0.87702227
108,-2.291299,-1.613718
109,-1.7838283,-2.9361434
110,0.6165787,0.562304
111,3.528029,1.6386493
112,0.5453756,0.69768476
113,-1.4424175,1.3552905
114,-2.6132143,-3.236756
115,0.9428902,-0.018967569
116,-0.17797972,-0.72128105
117,1.3343527,-0.34364545
118,4.306297,1.7557397
119,3.9032156,1.7670448
120,-1.0234666,0.6624779
121,-1.9758362,-2.4365687
122,1.7384604,2.6834245
123,0.5438603,0.16516066
124,-1.8414855,-2.2416375
125,-1.8786076,1.0772898
126,-1.1713144,-2.5176253
127,3.1975863,1.4860438
128,3.9813755,1.231355
129,0.398766,-0.60779953
130,0.3151484,-1.4606899
131,2.7193856,2.2314763
132,1.4013036,0.42408103
133,-0.011957545,0.6899215
134,0.103701726,-0.055550933
135,4.3058157,1.6415906
136,-0.7611642,0.52941674
137,-2.185352,-1.7340908
138,3.5906103,2.5667863
139,-1.2432812,-2.0724387
140,0.7162562,1.0379026
141,0.20367153,-1.4956906
142,2.610799,0.51414096
143,-2.5694666,-2.4244018
144,-2.4447107,-2.4440863
145,-1.6845698,-2.4711165
146,0.03057698,1.297426
147,4.640027,0.7218355
