,True,Predicted
0,2.481847,1.2917733
1,3.9813755,3.3625088
2,1.3343527,1.199933
3,0.20367153,-1.9108496
4,1.15301,0.100314856
5,2.3357158,0.6689224
6,2.4086776,0.6862366
7,2.841342,2.6384883
8,-0.3484815,-0.7349844
9,0.5154469,-0.11553526
10,4.5049963,3.8331637
11,1.996969,0.44537663
12,-2.310134,-3.3603973
13,0.03057698,-0.9817028
14,1.4013036,0.44537663
15,-1.5525393,-2.1589708
16,-0.9353313,-0.71072173
17,1.9316304,2.0383673
18,-1.3212419,-1.9140928
19,-2.247983,-3.042438
20,3.320002,3.4599197
21,3.0984068,1.5298924
22,2.3162398,0.6244304
23,-0.4771263,-0.1662755
24,0.55836695,0.22912669
25,0.398766,-1.0203658
26,0.14271006,0.23121583
27,1.7387248,1.5298924
28,2.9331467,0.90445423
29,2.328857,1.43381
30,1.1897618,0.7419918
31,2.501912,1.4575963
32,2.4473243,0.6244304
33,1.0298942,0.11727333
34,2.6472402,1.4575963
35,-2.4044023,-2.968099
36,-1.3702097,-1.8228374
37,0.42696354,0.6755887
38,-2.5445151,-2.0248454
39,-2.4447107,-3.0105448
40,4.900499,3.9951935
41,2.5019171,1.4575963
42,-2.5304341,-3.139328
43,1.9912937,0.44537663
44,2.610799,1.7489328
45,4.306297,3.07334
46,3.442185,3.4127338
47,0.667489,-1.0203658
48,0.75037086,-0.1662755
49,0.14378321,0.23121583
50,0.5438603,-1.0258641
51,-2.5692348,-3.3603973
52,3.622721,3.7733111
53,3.479979,3.4127338
54,0.5444837,-1.0258641
55,1.4222748,1.43381
56,-0.011957545,-1.0490761
57,-1.2795345,-1.9108496
58,-1.9764159,-2.020031
59,-1.8629857,-2.1248531
60,-0.7611642,-0.71072173
61,1.6841617,1.4646387
62,1.4425538,-0.5010396
63,4.9700346,3.8331637
64,-2.5835617,-3.4139552
65,0.35892117,0.86782455
66,-2.6117907,-3.2554846
67,4.445582,3.7733111
68,-0.17797972,-1.0203658
69,-2.39967,-3.4139552
70,0.974417,0.024271011
71,1.6496295,0.7419918
72,-0.5147283,-2.0091934
73,-1.1713144,-2.1248531
74,-1.0430765,-1.9108496
75,3.2040594,0.7283251
76,2.544149,1.8636029
77,3.528029,2.0370016
78,1.1889555,0.7419918
79,-2.6132143,-3.9810061
80,0.38968176,0.11727333
81,-1.4424175,-1.771739
82,0.5453756,-1.0258641
83,2.3188694,0.6244304
84,4.424884,3.07334
85,-2.5302107,-3.139328
86,0.7162562,-0.5428419
87,-1.9758362,-2.020031
88,1.9323151,2.0383673
89,4.503928,3.8331637
90,0.67980355,0.11727333
91,1.5614332,0.86782455
92,-1.5520488,-2.1589708
93,-1.8640572,-2.1248531
94,-0.37109604,-2.1248531
95,3.6787097,2.3655562
96,4.5011,3.8331637
97,4.3058157,3.07334
98,4.6400185,3.9770439
99,3.7134767,3.4127338
100,-2.1841574,-2.751987
101,-0.42164984,-0.9633807
102,4.5701632,3.9770439
103,1.3113506,0.8980578
104,0.9428902,0.22912669
105,1.4399711,0.8980578
106,3.6560166,2.974588
107,4.7335343,3.3625088
108,2.8053138,2.6384883
109,-1.6147048,-1.8421936
110,-1.0338299,-1.6362729
111,-2.5694666,-3.3603973
112,-1.8414855,-3.042438
113,4.5710964,3.9770439
114,3.9032156,3.4127338
115,-1.4141561,-2.0091934
116,2.7421772,0.95455647
117,-0.008995926,-1.0490761
118,-2.4482331,-3.139328
119,-1.3213365,-2.020031
120,3.1975863,2.0370016
121,0.5030948,-1.771739
122,0.38575652,-0.71072173
123,2.9171424,1.8636029
124,4.71016,3.9951935
125,-2.291299,-2.751987
126,1.9972795,0.44537663
127,3.5906103,1.7492517
128,-2.2482276,-3.042438
129,-2.104757,-3.4139552
130,1.312863,0.8980578
131,0.09006576,0.23121583
132,-1.8786076,-1.8421936
133,1.3122227,0.8980578
134,-2.7825959,-3.2554846
135,1.8198978,1.6685872
136,4.640027,3.9770439
137,0.5295391,0.22912669
138,0.53074646,0.11727333
139,-1.7838283,-2.968099
140,3.3044837,1.5298924
141,0.103701726,0.23121583
142,-2.611759,-3.2554846
143,3.6740263,2.3655562
144,4.220839,3.5023863
145,-0.24151857,-0.9633807
146,2.5341547,2.660726
147,-2.5439987,-2.0248454
