# FEAT_ID     Score                   Feature Expression
0             0.452281021289290541    (Tx_heat_form * Tx_p_kurt)
1             0.452444480352948819    (Tx_p_skew - Tx_glawe_num)
2             0.456357599787785895    (site_tot_center - electron_affinity_sum)
3             0.45653868430876382     (electron_affinity_sum + Tx_glawe_num)
4             0.456973281639402262    (electron_affinity_av + Tx_glawe_num)
5             0.459227550641382321    (surf_bond_length_sum - Tx_p_skew)
6             0.459589475258493751    (Tx_p_center - metallic_radius_sum)
7             0.460222502876711848    (Tx_elec_aff + Tx_pett_num)
8             0.460621097711635341    (Tx_s_fill + Tx_elec_aff)
9             0.460861458171713034    (Tx_elec_aff / lattice_param_gamma)
10            0.463334984098675962    (dblock_av - Tx_elec_aff)
11            0.465348050050320983    Tx_elec_aff
12            0.469230132682751822    (surf_bond_length_sum + Tx_elec_aff)
13            0.471748413801084177    (lattice_constant_sum - Tx_p_skew)
14            0.472834854962053019    (Tx_dipole_polar - Tx_p_skew)
15            0.475246250366418099    (site_tot_center - Tx_elec_aff)
16            0.482361366982637929    (Tx_elec_aff + Tx_glawe_num)
17            0.498207552158901057    (Tx_p_skew - Tx_therm_cond)
18            0.504671967494619622    (Tx_p_skew - metallic_radius_sum)
19            0.520578104980765732    (Tx_p_center - Tx_therm_cond)
#-----------------------------------------------------------------------
20            0.259214010201001432    (melting_point_std / gas_basicity_sum)
21            0.259337051385889583    (M_therm_cond / gas_basicity_sum)
22            0.261103893051379266    (Tx_elec_aff / en_nagle_av)
23            0.261399460511378745    (eig_12 / en_nagle_av)
24            0.261446721669675253    (eig_13 / en_nagle_av)
25            0.261890515734677642    (eig_10 / en_nagle_av)
26            0.262143294074040523    (electron_affinity_av * CN_p_var)
27            0.262565537170803887    (eig_14 / en_nagle_av)
28            0.263748688583979318    (eig_15 / en_nagle_av)
29            0.264394423563467484    (eig_11 / en_nagle_av)
30            0.264874934805874485    (CN_p_var / gas_basicity_sum)
31            0.269779917027494431    (Tx_tDOS_at_EF - Tx_therm_cond)
32            0.269865225013465104    (M_tot_skew / boiling_point_sum)
33            0.275916698910182334    (atomic_volume_av / en_nagle_av)
34            0.277086925741293399    (electron_affinity_sum * CN_p_var)
35            0.28321109137332795     (surf_s_kurt / en_nagle_av)
36            0.303698389791135559    (Tx_fusion_heat / en_nagle_av)
37            0.30476214406996327     (Tx_elec_aff * CN_p_var)
38            0.306721919991358727    (CN_p_kurt * Tx_fusion_heat)
39            0.3325405521300282      (Tx_evap_heat / en_nagle_av)
#-----------------------------------------------------------------------
40            0.280181099692432822    (dblock_std / en_martynov_batsanov_sum)
41            0.280432211107325025    (group_id_av / atomic_radius_sum)
42            0.283660662774894379    (M_sp_var / Tx_en_mulliken)
43            0.284105417147259454    (en_gordy_sum / en_cottrell_sutton_sum)
44            0.285978317822495332    (surf_charge_avg / en_martynov_batsanov_sum)
45            0.286264870032473584    (Tx_group_id - Tx_charge_min)
46            0.287136269390490084    (Tx_s_fill / Tx_sp_fill)
47            0.287433643006597017    (Tx_p_center / en_cottrell_sutton_sum)
48            0.287895633314714128    (Tx_group_id - Tx_charge_avg)
49            0.288019822483626176    (Tx_tDOS_at_EF - Tx_evap_heat)
50            0.288267328980030768    (Tx_pett_num / en_martynov_batsanov_sum)
51            0.288578919385891308    (site_s_kurt * atomic_radius_av)
52            0.288901194062142985    (Tx_tDOS_at_EF + site_tot_center)
53            0.290842289249183317    (vdw_radius_std - CN_tDOS_at_EF)
54            0.296005809379336182    (covalent_radius_cordero_sum * site_s_kurt)
55            0.299483106710808578    (Tx_p_center / en_martynov_batsanov_sum)
56            0.304061140669364127    (site_s_var * atomic_radius_av)
57            0.306677937857214089    (Tx_tDOS_at_EF + site_s_skew)
58            0.307097055169847477    (Tx_tDOS_at_EF + site_tot_skew)
59            0.363303778636364316    (Tx_tDOS_at_EF - Tx_fusion_heat)
#-----------------------------------------------------------------------
60            0.217112378627297264    (surf_s_center + Tx_fusion_heat)
61            0.217346870999680725    (surf_charge_std / eig_16)
62            0.220375908938175546    (site_s_var * surf_bond_length_min)
63            0.222471601580632616    (surf_bond_length_avg * CN_s_center)
64            0.222592351684463896    (surf_s_var * surf_bond_length_avg)
