# c0 + a0 * (Tx_p_center - Tx_therm_cond)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.692402985998207; Max AE: 4.03945682663159
# Coefficients
# Task   a0                      c0
# all , -6.093018492565866e-01, -5.123070437349306e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         224|55|sub; (Tx_p_center - Tx_therm_cond); $\left(Tx_{p, center} - Tx_{therm, cond}\right)$; (Tx_p_center - Tx_therm_cond); Tx_p_center,Tx_therm_cond
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.015973541617182e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_1    ,  1.247859099249947e+00, -8.467147028128492e-02,  1.389647354338299e-01
sample_2    ,  6.120557753248906e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_3    ,  5.790902272414700e-01, -1.377799282841147e-01,  2.261275399905989e-01
sample_4    ,  2.509562868262680e-01,  7.434881364256901e-01, -1.220229574771232e+00
sample_5    , -4.671054665813817e-01, -6.587672381904597e-01,  1.081183717059494e+00
sample_6    ,  7.941483911512607e-01,  9.650277063692837e-01, -1.583825336402180e+00
sample_7    , -9.771924999652186e-01, -7.047961413950412e-01,  1.156727395879346e+00
sample_8    , -1.604686811820242e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_9    ,  2.029392157440675e+00,  2.427638988099872e-01, -3.984296110477674e-01
sample_10   , -3.465260664712854e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_11   ,  2.142872927243843e-01,  9.340892275964667e-01, -1.533048404064677e+00
sample_12   ,  6.226222642116523e-01,  4.100583634624763e-01, -6.729970768393225e-01
sample_13   , -3.305672056497094e-02,  4.394321139316582e-01, -7.212059416327268e-01
sample_14   , -3.536583594667941e-01,  3.377741113697348e-01, -5.543625245547104e-01
sample_15   , -6.816714659947299e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_16   ,  1.783922799773934e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_17   , -6.729576120821053e-02,  1.946558352932583e-01, -3.194735672159198e-01
sample_18   ,  2.145598939866827e-01,  9.340892275964667e-01, -1.533048404064677e+00
sample_19   ,  1.605584454360118e+00,  3.848554458015870e-01, -6.316334773497765e-01
sample_20   ,  1.001972697154116e+00,  2.970079455717913e-01, -4.874561696048894e-01
sample_21   , -1.077398790263087e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_22   , -1.855570088445691e+00, -5.866212138291454e-01,  9.627760272595365e-01
sample_23   , -1.369145875662061e+00, -7.549063054361367e-02,  1.238969332453533e-01
sample_24   , -7.646812567279195e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_25   , -1.232842731688962e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_26   ,  5.251846489485567e-01,  1.989165131751539e-01, -3.264662882902020e-01
sample_27   , -9.711691076517226e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_28   ,  3.248880688878931e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_29   ,  3.460349022853754e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_30   ,  2.460337396046373e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_31   , -1.124024432653147e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_32   ,  2.225987956210966e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_33   ,  6.970048372487555e-01,  9.816609411788565e-01, -1.611124178232165e+00
sample_34   ,  8.737950041073146e-01,  9.650277063692837e-01, -1.583825336402180e+00
sample_35   ,  2.914771431931900e-01,  8.041322444556991e-01, -1.319760058888425e+00
sample_36   ,  2.566187241374807e-01,  8.488768941250758e-01, -1.393195991708866e+00
sample_37   ,  2.167390929556726e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_38   , -1.100481865948098e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_39   ,  1.561297962794731e+00,  1.338755689506990e+00, -2.197196169912195e+00
sample_40   ,  4.449115042101464e-01,  8.488768941250758e-01, -1.393195991708866e+00
sample_41   ,  3.919541014100157e-01,  7.434881364256901e-01, -1.220229574771232e+00
sample_42   , -8.338224099588942e-01, -1.728998390291110e-01,  2.837671332198766e-01
sample_43   ,  5.480999105234923e-01,  1.198274420918435e+00, -1.966635129009468e+00
sample_44   , -1.696416836532710e+00, -7.541721572988122e-01,  1.237764431896904e+00
sample_45   , -1.937473662653618e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_46   , -2.134808620130636e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_47   ,  4.733815803757341e-01, -8.467147028128492e-02,  1.389647354338299e-01
sample_48   , -4.143925671383314e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_49   , -8.832838788083209e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_50   , -9.227480347312180e-01, -5.878186634334819e-01,  9.647413086808836e-01
sample_51   ,  8.747541352028874e-01,  3.966349001575289e-01, -6.509661847267754e-01
sample_52   ,  1.407295392484003e+00,  1.018008716237019e+00, -1.670778970192030e+00
sample_53   , -6.485601439105799e-01, -2.823111124556040e-01,  4.633353941072946e-01
sample_54   , -8.270953455021176e-01, -1.728998390291110e-01,  2.837671332198766e-01
sample_55   ,  1.316144104083787e+00,  3.870498205044608e-02, -6.352349348302544e-02
sample_56   ,  1.651268236838063e+00,  1.423958277705321e+00, -2.337032588105063e+00
sample_57   , -1.100786754026660e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_58   ,  1.657989436832829e+00,  8.009860078054354e-01, -1.314596384013480e+00
sample_59   , -1.109223021950149e+00, -7.449572267791651e-01,  1.222640679144651e+00
sample_60   , -1.179710490296530e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_61   , -2.380373981029233e+00, -1.120648684444741e+00,  1.839234011536403e+00
sample_62   , -1.442840436625101e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_63   ,  2.742471323600454e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_64   , -1.359045644488029e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_65   , -3.726105271542456e-01, -6.448518962465044e-01,  1.058345542580074e+00
sample_66   ,  4.961945037028541e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_67   , -8.186980666536994e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_68   , -1.519725205686222e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_69   , -4.808586191048539e-01, -1.377799282841147e-01,  2.261275399905989e-01
sample_70   ,  8.866178323220959e-01,  1.338755689506990e+00, -2.197196169912195e+00
sample_71   ,  1.781360476811337e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_72   , -9.318174722477794e-01, -7.047961413950412e-01,  1.156727395879346e+00
sample_73   , -1.222270420253936e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_74   , -2.434285230473981e+00, -1.311407211515214e+00,  2.152311228195469e+00
sample_75   , -9.612430706155806e-01, -1.061391839024603e+00,  1.741980334245850e+00
sample_76   ,  3.194841838858961e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_77   , -1.520333950726896e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_78   , -1.191333721564746e-01,  8.039441943436783e-01, -1.319451426783910e+00
sample_79   , -1.109465205294274e+00, -7.449572267791651e-01,  1.222640679144651e+00
sample_80   ,  1.155870544750295e+00,  1.037883292327014e+00, -1.703397574770769e+00
sample_81   ,  4.184809752529952e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_82   ,  1.925587530492404e+00,  1.018008716237019e+00, -1.670778970192030e+00
sample_83   ,  1.735070504573175e+00,  3.848554458015870e-01, -6.316334773497765e-01
sample_84   ,  1.350117632375153e+00,  9.650277063692837e-01, -1.583825336402180e+00
sample_85   , -1.179733690407144e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_86   ,  8.531780353819968e-01,  8.518054890107341e-01, -1.398002467988613e+00
sample_87   , -9.233308085381915e-01, -5.878186634334819e-01,  9.647413086808836e-01
sample_88   , -1.233052563766835e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_89   ,  3.463954061794226e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_90   ,  1.738806324378026e-01,  7.493716166167326e-02, -1.229885675763247e-01
sample_91   ,  1.407021502324249e+00,  1.018008716237019e+00, -1.670778970192030e+00
sample_92   , -2.679235872424154e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_93   , -1.696393571975897e+00, -7.541721572988122e-01,  1.237764431896904e+00
sample_94   , -1.013813869405038e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_95   ,  1.371114245076065e+00,  2.970079455717913e-01, -4.874561696048894e-01
sample_96   ,  1.322428046489407e+00,  1.042430215024357e+00, -1.710860087321634e+00
sample_97   , -8.852327941851415e-02,  6.006518451565217e-01, -9.858034172871480e-01
sample_98   , -2.990505042709491e-02, -1.331549314832007e-01,  2.185368904520212e-01
sample_99   ,  5.259865993276375e-01,  8.697104960391275e-01, -1.427388571198770e+00
sample_100  ,  7.565545505586592e-01,  1.688939423300954e-01, -2.771925647955347e-01
sample_101  ,  2.077582669572606e-01,  8.518054890107341e-01, -1.398002467988613e+00
sample_102  ,  1.544890975772185e+00,  3.966349001575289e-01, -6.509661847267754e-01
sample_103  , -1.382698937347113e-02,  1.398895208060064e-02, -2.295898510347327e-02
sample_104  , -1.516177071498477e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_105  ,  1.148285614394725e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_106  ,  3.591697075014584e-01,  1.946558352932583e-01, -3.194735672159198e-01
sample_107  ,  1.468913910914512e+00,  3.398822572845119e-01, -5.578224613944709e-01
sample_108  ,  2.091053554109499e-01,  8.518054890107341e-01, -1.398002467988613e+00
sample_109  ,  4.631655419995431e-01,  1.989165131751539e-01, -3.264662882902020e-01
sample_110  ,  4.571739209431386e-01,  8.518054890107341e-01, -1.398002467988613e+00
sample_111  , -1.283058590687394e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_112  , -9.795436375100778e-01, -7.047961413950412e-01,  1.156727395879346e+00
sample_113  , -6.877708806109960e-02,  1.946558352932583e-01, -3.194735672159198e-01
sample_114  ,  5.263947923252110e-01,  8.697104960391275e-01, -1.427388571198770e+00
sample_115  , -1.442866472302159e+00, -1.061391839024603e+00,  1.741980334245850e+00
sample_116  , -3.123453483228824e-01,  1.398895208060064e-02, -2.295898510347327e-02
sample_117  ,  1.631318142308144e+00,  9.816609411788565e-01, -1.611124178232165e+00
sample_118  ,  7.813848521038388e-01,  1.688939423300954e-01, -2.771925647955347e-01
sample_119  ,  2.907310664106021e-01,  8.039441943436783e-01, -1.319451426783910e+00
sample_120  , -2.202534889040284e-01,  3.719243008803471e-02, -6.104105893230671e-02
sample_121  , -6.695050074817397e-01, -2.823111124556040e-01,  4.633353941072946e-01
sample_122  ,  1.206899374190060e+00,  9.816609411788565e-01, -1.611124178232165e+00
