# c0 + a0 * (CN_p_kurt * Tx_fusion_heat) + a1 * (Tx_p_skew - Tx_therm_cond)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.589812282550195; Max AE: 3.2405347062578
# Coefficients
# Task   a0                      a1                      c0
# all , -4.169838351669524e-01, -5.707946609382746e-01, -1.453056890919160e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         269|44|mult; (CN_p_kurt * Tx_fusion_heat); $\left(CN_{p, kurt} Tx_{fusion, heat}\right)$; (CN_p_kurt .* Tx_fusion_heat); CN_p_kurt,Tx_fusion_heat
# 1;  1; Unitless;                                         139|55|sub; (Tx_p_skew - Tx_therm_cond); $\left(Tx_{p, skew} - Tx_{therm, cond}\right)$; (Tx_p_skew - Tx_therm_cond); Tx_p_skew,Tx_therm_cond
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.015973541617182e+00, -6.213801880328645e-01, -5.273851857490172e-01,  1.219327446337261e+00
sample_1    ,  1.247859099249947e+00, -4.966998187306393e-01, -1.827993272139448e-01,  7.491634442820675e-01
sample_2    ,  6.120557753248906e-01,  1.300870328824702e-01,  8.642930263951523e-02, -5.456118730120614e-01
sample_3    ,  5.790902272414700e-01, -6.415091624248052e-01,  2.100175432803122e-01,  7.158958915484882e-01
sample_4    ,  2.509562868262680e-01,  5.060351895021816e-01, -2.901894091735679e-01, -9.291197380162979e-01
sample_5    , -4.671054665813817e-01, -1.204751400613621e+00,  4.778516113402453e-01,  1.507003083333609e+00
sample_6    ,  7.941483911512607e-01,  7.249584839913698e-01, -6.231390492120708e-02, -1.479131358091508e+00
sample_7    , -9.771924999652186e-01, -8.304436019018783e-01, -8.616727287909896e-01,  1.829802525137753e+00
sample_8    , -1.604686811820242e-01, -7.239756232143142e-01, -2.813434293812378e-01,  1.219327446337261e+00
sample_9    ,  2.029392157440675e+00,  1.424778555826577e+00, -3.732254285319721e+00, -2.416725339530545e-02
sample_10   , -3.465260664712854e-01, -6.968634786106387e-01, -3.463630831834537e-01,  1.219327446337261e+00
sample_11   ,  2.142872927243843e-01,  8.336080445492974e-01, -3.083984807458593e-01, -1.489706562746031e+00
sample_12   ,  6.226222642116523e-01,  6.844832613643734e-01, -6.760111731288384e-01, -9.598954867038705e-01
sample_13   , -3.305672056497094e-02,  4.545037409304326e-02, -9.820331912513829e-02, -2.624531671403195e-01
sample_14   , -3.536583594667941e-01, -5.555300983376597e-02, -2.123262231558537e-01, -2.130497188093883e-03
sample_15   , -6.816714659947299e-01, -6.213801880328645e-01, -5.273851857490172e-01,  1.219327446337261e+00
