# c0 + a0 * (Tx_tDOS_at_EF - Tx_fusion_heat) + a1 * (M_tot_skew / boiling_point_sum) + a2 * (Tx_p_center - Tx_therm_cond)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.490219487424031; Max AE: 1.95321564178951
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.999290520725822e-01, -2.823605888132262e-02, -6.183821241631728e-01,  6.214010629984840e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         355|44|sub; (Tx_tDOS_at_EF - Tx_fusion_heat); $\left(Tx_{tDOS, at, EF} - Tx_{fusion, heat}\right)$; (Tx_tDOS_at_EF - Tx_fusion_heat); Tx_tDOS_at_EF,Tx_fusion_heat
# 1;  1; Unitless;                                         374|77|div; (M_tot_skew / boiling_point_sum); $\left(\frac{ M_{tot, skew} }{ boiling_{point, sum} } \right)$; (M_tot_skew ./ boiling_point_sum); M_tot_skew,boiling_point_sum
# 2;  1; Unitless;                                         224|55|sub; (Tx_p_center - Tx_therm_cond); $\left(Tx_{p, center} - Tx_{therm, cond}\right)$; (Tx_p_center - Tx_therm_cond); Tx_p_center,Tx_therm_cond
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.015973541617182e+00, -6.233488163327650e-01, -4.040171617900932e-01, -9.581510418616126e+00,  1.741980334245850e+00
sample_1    ,  1.247859099249947e+00,  1.068461811750348e-01, -3.956278892146817e-01, -4.242477826400679e-01,  1.389647354338299e-01
sample_2    ,  6.120557753248906e-01,  1.745650844505792e-01, -2.115393660590255e-01, -1.231784888318899e+00, -2.295898510347327e-02
sample_3    ,  5.790902272414700e-01, -4.539199831227445e-01,  1.255300752756090e+00, -9.714667683349892e-03,  2.261275399905989e-01
sample_4    ,  2.509562868262680e-01,  6.119487095452530e-01,  6.336591909326035e-01,  5.208500505213275e-01, -1.220229574771232e+00
sample_5    , -4.671054665813817e-01, -6.249670894453186e-01,  3.419872338010121e-02,  2.927222077463317e-01,  1.081183717059494e+00
sample_6    ,  7.941483911512607e-01,  1.159210975760231e+00, -3.851473068605924e-01, -7.595702312988312e-02, -1.583825336402180e+00
sample_7    , -9.771924999652186e-01, -7.630769498457198e-01,  2.160497794102610e-01,  1.597882574710072e+00,  1.156727395879346e+00
sample_8    , -1.604686811820242e-01, -7.575980303775146e-01, -4.040171617900932e-01, -4.826979532807845e+00,  1.741980334245850e+00
sample_9    ,  2.029392157440675e+00,  1.220616854188807e+00, -2.934118936252609e+00, -1.135692753583487e+00, -3.984296110477674e-01
