# c0 + a0 * (site_tot_kurt * surf_bond_length_avg) + a1 * (Tx_tDOS_at_EF + site_s_skew) + a2 * (M_tot_skew / boiling_point_sum) + a3 * (Tx_p_center - Tx_therm_cond)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.428417475159907; Max AE: 1.56524173829867
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.940180278360614e-01, -2.883486576370017e-01, -2.883081510182361e-02, -6.144328583245191e-01,  6.851893587451834e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         170|56|mult; (site_tot_kurt * surf_bond_length_avg); $\left(site_{tot, kurt} surf_{bond, length, avg}\right)$; (site_tot_kurt .* surf_bond_length_avg); site_tot_kurt,surf_bond_length_avg
# 1;  1; Unitless;                                         355|328|add; (Tx_tDOS_at_EF + site_s_skew); $\left(Tx_{tDOS, at, EF} + site_{s, skew}\right)$; (Tx_tDOS_at_EF + site_s_skew); Tx_tDOS_at_EF,site_s_skew
# 2;  1; Unitless;                                         374|77|div; (M_tot_skew / boiling_point_sum); $\left(\frac{ M_{tot, skew} }{ boiling_{point, sum} } \right)$; (M_tot_skew ./ boiling_point_sum); M_tot_skew,boiling_point_sum
# 3;  1; Unitless;                                         224|55|sub; (Tx_p_center - Tx_therm_cond); $\left(Tx_{p, center} - Tx_{therm, cond}\right)$; (Tx_p_center - Tx_therm_cond); Tx_p_center,Tx_therm_cond
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.015973541617182e+00, -5.506312909937346e-01,  6.507293443318890e-01,  5.683808219402231e-02, -9.581510418616126e+00,  1.741980334245850e+00
sample_1    ,  1.247859099249947e+00,  1.080613938376451e+00,  1.256254646113219e+00, -2.482711676477854e+00, -4.242477826400679e-01,  1.389647354338299e-01
sample_2    ,  6.120557753248906e-01,  5.496535236312162e-02, -4.648571437540392e-03,  2.143479266152289e-01, -1.231784888318899e+00, -2.295898510347327e-02
sample_3    ,  5.790902272414700e-01, -1.309463045273313e-01, -3.685705229438640e-01, -1.649435347365017e-01, -9.714667683349892e-03,  2.261275399905989e-01
sample_4    ,  2.509562868262680e-01,  9.094297932800625e-02, -1.481586353334173e+00,  9.595864779615161e-01,  5.208500505213275e-01, -1.220229574771232e+00
sample_5    , -4.671054665813817e-01, -5.250960464235511e-01,  3.662428117075638e-02, -2.371123931563009e-01,  2.927222077463317e-01,  1.081183717059494e+00
sample_6    ,  7.941483911512607e-01,  1.030895415222063e+00, -2.983198036872093e-01, -2.592127491859704e-01, -7.595702312988312e-02, -1.583825336402180e+00
sample_7    , -9.771924999652186e-01, -8.292628601382336e-01,  2.232651852248953e-01,  7.165846025849429e-01,  1.597882574710072e+00,  1.156727395879346e+00
sample_8    , -1.604686811820242e-01, -7.319838428489120e-01,  4.693456530601691e-01,  2.543677700672531e-02, -4.826979532807845e+00,  1.741980334245850e+00
sample_9    ,  2.029392157440675e+00,  1.383029802921401e+00,  1.384256728195591e+00, -2.184727497669907e+00, -1.135692753583487e+00, -3.984296110477674e-01
sample_10   , -3.465260664712854e-01, -1.102553958010735e+00,  6.005187399122624e-03,  1.616470070748590e-01,  1.938823915552100e+00,  1.741980334245850e+00
sample_11   ,  2.142872927243843e-01,  4.355917495649438e-01, -4.269911147774210e-01,  1.475132982382398e+00,  8.319847464510050e-01, -1.533048404064677e+00
sample_12   ,  6.226222642116523e-01,  4.039464969312774e-01,  3.710511679965411e-02,  2.663497379937265e-01,  4.228787954213455e-01, -6.729970768393225e-01
sample_13   , -3.305672056497094e-02,  3.399545415295510e-01, -1.299520567662581e-01,  1.853581100737136e+00, -1.390834236712825e+01, -7.212059416327268e-01
sample_14   , -3.536583594667941e-01, -1.813199399151190e-01,  1.255753202037920e-01,  2.088915514350625e+00,  8.686140063133857e-01, -5.543625245547104e-01
sample_15   , -6.816714659947299e-01, -5.506312909937346e-01,  6.507293443318890e-01,  5.683808219402231e-02, -9.581510418616126e+00,  1.741980334245850e+00
sample_16   ,  1.783922799773934e-01, -4.175228232963136e-03, -4.436244119502735e-01, -2.213203181802582e-01,  7.001106569852596e-01, -2.295898510347327e-02
sample_17   , -6.729576120821053e-02,  3.537366116937676e-01, -8.193081195559269e-01, -1.231946433284148e+00,  8.815610648143534e-01, -3.194735672159198e-01
sample_18   ,  2.145598939866827e-01,  5.235378737179247e-01, -3.842934425716840e-01,  1.213670905895919e+00,  8.319847464510050e-01, -1.533048404064677e+00
sample_19   ,  1.605584454360118e+00,  1.214171574867963e+00,  3.126401301775114e-01, -2.407014355825881e+00,  9.859213733718741e-01, -6.316334773497765e-01
sample_20   ,  1.001972697154116e+00,  9.949373266984818e-01,  1.007369659118924e+00, -1.419700621919529e+00,  2.727786417050003e+00, -4.874561696048894e-01
sample_21   , -1.077398790263087e+00, -8.979882575193997e-01,  5.362523219777414e-01,  4.077213181857984e-01, -2.210163221375232e+00,  1.741980334245850e+00
sample_22   , -1.855570088445691e+00, -7.618053039602819e-01,  6.789862532596931e-01, -6.985421094709703e-01,  2.219225817583677e+01,  9.627760272595365e-01
sample_23   , -1.369145875662061e+00, -8.496822506389149e-01, -1.912502515025742e+00,  9.604404264914231e-01,  9.791309241141566e-02,  1.238969332453533e-01
sample_24   , -7.646812567279195e-01, -1.102519012027499e+00,  6.089187230229043e-03,  1.616114649688560e-01,  1.938823915552100e+00,  1.741980334245850e+00
sample_25   , -1.232842731688962e+00, -9.444787224478614e-01,  8.241148067273423e-01,  3.224986739889280e-01,  3.190345209866543e+00,  1.741980334245850e+00
sample_26   ,  5.251846489485567e-01,  4.627467320830066e-01, -1.232832984670610e+00, -1.958123871657924e+00,  2.952079397558069e-01, -3.264662882902020e-01
sample_27   , -9.711691076517226e-01, -1.173342575405739e+00, -4.564313003055796e-01,  3.135152442883182e-02,  9.813234389015266e-01,  1.741980334245850e+00
sample_28   ,  3.248880688878931e-01,  2.253685283661645e-01, -7.170588876234413e-02, -4.359375818911670e-02, -5.246312303659925e+00, -2.295898510347327e-02
sample_29   ,  3.460349022853754e-01,  1.682901515286724e-01, -6.069287295510938e-02, -9.387621720240003e-02, -2.651336014553960e+00, -2.295898510347327e-02
sample_30   ,  2.460337396046373e-01, -7.139769113925468e-02, -3.489545900408848e-01,  3.685537891004039e-01, -1.902393278631064e+00, -2.295898510347327e-02
sample_31   , -1.124024432653147e+00, -1.513325355445684e+00, -1.763486237865996e+00, -1.224924379997063e-01,  9.829108056377901e-01,  1.741980334245850e+00
