# c0 + a0 * (site_charge_std / eig_19) + a1 * (site_tot_kurt * surf_bond_length_avg) + a2 * (Tx_tDOS_at_EF + site_s_skew) + a3 * (M_tot_skew / boiling_point_sum) + a4 * (Tx_p_center - Tx_therm_cond)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.369030085771572; Max AE: 1.56039482573184
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.285123084408330e-01,  2.856270532523634e-01, -2.897627398219306e-01, -2.829637806344819e-02, -5.731737483110902e-01, -3.118962927825866e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         140|154|div; (site_charge_std / eig_19); $\left(\frac{ site_{charge, std} }{ eig_{19} } \right)$; (site_charge_std ./ eig_19); site_charge_std,eig_19
# 1;  1; Unitless;                                         170|56|mult; (site_tot_kurt * surf_bond_length_avg); $\left(site_{tot, kurt} surf_{bond, length, avg}\right)$; (site_tot_kurt .* surf_bond_length_avg); site_tot_kurt,surf_bond_length_avg
# 2;  1; Unitless;                                         355|328|add; (Tx_tDOS_at_EF + site_s_skew); $\left(Tx_{tDOS, at, EF} + site_{s, skew}\right)$; (Tx_tDOS_at_EF + site_s_skew); Tx_tDOS_at_EF,site_s_skew
# 3;  1; Unitless;                                         374|77|div; (M_tot_skew / boiling_point_sum); $\left(\frac{ M_{tot, skew} }{ boiling_{point, sum} } \right)$; (M_tot_skew ./ boiling_point_sum); M_tot_skew,boiling_point_sum
# 4;  1; Unitless;                                         224|55|sub; (Tx_p_center - Tx_therm_cond); $\left(Tx_{p, center} - Tx_{therm, cond}\right)$; (Tx_p_center - Tx_therm_cond); Tx_p_center,Tx_therm_cond
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.015973541617182e+00, -7.649141252388633e-01,  7.692604717169784e-01,  6.507293443318890e-01,  5.683808219402231e-02, -9.581510418616126e+00,  1.741980334245850e+00
sample_1    ,  1.247859099249947e+00,  1.301369708446731e+00, -1.409061736303946e+00,  1.256254646113219e+00, -2.482711676477854e+00, -4.242477826400679e-01,  1.389647354338299e-01
sample_2    ,  6.120557753248906e-01,  8.472153265543354e-02, -5.747367598735897e-01, -4.648571437540392e-03,  2.143479266152289e-01, -1.231784888318899e+00, -2.295898510347327e-02
sample_3    ,  5.790902272414700e-01, -1.658934459608584e-01, -2.280441053665063e-01, -3.685705229438640e-01, -1.649435347365017e-01, -9.714667683349892e-03,  2.261275399905989e-01
sample_4    ,  2.509562868262680e-01,  3.307063621948877e-02, -3.537158589550479e-01, -1.481586353334173e+00,  9.595864779615161e-01,  5.208500505213275e-01, -1.220229574771232e+00
sample_5    , -4.671054665813817e-01, -5.375677068040260e-01, -1.857396765482911e-01,  3.662428117075638e-02, -2.371123931563009e-01,  2.927222077463317e-01,  1.081183717059494e+00
sample_6    ,  7.941483911512607e-01,  6.622126266233049e-01,  9.034793304254832e-01, -2.983198036872093e-01, -2.592127491859704e-01, -7.595702312988312e-02, -1.583825336402180e+00
sample_7    , -9.771924999652186e-01, -7.232977368184198e-01, -7.000975180124146e-01,  2.232651852248953e-01,  7.165846025849429e-01,  1.597882574710072e+00,  1.156727395879346e+00
sample_8    , -1.604686811820242e-01, -7.698342735615883e-02, -3.016863209173553e+00,  4.693456530601691e-01,  2.543677700672531e-02, -4.826979532807845e+00,  1.741980334245850e+00
sample_9    ,  2.029392157440675e+00,  1.474931889032556e+00, -9.504185527798165e-01,  1.384256728195591e+00, -2.184727497669907e+00, -1.135692753583487e+00, -3.984296110477674e-01
sample_10   , -3.465260664712854e-01, -3.597990798999707e-01, -3.368893704154315e+00,  6.005187399122624e-03,  1.616470070748590e-01,  1.938823915552100e+00,  1.741980334245850e+00
sample_11   ,  2.142872927243843e-01,  3.515608273202782e-01, -3.369109541975520e-01, -4.269911147774210e-01,  1.475132982382398e+00,  8.319847464510050e-01, -1.533048404064677e+00
sample_12   ,  6.226222642116523e-01,  2.854392802859631e-01, -4.126952908694539e-02,  3.710511679965411e-02,  2.663497379937265e-01,  4.228787954213455e-01, -6.729970768393225e-01
sample_13   , -3.305672056497094e-02,  2.130319289378480e-01, -5.035217944535430e-02, -1.299520567662581e-01,  1.853581100737136e+00, -1.390834236712825e+01, -7.212059416327268e-01
sample_14   , -3.536583594667941e-01, -2.957538691378839e-01, -5.115925017567621e-02,  1.255753202037920e-01,  2.088915514350625e+00,  8.686140063133857e-01, -5.543625245547104e-01
sample_15   , -6.816714659947299e-01, -7.649141252388633e-01,  7.692604717169784e-01,  6.507293443318890e-01,  5.683808219402231e-02, -9.581510418616126e+00,  1.741980334245850e+00
sample_16   ,  1.783922799773934e-01,  9.240936201355507e-03, -4.798972373828701e-01, -4.436244119502735e-01, -2.213203181802582e-01,  7.001106569852596e-01, -2.295898510347327e-02
sample_17   , -6.729576120821053e-02,  3.621518927940782e-01, -4.910765467242040e-01, -8.193081195559269e-01, -1.231946433284148e+00,  8.815610648143534e-01, -3.194735672159198e-01
sample_18   ,  2.145598939866827e-01,  4.289522367561497e-01, -2.906720072833301e-01, -3.842934425716840e-01,  1.213670905895919e+00,  8.319847464510050e-01, -1.533048404064677e+00
sample_19   ,  1.605584454360118e+00,  1.186693624518201e+00, -4.244146714142160e-01,  3.126401301775114e-01, -2.407014355825881e+00,  9.859213733718741e-01, -6.316334773497765e-01
sample_20   ,  1.001972697154116e+00,  9.121247183888049e-01, -1.837772967798101e-01,  1.007369659118924e+00, -1.419700621919529e+00,  2.727786417050003e+00, -4.874561696048894e-01
sample_21   , -1.077398790263087e+00, -1.108970338676377e+00,  7.740880625644539e-01,  5.362523219777414e-01,  4.077213181857984e-01, -2.210163221375232e+00,  1.741980334245850e+00
sample_22   , -1.855570088445691e+00, -1.762088428475860e+00,  4.146160231575054e+00,  6.789862532596931e-01, -6.985421094709703e-01,  2.219225817583677e+01,  9.627760272595365e-01
sample_23   , -1.369145875662061e+00, -8.532454873673250e-01, -3.338616858962106e-01, -1.912502515025742e+00,  9.604404264914231e-01,  9.791309241141566e-02,  1.238969332453533e-01
sample_24   , -7.646812567279195e-01, -1.310377578234721e+00,  7.911132391177703e-01,  6.089187230229043e-03,  1.616114649688560e-01,  1.938823915552100e+00,  1.741980334245850e+00
sample_25   , -1.232842731688962e+00, -1.159096595246202e+00,  7.925863589218627e-01,  8.241148067273423e-01,  3.224986739889280e-01,  3.190345209866543e+00,  1.741980334245850e+00
sample_26   ,  5.251846489485567e-01,  3.474905596405746e-01,  6.717050503880041e-02, -1.232832984670610e+00, -1.958123871657924e+00,  2.952079397558069e-01, -3.264662882902020e-01
sample_27   , -9.711691076517226e-01, -1.376808338684065e+00,  7.874402171395390e-01, -4.564313003055796e-01,  3.135152442883182e-02,  9.813234389015266e-01,  1.741980334245850e+00
sample_28   ,  3.248880688878931e-01,  3.529087225901368e-01, -1.007983002769387e+00, -7.170588876234413e-02, -4.359375818911670e-02, -5.246312303659925e+00, -2.295898510347327e-02
sample_29   ,  3.460349022853754e-01,  2.427441014260723e-01, -7.696947909243249e-01, -6.069287295510938e-02, -9.387621720240003e-02, -2.651336014553960e+00, -2.295898510347327e-02
sample_30   ,  2.460337396046373e-01,  6.042570746902043e-03, -7.732883240203308e-01, -3.489545900408848e-01,  3.685537891004039e-01, -1.902393278631064e+00, -2.295898510347327e-02
sample_31   , -1.124024432653147e+00, -1.706917993413370e+00,  7.931849221534096e-01, -1.763486237865996e+00, -1.224924379997063e-01,  9.829108056377901e-01,  1.741980334245850e+00
sample_32   ,  2.225987956210966e-01,  1.451022154387382e-02, -1.002340262134031e+00, -2.072312593209170e-02,  4.612022268053385e-01,  2.012569152756429e+00, -2.295898510347327e-02
sample_33   ,  6.970048372487555e-01,  8.624585196812482e-01, -2.473575872380336e-01, -3.507878621753114e-01,  7.905506339857340e-01, -8.585425031225030e+00, -1.611124178232165e+00
sample_34   ,  8.737950041073146e-01,  1.875055400931989e+00, -3.143067778043571e+00, -2.311880276786014e-01, -1.187497393865289e+00, -7.595702312988312e-02, -1.583825336402180e+00
sample_35   ,  2.914771431931900e-01,  6.617314533584714e-01,  1.557315064537886e-01,  1.708201673668834e-01,  1.620750193323801e-01,  1.052139269088415e+00, -1.319760058888425e+00
sample_36   ,  2.566187241374807e-01,  1.980385395376732e-01, -3.291016283610929e-01, -7.888081798328578e-01,  1.467751368822455e+00, -2.150678538610784e-01, -1.393195991708866e+00
sample_37   ,  2.167390929556726e-01,  1.529744599627122e-01, -3.779853519264413e-01, -1.253264747429195e-01, -4.087719056653818e-01, -6.997576471861898e-02, -2.295898510347327e-02
sample_38   , -1.100481865948098e+00, -1.081310521056457e+00,  7.952739774552608e-01,  7.772049184319054e-01,  2.971997117013874e-01,  2.052188290006719e-01,  1.741980334245850e+00
sample_39   ,  1.561297962794731e+00,  1.651975206196354e+00, -8.636181802228744e-01,  1.280540676213025e-01, -9.743113152674225e-01,  3.267292192614772e+00, -2.197196169912195e+00
sample_40   ,  4.449115042101464e-01,  3.643703557273174e-01, -6.901829982267311e-01, -7.235542262496739e-01,  1.242801865681733e+00, -2.150678538610784e-01, -1.393195991708866e+00
sample_41   ,  3.919541014100157e-01,  2.019758672723925e-01, -3.966153134512017e-01, -1.514393046747365e+00,  3.781706032178156e-01,  5.208500505213275e-01, -1.220229574771232e+00
sample_42   , -8.338224099588942e-01, -1.106500824080229e+00, -1.288136712770536e+00, -2.180614526491971e+00,  8.886819284563108e-01,  1.154455190682016e+01,  2.837671332198766e-01
sample_43   ,  5.480999105234923e-01,  1.361634918867888e+00, -1.318898989028974e+00,  7.593003650795029e-02,  2.390195972189778e-01, -4.165751483104292e-01, -1.966635129009468e+00
