# FEAT_ID     Feature Postfix Expression (RPN)
0             103|80|add
1             133|109|add
2             80|19|add
3             144|72|add
4             71|48|sub
5             67|34|sub
6             109|96|add
7             103|15|add
8             48|1|sub
9             96|72|add
10            109|32|add
11            93|48|sub
12            103|67|add
13            109|100|add
14            109|19|add
15            109|103|add
16            48|15|sub
17            109|49|add
18            109|48|sub
19            67|48|sub
#-----------------------------------------------------------------------
20            48|2|add
21            133|31|add
22            105|48|add
23            122|15|sub
24            128|31|add
25            72|63|add
26            48|26|add
27            89|27|sub
28            63|4|div
29            143|31|add
30            103|63|add
31            125|89|add
32            48|31|sub
33            122|67|sub
34            103|89|sub
35            48|17|add
36            48|42|add
37            104|103|sub
38            92|72|mult
39            104|48|add
#-----------------------------------------------------------------------
40            103|31|add
41            92|62|mult
42            92|11|mult
43            111|66|mult
44            92|76|mult
45            105|103|sub
46            135|92|mult
47            92|61|mult
48            92|19|mult
49            140|92|mult
50            109|106|mult
51            92|33|mult
52            120|92|mult
53            92|34|mult
54            102|92|mult
55            92|85|mult
56            92|79|mult
57            106|72|mult
58            105|15|sub
59            105|67|sub
#-----------------------------------------------------------------------
60            105|87|div
61            93|87|div
62            91|87|div
63            67|87|div
64            144|87|div
65            1|87|div
66            15|87|div
67            32|87|div
68            136|87|div
69            74|6|div
70            23|87|div
71            105|72|mult
72            134|87|div
73            87|inv
74            111|106|mult
75            109|93|mult
76            103|32|div
77            48|34|div
78            109|105|mult
79            133|6|div
#-----------------------------------------------------------------------
80            72|87|div
81            12|87|div
82            21|87|div
83            89|87|div
84            94|87|div
85            113|87|div
86            49|87|div
87            66|87|div
88            6|87|div
89            96|87|div
90            115|87|div
91            63|87|div
92            51|87|div
93            58|87|div
94            71|87|div
95            130|87|div
96            29|87|div
97            47|87|div
98            14|87|div
99            106|87|div
#-----------------------------------------------------------------------
