# c0 + a0 * (M_s_kurt - Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.751734513638303; Max AE: 4.57828171328743
# Coefficients
# Task   a0                      c0
# all , -4.819045291857468e-01,  1.102516621055000e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         67|48|sub; (M_s_kurt - Tx_s_fill); $\left(M_{s, kurt} - Tx_{s, fill}\right)$; (M_s_kurt - Tx_s_fill); M_s_kurt,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.015973541617182e+00, -8.616249510931938e-01,  1.787957777755366e+00
sample_1    ,  1.247859099249947e+00,  6.726940946585033e-02, -1.395907392269430e-01
sample_2    ,  6.120557753248906e-01, -9.301861550213895e-02,  1.930229119433853e-01
sample_3    ,  5.790902272414700e-01, -4.080932866950636e-01,  8.468343042647911e-01
sample_4    ,  2.509562868262680e-01,  6.373395477087617e-01, -1.322543178387733e+00
sample_5    , -4.671054665813817e-01, -5.408864153755224e-01,  1.122393301198963e+00
sample_6    ,  7.941483911512607e-01,  4.860528661556824e-01, -1.008608213284371e+00
sample_7    , -9.771924999652186e-01, -1.060551122148675e+00,  2.200749438775024e+00
sample_8    , -1.604686811820242e-01, -7.588027473976865e-01,  1.574591441752587e+00
sample_9    ,  2.029392157440675e+00,  8.780160742283750e-01, -1.821970994362557e+00
sample_10   , -3.465260664712854e-01, -8.117475059490872e-01,  1.684457100498021e+00
sample_11   ,  2.142872927243843e-01,  7.202373778970387e-01, -1.494564450585249e+00
sample_12   ,  6.226222642116523e-01,  4.728586944301955e-01, -9.812289899602402e-01
sample_13   , -3.305672056497094e-02,  4.285764354518612e-01, -8.893388824877995e-01
sample_14   , -3.536583594667941e-01,  6.514335266273712e-01, -1.351789591453042e+00
sample_15   , -6.816714659947299e-01, -8.616249510931938e-01,  1.787957777755366e+00
sample_16   ,  1.783922799773934e-01,  3.666385024544593e-01, -7.608114891012800e-01
sample_17   , -6.729576120821053e-02, -2.211383701260914e-04,  4.588841912313013e-04
sample_18   ,  2.145598939866827e-01,  7.202373778970387e-01, -1.494564450585249e+00
sample_19   ,  1.605584454360118e+00,  8.414551594312718e-01, -1.746103446782378e+00
sample_20   ,  1.001972697154116e+00,  8.268304794614949e-01, -1.715755776063268e+00
sample_21   , -1.077398790263087e+00, -1.156674661129945e+00,  2.400215376859662e+00
sample_22   , -1.855570088445691e+00,  2.526668318731898e-01, -5.243088964117227e-01
sample_23   , -1.369145875662061e+00, -1.004670984238183e+00,  2.084792574860693e+00
sample_24   , -7.646812567279195e-01, -8.117475059490872e-01,  1.684457100498021e+00
sample_25   , -1.232842731688962e+00, -9.746927899978888e-01,  2.022584829498874e+00
sample_26   ,  5.251846489485567e-01, -2.396480307442805e-01,  4.972935845803387e-01
sample_27   , -9.711691076517226e-01, -6.246670080101930e-01,  1.296246393586850e+00
sample_28   ,  3.248880688878931e-01, -4.262198562488190e-02,  8.844487454164091e-02
sample_29   ,  3.460349022853754e-01,  5.184015540784916e-02, -1.075734969651379e-01
sample_30   ,  2.460337396046373e-01, -3.440419684197060e-01,  7.139214254761597e-01
sample_31   , -1.124024432653147e+00, -4.332223731168606e-01,  8.989796668831017e-01
sample_32   ,  2.225987956210966e-01, -1.493695786341526e-01,  3.099567851884188e-01
sample_33   ,  6.970048372487555e-01,  6.654963132127975e-01, -1.380971277313491e+00
sample_34   ,  8.737950041073146e-01,  4.860528661556824e-01, -1.008608213284371e+00
sample_35   ,  2.914771431931900e-01,  6.341329494144250e-01, -1.315889166856124e+00
sample_36   ,  2.566187241374807e-01,  6.089694642753229e-01, -1.263672423465852e+00
sample_37   ,  2.167390929556726e-01,  2.693026642929904e-01, -5.588299092104807e-01
sample_38   , -1.100481865948098e+00, -1.097400914676812e+00,  2.277216436481812e+00
sample_39   ,  1.561297962794731e+00,  5.098110943736074e-01, -1.057908908295618e+00
sample_40   ,  4.449115042101464e-01,  6.089694642753229e-01, -1.263672423465852e+00
sample_41   ,  3.919541014100157e-01,  6.373395477087617e-01, -1.322543178387733e+00
sample_42   , -8.338224099588942e-01, -1.295788098092610e+00,  2.688889644349362e+00
sample_43   ,  5.480999105234923e-01,  9.380218156894853e-01, -1.946488897447011e+00
sample_44   , -1.696416836532710e+00, -7.739331834396788e-01,  1.605988606804257e+00
sample_45   , -1.937473662653618e-01, -1.097400914676812e+00,  2.277216436481812e+00
sample_46   , -2.134808620130636e-01,  2.203534434551899e-01, -4.572553900406612e-01
