# c0 + a0 * (Tx_sp_var + surf_s_center) + a1 * (site_tot_center + M_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.657034408372922; Max AE: 4.8377873718762
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.709316028154450e-01, -5.461027610179007e-01, -1.866628994775974e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         125|89|add; (Tx_sp_var + surf_s_center); $\left(Tx_{sp, var} + surf_{s, center}\right)$; (Tx_sp_var + surf_s_center); Tx_sp_var,surf_s_center
# 1;  1; Unitless;                                         103|67|add; (site_tot_center + M_s_kurt); $\left(site_{tot, center} + M_{s, kurt}\right)$; (site_tot_center + M_s_kurt); site_tot_center,M_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.015973541617182e+00, -1.222398864507724e+00, -1.009779876709021e+00,  1.182714439684528e+00
sample_1    ,  1.247859099249947e+00,  3.322384741672789e-01,  6.484319375564367e-01,  6.953235538997238e-02
sample_2    ,  6.120557753248906e-01, -1.747350080752334e-01,  6.250191335332377e-01,  9.734032158761795e-01
sample_3    ,  5.790902272414700e-01, -4.784725649977984e-01,  4.410573641600953e-01,  1.337268743139240e+00
sample_4    ,  2.509562868262680e-01, -4.160152199293319e-01, -8.288041771455676e-01, -1.046969204879172e-01
sample_5    , -4.671054665813817e-01, -5.154255307623488e-01, -1.821210865762558e-01,  7.534238540196461e-01
sample_6    ,  7.941483911512607e-01,  9.261847233615735e-02, -3.552949810676224e-01, -5.410476313993462e-01
sample_7    , -9.771924999652186e-01, -1.244462907538017e+00,  2.980073087279930e-01,  2.590363570629225e+00
sample_8    , -1.604686811820242e-01, -1.239936592371962e+00, -9.046100864153045e-01,  1.324780164933353e+00
sample_9    ,  2.029392157440675e+00,  1.545806813487557e+00, -2.177723648368486e-01, -3.058288765432599e+00
sample_10   , -3.465260664712854e-01, -6.512950331693611e-01, -2.351979613375983e-01,  9.467322288579560e-01
sample_11   ,  2.142872927243843e-01, -5.051550116542863e-01, -1.458012960642022e+00, -5.992840326987987e-01
sample_12   ,  6.226222642116523e-01,  2.782517957452553e-01,  2.940587013608197e-01, -2.020945469123471e-01
sample_13   , -3.305672056497094e-02,  1.734457024691134e-01,  7.701149030298671e-02, -2.370934888406088e-01
sample_14   , -3.536583594667941e-01,  3.133831634561392e-01,  4.452428290520618e-01, -1.083678121550877e-01
sample_15   , -6.816714659947299e-01, -1.222398864507724e+00, -1.009779876709021e+00,  1.182714439684528e+00
sample_16   ,  1.783922799773934e-01,  1.621306686301635e-01,  6.038963103038189e-01,  3.344660250489775e-01
sample_17   , -6.729576120821053e-02, -1.136499095616230e-01,  9.985862091191655e-02,  3.125095938641650e-01
sample_18   ,  2.145598939866827e-01, -2.823702850986332e-01, -1.458012960642022e+00, -1.007237887647997e+00
sample_19   ,  1.605584454360118e+00,  1.015329640067258e+00, -7.978871820630666e-01, -2.693391707170311e+00
sample_20   ,  1.001972697154116e+00,  1.042747744166662e+00, -5.315087584620752e-01, -2.465109110667425e+00
sample_21   , -1.077398790263087e+00, -1.353342544773880e+00, -6.642450817383079e-01,  1.783737613373504e+00
sample_22   , -1.855570088445691e+00, -6.244556892115702e-01, -5.511698057299578e-01,  5.672475048931931e-01
sample_23   , -1.369145875662061e+00, -8.590830824973662e-01,  8.632609270534376e-01,  2.475625694893011e+00
sample_24   , -7.646812567279195e-01, -6.515271890003668e-01, -2.351979613375983e-01,  9.471573426782431e-01
sample_25   , -1.232842731688962e+00, -4.680113265312547e-01, -1.051487685662382e-01,  7.470728966819647e-01
sample_26   ,  5.251846489485567e-01,  1.269500050796853e-01,  6.137658863069602e-01,  4.092056515635606e-01
sample_27   , -9.711691076517226e-01, -5.484028078710353e-01, -3.108104176868087e-01,  6.792701747889682e-01
sample_28   ,  3.248880688878931e-01,  2.652884750829494e-02,  5.514154348647166e-01,  5.279073301128085e-01
sample_29   ,  3.460349022853754e-01,  5.932542779516138e-02,  6.891539466724876e-01,  6.118524999623631e-01
sample_30   ,  2.460337396046373e-01, -3.107208263981807e-01,  7.627420576729826e-01,  1.366399192945497e+00
sample_31   , -1.124024432653147e+00, -5.458766079495401e-01, -4.461196695443492e-01,  5.331831493149025e-01
sample_32   ,  2.225987956210966e-01,  1.056874193357997e-01,  1.055095042983357e+00,  9.095352013080885e-01
sample_33   ,  6.970048372487555e-01, -1.640165080730479e-01, -8.783586268835764e-01, -6.179536429944987e-01
sample_34   ,  8.737950041073146e-01,  1.063091004308653e+00, -3.552949810676224e-01, -2.318135390786602e+00
sample_35   ,  2.914771431931900e-01,  1.141782145237869e+00,  1.124072240737191e+00, -9.156038292526526e-01
sample_36   ,  2.566187241374807e-01,  2.439580077572856e-01, -5.791565749247729e-01, -1.052213686466519e+00
sample_37   ,  2.167390929556726e-01,  9.259133860882558e-02,  2.647809050032408e-01,  1.072700086159761e-01
sample_38   , -1.100481865948098e+00, -8.804703423695539e-01, -6.856464810142103e-01,  8.954598528083832e-01
sample_39   ,  1.561297962794731e+00,  1.263707267751075e+00, -6.436672933813169e-01, -2.986978612231702e+00
sample_40   ,  4.449115042101464e-01,  4.519475084126796e-01, -5.791565749247729e-01, -1.433075157058088e+00
sample_41   ,  3.919541014100157e-01,  1.869305555037663e-01, -8.288041771455676e-01, -1.208785415314872e+00
sample_42   , -8.338224099588942e-01, -9.787074852368736e-01,  1.135487072700223e+00,  2.979279827476459e+00
sample_43   ,  5.480999105234923e-01,  2.185878604366801e+00,  1.220565912879288e+00, -2.726627766190555e+00
sample_44   , -1.696416836532710e+00, -6.883148410677394e-01,  3.160035063271222e-02,  1.293449750349916e+00
sample_45   , -1.937473662653618e-01, -8.804621575304299e-01, -6.856464810142103e-01,  8.954448650813323e-01
sample_46   , -2.134808620130636e-01,  5.250168829909589e-01,  9.277896317427629e-01,  8.583619915692342e-03
sample_47   ,  4.733815803757341e-01, -1.912216465754039e-01,  6.484319375564367e-01,  1.028070121738171e+00
sample_48   , -4.143925671383314e-01, -1.222483923502566e+00, -1.009779876709021e+00,  1.182870196074925e+00
sample_49   , -8.832838788083209e-01, -6.520365131489196e-01, -2.351979613375983e-01,  9.480899952574089e-01
sample_50   , -9.227480347312180e-01, -5.190888502638349e-01, -7.558395584721489e-02,  8.715128638385548e-01
sample_51   ,  8.747541352028874e-01,  8.854278843958775e-01, -1.291119919948975e-01, -1.756339775943341e+00
sample_52   ,  1.407295392484003e+00,  8.349508949499036e-01,  7.091652602968699e-01, -7.875185165260178e-01
sample_53   , -6.485601439105799e-01, -1.099178686233573e+00,  8.277904212838916e-01,  2.878195296655780e+00
sample_54   , -8.270953455021176e-01, -7.019925917571451e-01,  1.135487072700223e+00,  2.472571359341361e+00
sample_55   ,  1.316144104083787e+00,  1.172392509988600e+00,  9.952653060104588e-01, -1.106319426906617e+00
sample_56   ,  1.651268236838063e+00,  1.419197138057605e+00, -7.616900305395362e-01, -3.395093708345696e+00
sample_57   , -1.100786754026660e+00, -8.806652628955318e-01, -6.856464810142103e-01,  8.958167829319641e-01
sample_58   ,  1.657989436832829e+00,  1.169418186744235e+00,  1.445457174770198e+00, -6.302129007919803e-01
sample_59   , -1.109223021950149e+00, -1.074503749343581e+00,  9.108311345474432e-02,  2.062809525441666e+00
sample_60   , -1.179710490296530e+00, -6.395222837851613e-01, -4.034956998940717e-01,  7.492249926604699e-01
sample_61   , -2.380373981029233e+00, -1.133992362717118e+00, -5.502705182617095e-01,  1.501229424688811e+00
sample_62   , -1.442840436625101e+00, -4.507349188581974e-01, -1.492011720190481e+00, -7.344803077390697e-01
sample_63   ,  2.742471323600454e-01, -2.836826419312604e-01,  7.627420576729826e-01,  1.316888026921500e+00
sample_64   , -1.359045644488029e+00, -1.241247900282021e+00, -9.046100864153045e-01,  1.327181375847605e+00
sample_65   , -3.726105271542456e-01, -3.596551930727010e-01,  5.964741585148946e-01,  1.282178356187896e+00
sample_66   ,  4.961945037028541e-01, -3.892828413300880e-02,  1.039402163981059e+00,  1.157942923426877e+00
sample_67   , -8.186980666536994e-01, -6.520365131489196e-01, -2.351979613375983e-01,  9.480899952574089e-01
sample_68   , -1.519725205686222e+00, -8.552407361571130e-01, -1.995014527531868e+00, -5.196386576728041e-01
sample_69   , -4.808586191048539e-01, -7.264092382713867e-01,  4.410573641600953e-01,  1.791279766287063e+00
sample_70   ,  8.866178323220959e-01,  3.439428879555016e-01, -6.436672933813169e-01, -1.302745450543980e+00
sample_71   ,  1.781360476811337e-01,  3.646882082306689e-01,  6.038963103038189e-01, -3.644867097444326e-02
sample_72   , -9.318174722477794e-01, -7.564550638592824e-01,  2.980073087279930e-01,  1.696744496502737e+00
sample_73   , -1.222270420253936e-01, -5.500513071430008e-01, -3.108104176868087e-01,  6.822888360916373e-01
