# c0 + a0 * (CN_charge_min / Tx_tot_kurt) + a1 * (CN_p_var * Tx_p_center) + a2 * (M_s_center - site_tot_center) + a3 * (M_s_kurt - Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.545939226396927; Max AE: 3.86090843042603
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.781170476705389e-02,  3.249929759629731e-01,  3.023059700594444e-01, -5.327118408166018e-01,  6.984535026617869e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         74|6|div; (CN_charge_min / Tx_tot_kurt); $\left(\frac{ CN_{charge, min} }{ Tx_{tot, kurt} } \right)$; (CN_charge_min ./ Tx_tot_kurt); CN_charge_min,Tx_tot_kurt
# 1;  1; Unitless;                                         106|72|mult; (CN_p_var * Tx_p_center); $\left(CN_{p, var} Tx_{p, center}\right)$; (CN_p_var .* Tx_p_center); CN_p_var,Tx_p_center
# 2;  1; Unitless;                                         105|103|sub; (M_s_center - site_tot_center); $\left(M_{s, center} - site_{tot, center}\right)$; (M_s_center - site_tot_center); M_s_center,site_tot_center
# 3;  1; Unitless;                                         67|48|sub; (M_s_kurt - Tx_s_fill); $\left(M_{s, kurt} - Tx_{s, fill}\right)$; (M_s_kurt - Tx_s_fill); M_s_kurt,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.015973541617182e+00, -9.051619708961345e-01, -6.331749460052329e-01,  1.185540432295344e+00, -1.311768437804477e+00,  1.787957777755366e+00
sample_1    ,  1.247859099249947e+00,  5.738327145727697e-01, -1.948989521042838e-01,  2.196989727074900e-01,  1.196458621769883e+00, -1.395907392269430e-01
sample_2    ,  6.120557753248906e-01, -1.833698682492327e-01, -1.644107688552393e+00,  2.004459084355981e-01, -6.160936196066339e-01,  1.930229119433853e-01
sample_3    ,  5.790902272414700e-01,  1.190332837479180e-01,  5.362176699300756e-01,  1.042709864965318e-01,  1.511277813824420e+00,  8.468343042647911e-01
sample_4    ,  2.509562868262680e-01,  1.923664137953809e-01, -3.599679547917605e+00, -7.637684721430658e-01, -8.920681568549889e-01, -1.322543178387733e+00
sample_5    , -4.671054665813817e-01, -8.504271807534308e-01, -1.234516704183274e+01, -4.821435993187170e-01,  1.793594231858161e-01,  1.122393301198963e+00
sample_6    ,  7.941483911512607e-01,  6.512056553511384e-01,  7.508360525298751e+00, -9.660963474770967e-02, -1.927731732288030e-01, -1.008608213284371e+00
sample_7    , -9.771924999652186e-01, -1.198986727567828e+00, -2.650883142420754e+01, -1.927094330372598e-01,  1.449954488071306e+00,  2.200749438775024e+00
sample_8    , -1.604686811820242e-01, -9.740307697067998e-01, -1.242638183765679e+00,  8.852472851200366e-01, -1.556827540002426e+00,  1.574591441752587e+00
sample_9    ,  2.029392157440675e+00,  1.597948690155222e+00, -6.772779054733120e-01,  9.009867748895500e-01,  9.155191951260249e-01, -1.821970994362557e+00
sample_10   , -3.465260664712854e-01, -8.582052385249248e-01,  1.545194628874060e+00,  5.818852466408652e-01, -8.182157781120695e-01,  1.684457100498021e+00
sample_11   ,  2.142872927243843e-01,  3.562560704675654e-01, -3.908115321642037e+00, -3.457954037569288e-01, -1.084233254733649e+00, -1.494564450585249e+00
sample_12   ,  6.226222642116523e-01, -2.803166004534686e-01, -1.272332546560776e+00, -2.850474618895053e+00,  2.519711693008218e-01, -9.812289899602402e-01
sample_13   , -3.305672056497094e-02,  3.418220161840181e-01, -1.025457328506580e+00, -1.175492611200800e+00,  6.566436574248118e-01, -8.893388824877995e-01
