# c0 + a0 * (site_tot_center / site_charge_avg) + a1 * (site_s_fill / site_sp_kurt) + a2 * (M_s_center - M_sp_kurt) + a3 * (Tx_s_fill + site_sp_var) + a4 * (site_tot_center + M_s_kurt)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.499859461955991; Max AE: 2.5579545238634
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.778854774320906e-02, -1.224518217241267e-02,  3.873780988392485e-01,  4.354898498613645e-01, -5.758984091303506e-01,  3.315163624735190e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         103|32|div; (site_tot_center / site_charge_avg); $\left(\frac{ site_{tot, center} }{ site_{charge, avg} } \right)$; (site_tot_center ./ site_charge_avg); site_tot_center,site_charge_avg
# 1;  1; Unitless;                                         91|87|div; (site_s_fill / site_sp_kurt); $\left(\frac{ site_{s, fill} }{ site_{sp, kurt} } \right)$; (site_s_fill ./ site_sp_kurt); site_s_fill,site_sp_kurt
# 2;  1; Unitless;                                         105|15|sub; (M_s_center - M_sp_kurt); $\left(M_{s, center} - M_{sp, kurt}\right)$; (M_s_center - M_sp_kurt); M_s_center,M_sp_kurt
# 3;  1; Unitless;                                         48|26|add; (Tx_s_fill + site_sp_var); $\left(Tx_{s, fill} + site_{sp, var}\right)$; (Tx_s_fill + site_sp_var); Tx_s_fill,site_sp_var
# 4;  1; Unitless;                                         103|67|add; (site_tot_center + M_s_kurt); $\left(site_{tot, center} + M_{s, kurt}\right)$; (site_tot_center + M_s_kurt); site_tot_center,M_s_kurt
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.015973541617182e+00, -1.133742678035023e+00,  6.181332887524665e-01, -1.741415306903805e-01, -7.093194656434729e-01, -4.641504853780527e-01,  1.182714439684528e+00
sample_1    ,  1.247859099249947e+00,  4.252916392995107e-01,  7.105203250237017e-01,  2.906219592169965e+00,  6.637544232719191e-01,  5.127236890952902e-01,  6.953235538997238e-02
sample_2    ,  6.120557753248906e-01,  4.323600410379400e-01, -2.574214791801252e+01, -4.872961888809950e-02,  4.662688779820360e-01,  7.363094376246492e-01,  9.734032158761795e-01
sample_3    ,  5.790902272414700e-01, -1.796124483530519e-01,  3.877630635623539e+00,  1.420400487784889e+00,  1.073408906015263e-01,  1.382709212715334e+00,  1.337268743139240e+00
sample_4    ,  2.509562868262680e-01,  4.410267892705780e-01, -8.761385995132169e+00,  7.311947688508168e-01,  6.985280372581765e-01, -1.605383453388204e-01, -1.046969204879172e-01
sample_5    , -4.671054665813817e-01, -6.107493326161409e-01,  6.737647023311665e+00,  3.829311462929029e+00,  6.605534853098433e-01, -6.869178492664640e-01,  7.534238540196461e-01
sample_6    ,  7.941483911512607e-01,  3.994655512263132e-01, -7.224052747445552e-01, -1.824754724576531e+00,  1.845516835167432e-01, -1.193158239271396e-01, -5.410476313993462e-01
sample_7    , -9.771924999652186e-01, -1.413826899538646e+00, -4.938644414542077e-02,  2.851983764309349e-01, -1.041091167443078e+00,  1.034966564363391e+00,  2.590363570629225e+00
sample_8    , -1.604686811820242e-01, -1.156264527209797e+00,  1.130519430199395e+00, -2.741675841318649e+00, -2.604022493134519e-01, -7.785836274621321e-01,  1.324780164933353e+00
sample_9    ,  2.029392157440675e+00,  1.827169720859672e+00,  7.016716805972689e+00, -3.937592216044457e-01, -1.583189130364218e-01,  4.915827040560590e-01, -3.058288765432599e+00
sample_10   , -3.465260664712854e-01, -8.073777119219390e-01,  5.685214251362256e-01, -4.846235348379106e+00,  2.992072475220259e-01, -1.057301249903676e+00,  9.467322288579560e-01
sample_11   ,  2.142872927243843e-01,  6.779483581372729e-02,  3.508907290730541e+00,  3.504133783565679e-01, -4.739477870264203e-01, -1.381829870262093e-01, -5.992840326987987e-01
sample_12   ,  6.226222642116523e-01,  4.836521195802105e-01,  1.658574984931225e-01,  2.050280695053605e+00,  2.727553405500547e-01,  5.890184001516274e-01, -2.020945469123471e-01
sample_13   , -3.305672056497094e-02,  2.508124382695314e-01, -1.515970624124935e+01,  7.871753659237638e-01, -2.515228149010715e-01, -1.870918086363486e-01, -2.370934888406088e-01
sample_14   , -3.536583594667941e-01,  2.269528800511125e-01,  6.996988503934972e-01, -3.749643008987809e-01,  2.109369360766070e-01,  1.321159704689537e-01, -1.083678121550877e-01
sample_15   , -6.816714659947299e-01, -1.133742678035023e+00,  6.181332887524665e-01, -1.741415306903805e-01, -7.093194656434729e-01, -4.641504853780527e-01,  1.182714439684528e+00
sample_16   ,  1.783922799773934e-01, -8.637144591348540e-02, -1.466158006058910e+00,  1.119951187649095e+00,  8.893848922444842e-01, -6.516791943239029e-01,  3.344660250489775e-01
sample_17   , -6.729576120821053e-02,  2.918224279635235e-02,  7.642376806727905e+00, -2.256247665760205e-01, -1.396739778505808e+00,  1.952410034501361e+00,  3.125095938641650e-01
sample_18   ,  2.145598939866827e-01,  2.290547311138998e-01,  1.661110196797916e+00, -4.254401519595844e-01, -4.739477870264203e-01, -4.046649163837418e-01, -1.007237887647997e+00
sample_19   ,  1.605584454360118e+00,  1.380951002359523e+00,  5.885237082297137e+00,  9.952226212964087e+00, -9.041270466468938e-01,  8.575975471377214e-01, -2.693391707170311e+00
sample_20   ,  1.001972697154116e+00,  7.000238472591191e-01,  8.818214968741012e+00,  5.430043905218415e+01, -3.883647998358418e-01,  5.039057051486577e-01, -2.465109110667425e+00
sample_21   , -1.077398790263087e+00, -1.108459693068653e+00,  6.016642434359188e-01, -2.676195469068381e-01,  9.569541529022263e-02, -3.306720019809144e-01,  1.783737613373504e+00
sample_22   , -1.855570088445691e+00, -2.172823256966492e+00,  1.087387038852981e+02, -1.826758289308338e+00, -4.459616508426100e-01,  4.716354618186087e-01,  5.672475048931931e-01
sample_23   , -1.369145875662061e+00, -5.476849517986098e-01, -5.943779086489064e-01,  1.025386256219548e-01, -7.498535839355216e-01,  2.585666811066403e+00,  2.475625694893011e+00
sample_24   , -7.646812567279195e-01, -8.316762277545475e-01,  5.643956319081275e-01, -2.828028009699479e+00,  2.992072475220259e-01, -1.055955107865242e+00,  9.471573426782431e-01
sample_25   , -1.232842731688962e+00, -6.205410085896486e-01,  4.169624432563488e-01, -9.158216940262192e-01,  6.201597299054884e-01, -1.073476446308758e+00,  7.470728966819647e-01
sample_26   ,  5.251846489485567e-01,  5.482961711615001e-01, -2.971832860828307e+00,  3.277526225101890e-02, -2.038773630692226e-01,  1.784932054176811e+00,  4.092056515635606e-01
sample_27   , -9.711691076517226e-01, -8.938219493552489e-01,  8.798654329492576e-01,  1.448718200263877e+00,  7.616183201352199e-01, -1.831100961780349e+00,  6.792701747889682e-01
sample_28   ,  3.248880688878931e-01, -1.710412377344025e-01, -8.388171238631205e-01,  1.486730359901155e+00, -5.185825273552234e-01,  6.980635183023075e-01,  5.279073301128085e-01
sample_29   ,  3.460349022853754e-01, -2.114692158522183e-01, -8.541683932248447e-01,  1.861414371728433e+00, -3.186266179180385e-01,  5.482836067302258e-01,  6.118524999623631e-01
sample_30   ,  2.460337396046373e-01, -2.033981614618615e-01,  2.517412296966083e+00, -8.583737918240719e-03,  1.763587662604317e-01,  1.209478934410440e+00,  1.366399192945497e+00
sample_31   , -1.124024432653147e+00, -1.044493583722043e+00,  1.997512320828260e+00,  4.449013384596909e-01,  8.512726666197081e-01, -2.432592949767130e+00,  5.331831493149025e-01
sample_32   ,  2.225987956210966e-01, -1.291727936117467e-02, -9.724563587902344e-01,  1.324401671716432e+00,  2.971117991577477e-01,  8.302267193152838e-01,  9.095352013080885e-01
sample_33   ,  6.970048372487555e-01,  2.605067372562820e-01,  4.964523726054528e-01, -5.908902401046382e-01, -5.092048865649017e-01,  1.614894356090922e-01, -6.179536429944987e-01
sample_34   ,  8.737950041073146e-01,  9.389793000794124e-01,  1.542485681998623e+00,  4.116829790379155e-01,  1.845516835167432e-01, -1.075098276217008e+00, -2.318135390786602e+00
sample_35   ,  2.914771431931900e-01,  7.919564009644463e-01,  5.176923372266947e+00, -1.263275239777422e+00,  9.663777328456928e-01, -1.520648064451150e-01, -9.156038292526526e-01
sample_36   ,  2.566187241374807e-01,  4.647513118658574e-01,  7.380151537161476e-01, -1.031287434166229e+00,  3.810993252744233e-01, -7.382448279453857e-01, -1.052213686466519e+00
sample_37   ,  2.167390929556726e-01,  8.714962661867622e-02, -3.424730112756911e-01,  1.807099364408449e+00,  7.504233954197171e-01, -3.648461777079441e-01,  1.072700086159761e-01
sample_38   , -1.100481865948098e+00, -6.036077406233579e-01,  3.380355060310943e-01, -1.639653458307697e+00,  4.421770378094068e-01, -7.036211455019206e-01,  8.954598528083832e-01
sample_39   ,  1.561297962794731e+00,  1.328659563801013e+00,  2.040906388401072e+00,  5.639976768697685e-01, -1.463859926325189e-01, -7.457591971204051e-01, -2.986978612231702e+00
sample_40   ,  4.449115042101464e-01,  5.959991502204960e-01,  1.208322628478750e+00,  1.903494080402447e-01,  3.810993252744233e-01, -8.869610931546841e-01, -1.433075157058088e+00
sample_41   ,  3.919541014100157e-01,  5.608892776385920e-01,  6.278733264837439e-01,  1.965426944591045e-01,  6.985280372581765e-01, -9.768741193849324e-01, -1.208785415314872e+00
sample_42   , -8.338224099588942e-01, -1.117616558460499e+00, -1.351551760296440e+00, -3.014113338915135e-01, -1.088119221691644e+00,  2.201601011589080e+00,  2.979279827476459e+00
sample_43   ,  5.480999105234923e-01,  1.590718502968087e+00,  5.722937135767366e+00, -3.452207782087398e-02,  5.823325061027294e-01, -3.143507797711083e-01, -2.726627766190555e+00
sample_44   , -1.696416836532710e+00, -9.734879823738900e-01,  9.830527007601449e-01, -9.335842139503486e-01, -8.345335874426880e-01,  1.552073844346531e-01,  1.293449750349916e+00
sample_45   , -1.937473662653618e-01, -5.896601303506025e-01,  3.401040694720741e-01, -2.794380226128248e+00,  4.421770378094068e-01, -7.039978799476401e-01,  8.954448650813323e-01
sample_46   , -2.134808620130636e-01, -5.702180459325487e-02, -3.181386628385839e-01,  4.127379389514901e+00,  6.134675196882489e-03, -9.810859860118309e-02,  8.583619915692342e-03
sample_47   ,  4.733815803757341e-01,  2.877698480781173e-01, -3.326863250156782e+00, -8.934367063011633e-01,  6.637544232719191e-01,  1.192766885399617e+00,  1.028070121738171e+00
sample_48   , -4.143925671383314e-01, -1.113007862289856e+00,  6.380157836496746e-01, -1.868611872977761e+00, -7.093194656434729e-01, -4.631651621026216e-01,  1.182870196074925e+00
sample_49   , -8.832838788083209e-01, -8.571399418822387e-01,  5.578066500963873e-01, -8.191737923794614e-01,  2.992072475220259e-01, -1.056976999787302e+00,  9.480899952574089e-01
sample_50   , -9.227480347312180e-01, -4.932075155635544e-01,  5.307891111763676e-01, -3.968813527805410e+00,  1.659542886430656e-01, -2.936927555710204e-01,  8.715128638385548e-01
sample_51   ,  8.747541352028874e-01,  8.303470870133850e-01, -1.357507808530304e+00,  7.808718748548462e+00, -1.003635040081379e+00,  5.648340435183046e-01, -1.756339775943341e+00
sample_52   ,  1.407295392484003e+00,  8.199043771612894e-01, -1.171307615569776e+00,  2.942706988429338e-01,  8.133690655257406e-01,  2.085593273802644e-03, -7.875185165260178e-01
sample_53   , -6.485601439105799e-01, -7.023371822771260e-01,  5.682252775117145e-01, -3.208767804176179e-01, -3.724944138590327e-01,  2.462822405719065e+00,  2.878195296655780e+00
sample_54   , -8.270953455021176e-01, -1.453282919796921e+00,  1.855820088603708e+01,  9.240692768692500e-01, -1.088119221691644e+00,  1.608459418786812e+00,  2.472571359341361e+00
sample_55   ,  1.316144104083787e+00,  1.073263328853401e+00,  2.859867121689314e+00, -1.018999046793739e-01, -2.755472812800870e-01,  1.284416104619776e+00, -1.106319426906617e+00
sample_56   ,  1.651268236838063e+00,  1.208766251969749e+00,  2.236452244904352e+00,  6.967725117008383e-01, -1.247454885307542e+00, -5.696169591800100e-01, -3.395093708345696e+00
sample_57   , -1.100786754026660e+00, -6.182937014839077e-01,  3.347505367081534e-01, -4.868513081107774e-01,  4.421770378094068e-01, -7.045914732054692e-01,  8.958167829319641e-01
sample_58   ,  1.657989436832829e+00,  5.866625734998382e-01,  3.684122761239026e+00, -1.040997494986448e+00,  1.215641807370151e+00, -5.225212306211650e-01, -6.302129007919803e-01
sample_59   , -1.109223021950149e+00, -1.367190676947554e+00,  5.686415280894631e-02,  3.396441229101658e-01, -4.277102219407396e-01, -9.533513050160414e-02,  2.062809525441666e+00
