# FEAT_ID     Feature Postfix Expression (RPN)
0             25|24|add
1             24|21|add
2             24|0|sub
3             3
4             34|30|sub
5             34
6             34|17|sub
7             34|2|add
8             24|10|sub
9             32|24|sub
10            24
11            24|8|sub
12            34|17|mult
13            38|34|sub
14            34|27|sub
15            35|24|sub
16            24|3|sub
17            24|41|div
18            34|3|add
19            34|24|sub
#-----------------------------------------------------------------------
20            27|24|sub
21            24|21|sub
22            38|3|sub
23            35|34|add
24            34|21|sub
25            34|sq
26            34|25|add
27            34|8|add
28            40|34|sub
29            24|2|sub
30            24|17|add
31            34|0|sub
32            27|24|add
33            34|21|add
34            40|24|sub
35            34|cb
36            40|24|add
37            30|24|sub
38            24|17|sub
39            30|24|add
#-----------------------------------------------------------------------
40            40|10|add
41            40|21|mult
42            40|25|add
43            30|3|sub
44            16|6|sub
45            43|13|sub
46            30|15|sub
47            30|25|add
48            44|19|add
49            42|40|sub
50            42|40|add
51            44|30|add
52            43|30|sub
53            35|17|sub
54            42|30|sub
55            42|30|add
56            40|8|sub
57            40|35|sub
58            44|30|sub
59            35|30|sub
#-----------------------------------------------------------------------
60            38|21|sub
61            34|3|mult
62            40|41|div
63            21|0|sub
64            25|21|add
65            8|2|add
66            16|13|sub
67            27|3|add
68            38|2|add
69            43|2|add
70            44|8|add
71            3|30|div
72            15|13|sub
73            21|41|div
74            3|2|mult
75            8|3|add
76            15|3|add
77            32|30|div
78            19|3|add
79            10|30|div
#-----------------------------------------------------------------------
80            8|25|div
81            25|3|mult
82            34|30|div
83            30|8|mult
84            25|8|sub
85            44|10|mult
86            27|25|mult
87            41|34|mult
88            35|30|div
89            3|sq
90            42|2|mult
91            35|25|div
92            42|34|mult
93            3|cb
94            35|21|div
95            34|2|mult
96            8|34|div
97            40|30|div
98            2|30|div
99            42|30|div
#-----------------------------------------------------------------------
