# c0 + a0 * (surf_bond_length_sum - surf_bond_length_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.767198202062697; Max AE: 4.3091518759198
# Coefficients
# Task   a0                      c0
# all ,  4.385055792443411e-01,  6.532103568942939e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|24|sub; (surf_bond_length_sum - surf_bond_length_std); $\left(surf_{bond, length, sum} - surf_{bond, length, std}\right)$; (surf_bond_length_sum - surf_bond_length_std); surf_bond_length_sum,surf_bond_length_std
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.015973541617182e+00, -1.119215277881865e+00, -2.552339880852973e+00
sample_1    ,  1.247859099249947e+00, -3.372664988304538e-01, -7.691270414658171e-01
sample_2    ,  6.120557753248906e-01, -8.395752471083115e-02, -1.914628426290776e-01
sample_3    ,  5.790902272414700e-01, -5.088787684351478e-02, -1.160484136398183e-01
sample_4    ,  2.509562868262680e-01,  6.871782970956338e-01,  1.567091343010549e+00
sample_5    , -4.671054665813817e-01, -8.845115112819592e-01, -2.017104349746707e+00
sample_6    ,  7.941483911512607e-01,  7.978492879219288e-01,  1.819473515700369e+00
sample_7    , -9.771924999652186e-01, -3.526159537863011e-01, -8.041310543732432e-01
sample_8    , -1.604686811820242e-01, -9.110062918594362e-01, -2.077524973409317e+00
sample_9    ,  2.029392157440675e+00,  8.217612038716320e-01,  1.874003987104883e+00
sample_10   , -3.465260664712854e-01, -7.683751867044631e-01, -1.752258632669107e+00
sample_11   ,  2.142872927243843e-01,  8.055327190998621e-01,  1.836995370704298e+00
sample_12   ,  6.226222642116523e-01, -1.416257311795296e-01, -3.229736128411139e-01
sample_13   , -3.305672056497094e-02, -1.227151824972699e+00, -2.798486229268508e+00
sample_14   , -3.536583594667941e-01, -7.934982050412469e-01, -1.809550989998008e+00
sample_15   , -6.816714659947299e-01, -1.119215277881865e+00, -2.552339880852973e+00
sample_16   ,  1.783922799773934e-01,  6.256265925249584e-02,  1.426724361416493e-01
sample_17   , -6.729576120821053e-02, -3.004150751733467e-01, -6.850883760499478e-01
sample_18   ,  2.145598939866827e-01,  8.055327190998621e-01,  1.836995370704298e+00
sample_19   ,  1.605584454360118e+00,  8.491177535582745e-01,  1.936389851690197e+00
