# c0 + a0 * (surf_bond_length_sum^3) + a1 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.73204080468404; Max AE: 4.19468392578096
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.325458594256473e-01, -1.151750646250151e-01,  6.804800825765775e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|cb; (surf_bond_length_sum^3); $\left(surf_{bond, length, sum}^3\right)$; (surf_bond_length_sum).^3; surf_bond_length_sum
# 1;  1; Unitless;                                         24|41|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.015973541617182e+00, -1.218297277004612e+00, -6.104301583212915e+00,  4.143651989914502e+00
sample_1    ,  1.247859099249947e+00,  1.818141377001287e-01,  5.871267956657933e-01, -3.120892863064653e-01
sample_2    ,  6.120557753248906e-01, -2.521175564756113e-01,  2.423867283285359e-02,  2.807711039781797e+00
sample_3    ,  5.790902272414700e-01, -2.756079296361481e-01,  7.540060096582818e-02,  3.070542886183213e+00
sample_4    ,  2.509562868262680e-01,  5.348619164209124e-01,  2.039309042409446e+00, -1.706202111910256e+00
sample_5    , -4.671054665813817e-01, -5.249483737176039e-01,  3.216908704839022e-01,  5.518861022066059e+00
sample_6    ,  7.941483911512607e-01,  8.283255982993269e-01,  4.132724539256696e-01, -6.125458142837597e+00
sample_7    , -9.771924999652186e-01, -4.845527598750949e-01,  6.525980393747693e-05,  4.797995293935605e+00
sample_8    , -1.604686811820242e-01, -8.881290958850689e-01, -5.842602221533598e+00,  1.578157320763354e+00
sample_9    ,  2.029392157440675e+00,  7.800501790180331e-01,  9.144064962512615e-01, -5.129594481009215e+00
sample_10   , -3.465260664712854e-01, -8.406093260679384e-01, -8.144564070533812e+00, -1.483575551764392e+00
sample_11   ,  2.142872927243843e-01,  8.837025024341562e-01,  2.752849732375265e-01, -6.765063369823676e+00
sample_12   ,  6.226222642116523e-01, -3.646007629046563e-01,  4.191760101581797e-02,  3.804684434436536e+00
sample_13   , -3.305672056497094e-02, -1.198402184345336e+00, -1.310950076614851e+00,  9.487202734302937e+00
sample_14   , -3.536583594667941e-01, -5.557989761222589e-01, -2.122702061198314e+00,  2.973661152167540e+00
sample_15   , -6.816714659947299e-01, -1.218297277004612e+00, -6.104301583212915e+00,  4.143651989914502e+00
sample_16   ,  1.783922799773934e-01,  1.203048481312832e-01,  3.047437072772290e-01, -1.030112145075406e-01
sample_17   , -6.729576120821053e-02, -2.259824258935756e-01,  1.028552594520922e-02,  2.564736898468636e+00
sample_18   ,  2.145598939866827e-01,  8.837025024341562e-01,  2.752849732375265e-01, -6.765063369823676e+00
sample_19   ,  1.605584454360118e+00,  9.511317478579636e-01,  2.656988772628435e-01, -7.361545281746021e+00
sample_20   ,  1.001972697154116e+00,  6.086757510881354e-01,  8.636646938341366e-01, -3.700041889432435e+00
