# c0 + a0 * (surf_M_Tx_length_max - site_bond_length_max) + a1 * (surf_bond_length_sum^2) + a2 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.679582320036419; Max AE: 4.1488411387327
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.442498557618908e-01, -2.921542613786253e-01, -1.400034862929908e-01,  1.974679556227624e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         35|30|sub; (surf_M_Tx_length_max - site_bond_length_max); $\left(surf_{M, Tx, length, max} - site_{bond, length, max}\right)$; (surf_M_Tx_length_max - site_bond_length_max); surf_M_Tx_length_max,site_bond_length_max
# 1;  1; Unitless;                                         34|sq; (surf_bond_length_sum^2); $\left(surf_{bond, length, sum}^2\right)$; (surf_bond_length_sum).^2; surf_bond_length_sum
# 2;  1; Unitless;                                         24|41|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.015973541617182e+00, -1.204683023700658e+00,  6.296600106187299e-01,  3.340083478222884e+00,  4.143651989914502e+00
sample_1    ,  1.247859099249947e+00,  9.645960864786127e-02,  2.462515162981479e-01,  7.011666763401674e-01, -3.120892863064653e-01
sample_2    ,  6.120557753248906e-01, -2.791394007565025e-01, -2.417561939743441e-01,  8.375406431948797e-02,  2.807711039781797e+00
sample_3    ,  5.790902272414700e-01, -2.806549527826654e-01,  1.599481128142394e-02,  1.784773894106794e-01,  3.070542886183213e+00
sample_4    ,  2.509562868262680e-01,  6.498430339741058e-02,  4.031326183796144e-01,  1.608133244021061e+00, -1.706202111910256e+00
sample_5    , -4.671054665813817e-01, -2.646521326689761e-01,  1.832971540328868e+00,  4.694894352378032e-01,  5.518861022066059e+00
sample_6    ,  7.941483911512607e-01,  7.068028580247172e-01, -7.621519381409313e-01,  5.548270664019453e-01, -6.125458142837597e+00
sample_7    , -9.771924999652186e-01, -6.549985242440434e-01, -7.380018701918185e-01,  1.620928443301803e-03,  4.797995293935605e+00
sample_8    , -1.604686811820242e-01, -9.752343602621670e-02,  3.577004409581130e+00,  3.243925559911344e+00,  1.578157320763354e+00
sample_9    ,  2.029392157440675e+00,  9.037255571119955e-01,  1.078127145415705e+00,  9.420910295243216e-01, -5.129594481009215e+00
sample_10   , -3.465260664712854e-01, -2.080634873896302e-01,  2.331285413664265e+00,  4.048044046610910e+00, -1.483575551764392e+00
sample_11   ,  2.142872927243843e-01,  8.256433095970207e-01, -7.996903332185024e-01,  4.231766248004244e-01, -6.765063369823676e+00
sample_12   ,  6.226222642116523e-01, -2.495235252664450e-01,  4.951148099893161e-01,  1.206695277437493e-01,  3.804684434436536e+00
sample_13   , -3.305672056497094e-02, -9.645624182246000e-01,  2.113240403768647e+00,  1.197817817326730e+00,  9.487202734302937e+00
sample_14   , -3.536583594667941e-01, -1.012331119881297e+00, -1.273002454438892e+00,  1.651680447816476e+00,  2.973661152167540e+00
sample_15   , -6.816714659947299e-01, -1.204683023700658e+00,  6.296600106187299e-01,  3.340083478222884e+00,  4.143651989914502e+00
sample_16   ,  1.783922799773934e-01,  1.697532053094333e-02, -2.563434858471090e-01,  4.528522164358642e-01, -1.030112145075406e-01
sample_17   , -6.729576120821053e-02, -2.586700938068975e-01, -3.408330725589259e-01,  4.729526566950012e-02,  2.564736898468636e+00
sample_18   ,  2.145598939866827e-01,  8.256433095970207e-01, -7.996903332185024e-01,  4.231766248004244e-01, -6.765063369823676e+00
sample_19   ,  1.605584454360118e+00,  9.778492505288900e-01, -5.302558205115644e-01,  4.132946779396667e-01, -7.361545281746021e+00
sample_20   ,  1.001972697154116e+00,  5.362623007290898e-01,  3.510042888057697e-01,  9.069084411319067e-01, -3.700041889432435e+00
sample_21   , -1.077398790263087e+00, -1.126642385110440e+00,  2.027645512908142e-01,  3.499793444334224e+00,  2.508194572365934e+00
sample_22   , -1.855570088445691e+00, -1.052300210498095e+00, -8.447732813922424e-01,  9.247720674377108e-01,  5.523121846160534e+00
sample_23   , -1.369145875662061e+00,  3.384677075187600e-02, -2.029461277599403e+00,  1.457358193175519e-02, -2.402312845397061e+00
sample_24   , -7.646812567279195e-01, -1.153523968373469e+00, -1.539588851684452e+00,  4.048044046610910e+00, -1.483575551764392e+00
sample_25   , -1.232842731688962e+00, -1.295700051508963e+00, -2.101345880875686e+00,  5.085480371883560e+00, -3.612982764747525e+00
sample_26   ,  5.251846489485567e-01, -1.699659077625810e-01,  2.620592368910677e-01,  1.049351392589278e-01,  2.862675471205517e+00
sample_27   , -9.711691076517226e-01, -1.081748434532079e+00, -1.086381936437449e+00,  3.446609942888298e+00,  4.947003061352316e-02
sample_28   ,  3.248880688878931e-01, -4.391011539043056e-01,  9.331760107417270e-01,  6.968042579157784e-02,  6.029419727841207e+00
sample_29   ,  3.460349022853754e-01, -3.188309633445133e-01, -3.869397943127145e-02,  7.379992736861248e-02,  3.466249088873270e+00
sample_30   ,  2.460337396046373e-01, -3.878179810314485e-01,  5.498917362502336e-01,  4.537727542995622e-02,  5.045158290224200e+00
sample_31   , -1.124024432653147e+00, -6.057130399093384e-01, -4.106247612208534e-01,  2.448187022164650e+00, -8.830004646978466e-02
