# c0 + a0 * (lattice_param_a / site_bond_length_max) + a1 * (surf_M_Tx_length_max - site_bond_length_max) + a2 * (surf_bond_length_sum^2) + a3 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.656747334515568; Max AE: 4.04583196774699
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.416275533125005e-02,  2.440314858954026e-01, -3.008692399511351e-01, -1.413647501944765e-01,  1.464814301719998e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         10|30|div; (lattice_param_a / site_bond_length_max); $\left(\frac{ lattice_{param, a} }{ site_{bond, length, max} } \right)$; (lattice_param_a ./ site_bond_length_max); lattice_param_a,site_bond_length_max
# 1;  1; Unitless;                                         35|30|sub; (surf_M_Tx_length_max - site_bond_length_max); $\left(surf_{M, Tx, length, max} - site_{bond, length, max}\right)$; (surf_M_Tx_length_max - site_bond_length_max); surf_M_Tx_length_max,site_bond_length_max
# 2;  1; Unitless;                                         34|sq; (surf_bond_length_sum^2); $\left(surf_{bond, length, sum}^2\right)$; (surf_bond_length_sum).^2; surf_bond_length_sum
# 3;  1; Unitless;                                         24|41|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.015973541617182e+00, -7.382056729006495e-01, -2.285959226372479e+01,  6.296600106187299e-01,  3.340083478222884e+00,  4.143651989914502e+00
sample_1    ,  1.247859099249947e+00,  2.855654035323673e-04,  1.632592254544665e+00,  2.462515162981479e-01,  7.011666763401674e-01, -3.120892863064653e-01
sample_2    ,  6.120557753248906e-01, -2.729918951984586e-01, -2.550751702619658e+00, -2.417561939743441e-01,  8.375406431948797e-02,  2.807711039781797e+00
sample_3    ,  5.790902272414700e-01, -3.007593270380802e-01, -1.515592460024861e+00,  1.599481128142394e-02,  1.784773894106794e-01,  3.070542886183213e+00
sample_4    ,  2.509562868262680e-01, -4.923464926971705e-02,  2.129398699574894e+00,  4.031326183796144e-01,  1.608133244021061e+00, -1.706202111910256e+00
sample_5    , -4.671054665813817e-01, -3.587507970685222e-01,  1.287421741312809e+00,  1.832971540328868e+00,  4.694894352378032e-01,  5.518861022066059e+00
sample_6    ,  7.941483911512607e-01,  6.604358899230101e-01, -3.931949251195502e-02, -7.621519381409313e-01,  5.548270664019453e-01, -6.125458142837597e+00
sample_7    , -9.771924999652186e-01, -6.231397682493417e-01, -3.692856505896247e+00, -7.380018701918185e-01,  1.620928443301803e-03,  4.797995293935605e+00
sample_8    , -1.604686811820242e-01, -1.860349085459623e-01,  2.617585068367826e-01,  3.577004409581130e+00,  3.243925559911344e+00,  1.578157320763354e+00
sample_9    ,  2.029392157440675e+00,  1.357669545467255e+00, -2.095760639397353e+01,  1.078127145415705e+00,  9.420910295243216e-01, -5.129594481009215e+00
sample_10   , -3.465260664712854e-01, -2.954606765237587e-01,  1.093626070191637e-01,  2.331285413664265e+00,  4.048044046610910e+00, -1.483575551764392e+00
sample_11   ,  2.142872927243843e-01,  7.591834062998551e-01,  8.761032078739184e-01, -7.996903332185024e-01,  4.231766248004244e-01, -6.765063369823676e+00
sample_12   ,  6.226222642116523e-01, -1.557469211081749e-01, -6.253511142181218e+00,  4.951148099893161e-01,  1.206695277437493e-01,  3.804684434436536e+00
sample_13   , -3.305672056497094e-02, -1.068557381277848e+00,  1.208199394373100e+00,  2.113240403768647e+00,  1.197817817326730e+00,  9.487202734302937e+00
sample_14   , -3.536583594667941e-01, -1.078462235628591e+00, -1.249742249634268e-01, -1.273002454438892e+00,  1.651680447816476e+00,  2.973661152167540e+00
sample_15   , -6.816714659947299e-01, -7.382056729006495e-01, -2.285959226372479e+01,  6.296600106187299e-01,  3.340083478222884e+00,  4.143651989914502e+00
