# c0 + a0 * (lattice_param_a / site_bond_length_max) + a1 * (lattice_param_c * surf_bond_length_min) + a2 * (surf_bond_length_avg + site_bond_length_max) + a3 * (surf_M_Tx_length_max + surf_bond_length_sum) + a4 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.632425642041032; Max AE: 4.22306034435134
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.667644425947833e-02, -2.491499627129996e-01, -2.184454083058021e-01,  4.010579386301770e-01, -1.558344815380658e-01, -7.675443103624630e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         10|30|div; (lattice_param_a / site_bond_length_max); $\left(\frac{ lattice_{param, a} }{ site_{bond, length, max} } \right)$; (lattice_param_a ./ site_bond_length_max); lattice_param_a,site_bond_length_max
# 1;  1; Unitless;                                         3|2|mult; (lattice_param_c * surf_bond_length_min); $\left(lattice_{param, c} surf_{bond, length, min}\right)$; (lattice_param_c .* surf_bond_length_min); lattice_param_c,surf_bond_length_min
# 2;  1; Unitless;                                         42|30|add; (surf_bond_length_avg + site_bond_length_max); $\left(surf_{bond, length, avg} + site_{bond, length, max}\right)$; (surf_bond_length_avg + site_bond_length_max); surf_bond_length_avg,site_bond_length_max
# 3;  1; Unitless;                                         35|34|add; (surf_M_Tx_length_max + surf_bond_length_sum); $\left(surf_{M, Tx, length, max} + surf_{bond, length, sum}\right)$; (surf_M_Tx_length_max + surf_bond_length_sum); surf_M_Tx_length_max,surf_bond_length_sum
# 4;  1; Unitless;                                         24|41|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.015973541617182e+00, -6.639698082391047e-01, -2.285959226372479e+01, -4.916408837972051e-01,  1.022049414771083e+00, -1.123365028466236e+00,  4.143651989914502e+00
sample_1    ,  1.247859099249947e+00,  3.527452670454995e-01,  1.632592254544665e+00, -2.134284829812283e-01,  1.672392178643782e+00,  1.836562264504177e+00, -3.120892863064653e-01
sample_2    ,  6.120557753248906e-01, -3.216785336043717e-01, -2.550751702619658e+00,  3.041486199007277e-01, -2.850102492521633e-01,  3.443107086227135e-01,  2.807711039781797e+00
sample_3    ,  5.790902272414700e-01, -2.339195220776917e-01, -1.515592460024861e+00,  2.308901140052495e-02,  1.298675348311658e-01,  7.854783873988928e-01,  3.070542886183213e+00
sample_4    ,  2.509562868262680e-01, -2.307124991978899e-01,  2.129398699574894e+00,  2.984809636056108e+00,  3.024892853123760e+00,  2.596634200815764e+00, -1.706202111910256e+00
sample_5    , -4.671054665813817e-01, -2.139419730055323e-01,  1.287421741312809e+00,  1.063570066625673e+00,  1.170841429475753e+00,  3.186418698844481e+00,  5.518861022066059e+00
sample_6    ,  7.941483911512607e-01,  9.844159357277735e-01, -3.931949251195502e-02, -6.948053560960525e-01,  1.130894567958167e+00,  4.475459738781484e-01, -6.125458142837597e+00
sample_7    , -9.771924999652186e-01, -9.341711907616883e-01, -3.692856505896247e+00,  1.006307182854344e+00, -1.011407626947170e+00, -4.449528837810839e-01,  4.797995293935605e+00
sample_8    , -1.604686811820242e-01, -3.535525940844837e-01,  2.617585068367826e-01, -5.298084389927191e-01, -2.433906873078758e+00, -1.714369711271494e+00,  1.578157320763354e+00
sample_9    ,  2.029392157440675e+00,  1.492871714817661e+00, -2.095760639397353e+01,  1.266099749244658e+00,  1.205422584471202e+00,  1.969669936676936e+00, -5.129594481009215e+00
sample_10   , -3.465260664712854e-01, -3.816887343836093e-01,  1.093626070191637e-01, -7.047938742898616e-02, -3.300482008276729e+00, -3.170973764505204e+00, -1.483575551764392e+00
