# c0 + a0 * (Tx_evap_heat / en_nagle_av) + a1 * (dblock_std - Tx_heat_form)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.610224820400433; Max AE: 1.87771283206087
# Coefficients
# Task   a0                      a1                      c0
# all , -7.236497426191738e-02,  8.118694466864701e-01, -5.146111480893018e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         125|81|div; (Tx_evap_heat / en_nagle_av); $\left(\frac{ Tx_{evap, heat} }{ en_{nagle, av} } \right)$; (Tx_evap_heat ./ en_nagle_av); Tx_evap_heat,en_nagle_av
# 1;  1; Unitless;                                         175|136|sub; (dblock_std - Tx_heat_form); $\left(dblock_{std} - Tx_{heat, form}\right)$; (dblock_std - Tx_heat_form); dblock_std,Tx_heat_form
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.015973541617182e+00, -8.939442744458846e-01,  3.151102055926773e+00, -7.568381135303766e-01
sample_1    ,  1.247859099249947e+00,  1.535540868726755e-01, -1.229923310716395e+00,  1.428946900649697e-01
sample_2    ,  6.120557753248906e-01,  1.337151917599141e-01,  1.498751921280989e+00,  3.616757004168164e-01
sample_3    ,  5.790902272414700e-01,  1.049331904183985e-01, -5.580389225827265e-01,  1.428946900649697e-01
sample_4    ,  2.509562868262680e-01,  4.678592514168526e-02, -1.950466310659476e+00, -5.283904277230561e-02
sample_5    , -4.671054665813817e-01, -1.120803978720530e+00, -1.162500410627601e+00, -1.420754507900066e+00
sample_6    ,  7.941483911512607e-01,  1.938286471530669e-02, -1.571787803469021e+00, -5.283904277230561e-02
sample_7    , -9.771924999652186e-01, -7.208209179706259e-01, -6.689802324702876e+00, -1.420754507900066e+00
sample_8    , -1.604686811820242e-01, -7.655727765654775e-01,  1.377156867806065e+00, -7.568381135303766e-01
sample_9    ,  2.029392157440675e+00,  1.032095530489925e+00, -3.316234579284094e+00,  1.039055501799486e+00
sample_10   , -3.465260664712854e-01, -7.125885108017294e-01,  6.449757773799540e-01, -7.568381135303766e-01
sample_11   ,  2.142872927243843e-01,  5.403363182380692e-02, -2.050621209573547e+00, -5.283904277230561e-02
sample_12   ,  6.226222642116523e-01,  9.806278847912656e-02, -4.630979375364905e-01,  1.428946900649697e-01
sample_13   , -3.305672056497094e-02,  1.021061314596182e+00,  1.345400863962166e-01,  1.333044892514991e+00
sample_14   , -3.536583594667941e-01,  1.017955383735516e+00,  1.774604479709249e-01,  1.333044892514991e+00
sample_15   , -6.816714659947299e-01, -8.939442744458846e-01,  3.151102055926773e+00, -7.568381135303766e-01
sample_16   ,  1.783922799773934e-01,  2.038123706855090e-01,  5.300902221572443e-01,  3.616757004168164e-01
sample_17   , -6.729576120821053e-02,  1.094682639598899e-01, -6.207083781825753e-01,  1.428946900649697e-01
sample_18   ,  2.145598939866827e-01,  5.403363182380692e-02, -2.050621209573547e+00, -5.283904277230561e-02
sample_19   ,  1.605584454360118e+00,  1.340139448079312e+00, -7.573044185468086e+00,  1.039055501799486e+00
sample_20   ,  1.001972697154116e+00,  1.701154401930112e+00, -1.256185206570231e+01,  1.039055501799486e+00
sample_21   , -1.077398790263087e+00, -9.297788394159046e-01,  3.646294175256775e+00, -7.568381135303766e-01
sample_22   , -1.855570088445691e+00, -2.042201940065587e+00,  1.157015058169024e+01, -1.420754507900066e+00
