# c0 + a0 * (eig_13 / eig_15) + a1 * (M_spec_heat / Tx_atom_radius) + a2 * (melting_point_std / gas_basicity_sum) + a3 * (Tx_elec_aff + Tx_glawe_num)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.4969326510492; Max AE: 1.79203306376121
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.814720729168512e+01, -7.102239420050437e-02,  1.183164077860181e-02,  4.986764909032512e-01, -2.803198170241290e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         144|131|div; (eig_13 / eig_15); $\left(\frac{ eig_{13} }{ eig_{15} } \right)$; (eig_13 ./ eig_15); eig_13,eig_15
# 1;  1; Unitless;                                         18|187|div; (M_spec_heat / Tx_atom_radius); $\left(\frac{ M_{spec, heat} }{ Tx_{atom, radius} } \right)$; (M_spec_heat ./ Tx_atom_radius); M_spec_heat,Tx_atom_radius
# 2;  1; Unitless;                                         16|73|div; (melting_point_std / gas_basicity_sum); $\left(\frac{ melting_{point, std} }{ gas_{basicity, sum} } \right)$; (melting_point_std ./ gas_basicity_sum); melting_point_std,gas_basicity_sum
# 3;  1; Unitless;                                         105|30|add; (Tx_elec_aff + Tx_glawe_num); $\left(Tx_{elec, aff} + Tx_{glawe, num}\right)$; (Tx_elec_aff + Tx_glawe_num); Tx_elec_aff,Tx_glawe_num
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.015973541617182e+00, -1.233994979410354e+00,  1.007023320531094e+00,  7.654929878605944e-01, -1.049006762003363e+00, -2.968114275734883e+00
sample_1    ,  1.247859099249947e+00,  5.229436266612272e-01,  1.002174896639453e+00, -9.520240264966504e-01, -9.329521535406634e-01,  5.813871421155890e-01
sample_2    ,  6.120557753248906e-01,  3.399259034975411e-01,  1.003731011066651e+00,  3.096418600091591e-01, -1.036339429663101e-01,  2.865594042624350e-01
sample_3    ,  5.790902272414700e-01,  2.146522786953775e-02,  9.831311318047676e-01, -1.459885228502199e+00, -1.061346929220135e+00,  5.813871421155890e-01
sample_4    ,  2.509562868262680e-01,  4.090006428748637e-01,  9.945638604539239e-01, -1.264115490123981e-01, -3.118218476709391e+00,  9.519253442906916e-01
sample_5    , -4.671054665813817e-01, -5.169197024123078e-01,  1.002276419634526e+00, -8.037274272439906e-01, -1.787316819372069e-01, -1.506363580065289e+00
sample_6    ,  7.941483911512607e-01,  5.472382737113316e-01,  1.003954934064346e+00, -2.820302489337260e-01, -1.470978721892374e+01,  9.519253442906916e-01
sample_7    , -9.771924999652186e-01, -1.130243099919595e+00,  9.920374999159489e-01,  3.863419706154679e+00,  3.575896849083268e-01, -1.506363580065289e+00
sample_8    , -1.604686811820242e-01, -1.226037427367642e+00,  1.007023320531094e+00,  7.344059823190983e-01, -5.630489317902102e-01, -2.968114275734883e+00
sample_9    ,  2.029392157440675e+00,  1.050618900813238e+00,  9.965918026814632e-01, -1.938463189783068e-01, -1.538638299230001e+00,  2.077021381225868e+00
sample_10   , -3.465260664712854e-01, -1.165349475900931e+00,  1.007023320531094e+00,  2.414548944468015e-01,  1.607181339966828e+00, -2.968114275734883e+00
sample_11   ,  2.142872927243843e-01,  5.403247066350018e-01,  1.001328345608483e+00,  1.128912630352979e+00, -5.759821823201597e-01,  9.519253442906916e-01
sample_12   ,  6.226222642116523e-01,  2.396621210022706e-01,  9.849373790893772e-01, -6.733828480098278e+00, -1.857472517409690e+01,  5.813871421155890e-01
sample_13   , -3.305672056497094e-02, -9.962228428226748e-01,  9.539397744505788e-01,  1.064154241673562e+01, -3.406197786358304e+00,  1.967421828170025e+00
sample_14   , -3.536583594667941e-01, -5.347046209762124e-01,  9.696967050148075e-01,  1.064154241673562e+01, -1.884462017724382e+00,  1.967421828170025e+00
sample_15   , -6.816714659947299e-01, -1.233994979410354e+00,  1.007023320531094e+00,  7.654929878605944e-01, -1.049006762003363e+00, -2.968114275734883e+00
sample_16   ,  1.783922799773934e-01,  3.599725080582909e-01,  1.004257682608848e+00,  2.019244284294008e-01, -3.088530199684041e-01,  2.865594042624350e-01
sample_17   , -6.729576120821053e-02,  9.666651346904465e-02,  1.010725449693632e+00,  8.502007580068172e+00, -5.528986036667544e-01,  5.813871421155890e-01
sample_18   ,  2.145598939866827e-01,  5.403247066350018e-01,  1.001328345608483e+00,  1.128912630352979e+00, -5.759821823201597e-01,  9.519253442906916e-01
sample_19   ,  1.605584454360118e+00,  1.058261486957325e+00,  9.998011050462554e-01,  1.128912630352979e+00, -5.873590165972639e-01,  2.077021381225868e+00
sample_20   ,  1.001972697154116e+00,  1.085479260636519e+00,  9.945151010878406e-01, -1.938463189783068e-01,  6.348155409949569e+00,  2.077021381225868e+00
sample_21   , -1.077398790263087e+00, -1.185724845933916e+00,  1.007023320531094e+00,  2.414548944468015e-01, -1.149272343430445e-01, -2.968114275734883e+00
sample_22   , -1.855570088445691e+00, -1.920730644768523e+00,  9.660484940070132e-01,  4.680708144261359e+00,  2.795086633623273e-01, -1.506363580065289e+00
sample_23   , -1.369145875662061e+00, -5.777624376142602e-01,  9.829520338698620e-01,  7.017490220359646e+00, -3.939042407529204e-01,  5.813871421155890e-01
sample_24   , -7.646812567279195e-01, -1.165349475900931e+00,  1.007023320531094e+00,  2.414548944468015e-01,  1.607181339966828e+00, -2.968114275734883e+00
sample_25   , -1.232842731688962e+00, -1.150257329079950e+00,  1.007023320531094e+00, -7.977392907974997e-01, -3.355267516703958e+00, -2.968114275734883e+00
sample_26   ,  5.251846489485567e-01,  2.049255424047295e-01,  9.891414172112816e-01, -2.124011415740225e+00, -3.840358493914427e+00,  5.813871421155890e-01
sample_27   , -9.711691076517226e-01, -1.161561994321360e+00,  1.007023320531094e+00,  1.659578809888821e-01,  1.474106215336177e+00, -2.968114275734883e+00
sample_28   ,  3.248880688878931e-01,  2.174965165921952e-01,  1.002688885895020e+00,  1.428245957183571e+00, -1.257365093800225e+00,  2.865594042624350e-01
sample_29   ,  3.460349022853754e-01,  2.439180332855020e-01,  1.003268950453739e+00,  1.370244263256009e+00, -7.523717240821510e-01,  2.865594042624350e-01
sample_30   ,  2.460337396046373e-01,  3.133461872366554e-01,  1.003219081258835e+00,  4.505031166903815e-01, -2.867039146151357e-01,  2.865594042624350e-01
sample_31   , -1.124024432653147e+00, -1.163970987879607e+00,  1.007023320531094e+00,  1.082248706975320e-01,  9.239432839772452e-01, -2.968114275734883e+00
sample_32   ,  2.225987956210966e-01,  3.270828497241658e-01,  1.003833971509009e+00,  4.505031166903815e-01, -5.885032096232130e-01,  2.865594042624350e-01
sample_33   ,  6.970048372487555e-01,  6.280998618497945e-01,  9.985506748167999e-01, -8.578194386426385e-01,  1.524855991057249e+00,  9.519253442906916e-01
sample_34   ,  8.737950041073146e-01,  5.472382737113316e-01,  1.003954934064346e+00, -2.820302489337260e-01, -1.470978721892374e+01,  9.519253442906916e-01
sample_35   ,  2.914771431931900e-01,  7.596879898552072e-01,  9.969593957245131e-01,  3.356598351299319e+00, -1.070556733377550e+00,  1.967421828170025e+00
sample_36   ,  2.566187241374807e-01,  4.819730285352977e-01,  1.000337611209431e+00, -1.938463189783068e-01, -1.109107315391489e+01,  9.519253442906916e-01
