# c0 + a0 * (heat_of_formation_std / group_id_av) + a1 * (eig_13 / eig_15) + a2 * (M_spec_heat / Tx_atom_radius) + a3 * (melting_point_std / gas_basicity_sum) + a4 * (dblock_std + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.458574411551625; Max AE: 1.53117243326226
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.459920721016459e-01,  2.805312573846285e+01, -6.113403069283464e-02,  1.250065718120094e-02,  5.160274084866286e-01, -2.798075341965649e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         23|72|div; (heat_of_formation_std / group_id_av); $\left(\frac{ heat_{of, formation, std} }{ group_{id, av} } \right)$; (heat_of_formation_std ./ group_id_av); heat_of_formation_std,group_id_av
# 1;  1; Unitless;                                         144|131|div; (eig_13 / eig_15); $\left(\frac{ eig_{13} }{ eig_{15} } \right)$; (eig_13 ./ eig_15); eig_13,eig_15
# 2;  1; Unitless;                                         18|187|div; (M_spec_heat / Tx_atom_radius); $\left(\frac{ M_{spec, heat} }{ Tx_{atom, radius} } \right)$; (M_spec_heat ./ Tx_atom_radius); M_spec_heat,Tx_atom_radius
# 3;  1; Unitless;                                         16|73|div; (melting_point_std / gas_basicity_sum); $\left(\frac{ melting_{point, std} }{ gas_{basicity, sum} } \right)$; (melting_point_std ./ gas_basicity_sum); melting_point_std,gas_basicity_sum
# 4;  1; Unitless;                                         175|105|add; (dblock_std + Tx_elec_aff); $\left(dblock_{std} + Tx_{elec, aff}\right)$; (dblock_std + Tx_elec_aff); dblock_std,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.015973541617182e+00, -1.325545592664801e+00,  3.519275153704114e-02,  1.007023320531094e+00,  7.654929878605944e-01, -1.049006762003363e+00, -2.984668831720864e+00
sample_1    ,  1.247859099249947e+00,  5.648239226033835e-01,  5.028446783467090e-01,  1.002174896639453e+00, -9.520240264966504e-01, -9.329521535406634e-01,  6.036289201389817e-01
sample_2    ,  6.120557753248906e-01,  1.868785299119559e-01, -3.156094016018815e-01,  1.003731011066651e+00,  3.096418600091591e-01, -1.036339429663101e-01,  1.475528337266150e-01
sample_3    ,  5.790902272414700e-01,  7.818385574111915e-02,  6.271971796917672e-01,  9.831311318047676e-01, -1.459885228502199e+00, -1.061346929220135e+00,  6.036289201389817e-01
sample_4    ,  2.509562868262680e-01,  3.057614377930044e-01, -6.810196664808001e-01,  9.945638604539239e-01, -1.264115490123981e-01, -3.118218476709391e+00,  1.001041847073953e+00
sample_5    , -4.671054665813817e-01, -6.286215198980682e-01, -1.169383240943045e+00,  1.002276419634526e+00, -8.037274272439906e-01, -1.787316819372069e-01, -1.242249279203077e+00
sample_6    ,  7.941483911512607e-01,  5.732109901465177e-01,  2.737528098321578e-01,  1.003954934064346e+00, -2.820302489337260e-01, -1.470978721892374e+01,  1.001041847073953e+00
sample_7    , -9.771924999652186e-01, -1.372142297322212e+00, -2.386366642986316e+00,  9.920374999159489e-01,  3.863419706154679e+00,  3.575896849083268e-01, -1.242249279203077e+00
sample_8    , -1.604686811820242e-01, -1.231149610706166e+00,  6.271476058220642e-01,  1.007023320531094e+00,  7.344059823190983e-01, -5.630489317902102e-01, -2.984668831720864e+00
sample_9    ,  2.029392157440675e+00,  1.256056489154938e+00,  1.773200339706371e+00,  9.965918026814632e-01, -1.938463189783068e-01, -1.538638299230001e+00,  1.991764260209785e+00
