# FEAT_ID     Score                   Feature Expression
0             0.726215842132527101    (Tx_tot_fill + Tx_glawe_num)
1             0.727061213368045967    (Tx_s_fill + Tx_atom_mass)
2             0.729411459436273168    (c6_gb_av + surf_tot_center)
3             0.730572200182235232    (Tx_charge_sum + Tx_vdw_radius)
4             0.730837038189547594    (Tx_charge_sum + Tx_glawe_num)
5             0.732965330336437737    (c6_gb_av - Tx_tot_fill)
6             0.733305627730198584    (Tx_atom_num + Tx_s_fill)
7             0.735862976270047819    (Tx_charge_sum + Tx_s_fill)
8             0.737678197007987979    (Tx_s_fill + vdw_radius_sum)
9             0.73839302944084495     (c6_gb_av - Tx_charge_sum)
10            0.738429756003103011    (lattice_constant_sum - Tx_p_center)
11            0.738829768566381273    (c6_gb_av - Tx_atom_mass)
12            0.739363845754835047    Tx_s_fill
13            0.739398481655783923    (surf_tot_fill + Tx_s_fill)
14            0.740057745565057323    (surf_charge_sum + Tx_s_fill)
15            0.741488625630746356    (c6_gb_av - Tx_atom_num)
16            0.743386631236431006    (Tx_vdw_radius + Tx_s_fill)
17            0.744512747154676302    (Tx_s_fill + Tx_atom_radius)
18            0.749623224588515491    (Tx_s_fill + Tx_cov_radius_cordero)
19            0.755739414845314594    (Tx_period + Tx_s_fill)
#-----------------------------------------------------------------------
20            0.366195351704734495    (Tx_tDOS_at_EF - Tx_melting_pt)
21            0.367874111301326245    (CN_tDOS_at_EF + M_dipole_polar)
22            0.368445156708319954    (CN_tDOS_at_EF + M_metallic_rad_c12)
23            0.370970896343157164    (CN_tDOS_at_EF - metallic_radius_av)
24            0.371000533856618353    (surf_tDOS_at_EF + atomic_radius_av)
25            0.371540729409093551    (Tx_tDOS_at_EF + atomic_radius)
26            0.372106692909170256    (CN_tDOS_at_EF + M_atom_vol)
27            0.373325575809039245    (Tx_tDOS_at_EF - Tx_boiling_pt)
28            0.384381200402738932    (CN_tDOS_at_EF * surf_tot_var)
29            0.388331503513494547    (CN_tDOS_at_EF - Tx_melting_pt)
30            0.395604765691959515    (CN_tDOS_at_EF - lattice_constant_std)
31            0.396606683666565207    (CN_tDOS_at_EF - Tx_spec_heat)
32            0.396644757190903363    (CN_tDOS_at_EF - Tx_boiling_pt)
33            0.396651718336088144    (CN_tDOS_at_EF - Tx_density)
34            0.400319805968489872    (Tx_tDOS_at_EF - lattice_constant_std)
35            0.400439000726861394    (CN_tDOS_at_EF + c6_gb_std)
36            0.405036896203768093    (CN_tDOS_at_EF + metallic_radius_std)
37            0.405222193182628809    (lattice_constant_av - CN_tDOS_at_EF)
38            0.417586446002216949    (lattice_constant_av - Tx_tDOS_at_EF)
39            0.428302004231041311    (CN_tDOS_at_EF + atomic_radius)
#-----------------------------------------------------------------------
40            0.174197837430656061    (ground_state_magmom_sum / M_pett_num)
41            0.176149240100461763    (metallic_radius_std - CN_charge_sum)
42            0.176506758386782175    (M_tot_var / M_sp_kurt)
43            0.177712126738605064    (M_density / M_sp_kurt)
44            0.179428760089950456    (M_p_center / M_sp_kurt)
45            0.180188679440591665    (M_tot_kurt / M_sp_kurt)
46            0.181501934750869121    (M_boiling_pt / M_sp_kurt)
47            0.182926909075110916    (Tx_density / M_sp_kurt)
48            0.182983498647134757    (Tx_spec_heat / M_sp_kurt)
49            0.184372225681878915    (ground_state_magmom_sum / M_sp_kurt)
50            0.185337459590224629    (dipole_polarizability_av / M_sp_kurt)
51            0.187612788191851565    (c6_sum / M_sp_kurt)
52            0.187797955125893007    (M_spec_heat / M_sp_kurt)
53            0.191930082695801668    (en_ghosh_std / M_evap_heat)
54            0.195047452891945167    (M_fusion_heat / M_sp_kurt)
55            0.196283665976239974    (M_melting_pt / M_sp_kurt)
56            0.201354664517986837    (density_std / M_sp_kurt)
