# c0 + a0 * (Tx_period + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.494227260634909; Max AE: 1.50895186235099
# Coefficients
# Task   a0                      c0
# all ,  4.498541535076425e-01, -6.920910483800791e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         171|157|add; (Tx_period + Tx_s_fill); $\left(Tx_{period} + Tx_{s, fill}\right)$; (Tx_period + Tx_s_fill); Tx_period,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -6.786936110508210e-02,  3.278915851642201e-01,  7.288842008183207e-01
sample_1    ,  5.170489600965991e-01,  9.402389108465925e-01,  2.090097209318351e+00
sample_2    , -8.424432995226028e-02, -4.135139854462093e-01, -9.192178892245886e-01
sample_3    ,  3.870884909923769e-01, -1.543839015325084e-01, -3.431865646426349e-01
sample_4    , -3.064802267653849e-01,  5.624648399170288e-01,  1.250327101642451e+00
sample_5    ,  9.084282131303049e-01,  8.281955523706340e-01,  1.841031245155690e+00
sample_6    , -3.372731447832425e-01,  5.471433056038674e-01,  1.216268209013151e+00
sample_7    , -1.223306809623438e-01,  3.442797468946475e-01,  7.653141450627923e-01
sample_8    ,  9.505429496916736e-01,  9.409793546647404e-01,  2.091743173487792e+00
sample_9    , -2.722343139012212e-01, -1.228713708387690e-01, -2.731360150411092e-01
sample_10   ,  1.033922593120234e+00,  5.474219796804642e-01,  1.216887685513310e+00
sample_11   ,  8.655043105153030e-01,  4.568063542800443e-01,  1.015454343853877e+00
sample_12   , -1.974351437895262e+00, -1.495921133251664e+00, -3.325346940975281e+00
sample_13   ,  1.127745069540050e+00,  8.327782811525231e-01,  1.851218388580189e+00
sample_14   ,  1.173303732952369e+00,  8.519009663784571e-01,  1.893727021826829e+00
sample_15   , -3.117665424580768e-01, -4.066257882523029e-01, -9.039058216573623e-01
sample_16   ,  2.993778837652355e-01,  4.514529462358535e-01,  1.003554024600517e+00
sample_17   , -1.967465780026508e+00, -1.495921133251664e+00, -3.325346940975281e+00
sample_18   , -2.068025907941206e-01, -3.982830663351911e-01, -8.853604289960717e-01
sample_19   , -1.620136975480968e+00, -1.495921133251664e+00, -3.325346940975281e+00
sample_20   ,  5.325233916633493e-01,  5.633447942826649e-01,  1.252283189762956e+00
sample_21   , -8.260074571897974e-02, -4.145970346558587e-01, -9.216254455430188e-01
sample_22   , -4.244578083032810e-01, -4.145970346558587e-01, -9.216254455430188e-01
sample_23   ,  1.021301692810332e+00,  8.508937222050832e-01,  1.891487975759298e+00
sample_24   , -1.579486740420006e+00, -7.053487806901471e-02, -1.567949912633547e-01
sample_25   , -3.255503419433455e-01, -4.396685079470605e-01, -9.773578937058562e-01
sample_26   , -1.312962838052638e+00, -1.580273131193474e-01, -3.512856597792035e-01
sample_27   , -1.880392015620360e-01,  4.408414099203773e-01,  9.799651875680369e-01
sample_28   , -1.926831941724512e-01,  3.398961423870025e-01,  7.555696434871932e-01
sample_29   , -1.967181256434801e+00, -1.495921133251664e+00, -3.325346940975281e+00
sample_30   ,  1.043102575673906e+00,  8.409266283302380e-01,  1.869331697336327e+00
sample_31   ,  8.976586070063816e-01,  6.313103236314040e-01,  1.403366666082541e+00
sample_32   ,  6.175426342807178e-01,  6.304987703200651e-01,  1.401562629585354e+00
sample_33   ,  9.009804209061152e-01,  9.497169643076645e-01,  2.111166378930699e+00
sample_34   ,  1.273920780659581e+00,  4.527843421714900e-01,  1.006513641456903e+00
sample_35   ,  8.868754598844902e-01,  5.462579301553426e-01,  1.214300070136092e+00
sample_36   ,  8.652147852946854e-01,  4.568063542800443e-01,  1.015454343853877e+00
sample_37   ,  1.562198884018698e+00,  1.021900870965287e+00,  2.271627066232981e+00
sample_38   ,  8.378932827646619e-01,  5.633447942826649e-01,  1.252283189762956e+00
sample_39   ,  5.502215964767956e-01,  4.721199933394385e-01,  1.049495685786566e+00
sample_40   , -1.196527547584423e+00, -1.495921133251664e+00, -3.325346940975281e+00
