# c0 + a0 * (lattice_constant_av - CN_tDOS_at_EF) + a1 * (c6_gb_av - Tx_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.383034072218513; Max AE: 1.42036910099117
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.545138490556921e-01, -4.231838577934746e-01,  2.976577477553724e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         370|237|sub; (lattice_constant_av - CN_tDOS_at_EF); $\left(lattice_{constant, av} - CN_{tDOS, at, EF}\right)$; (lattice_constant_av - CN_tDOS_at_EF); lattice_constant_av,CN_tDOS_at_EF
# 1;  1; Unitless;                                         354|353|sub; (c6_gb_av - Tx_tot_fill); $\left(c6_{gb, av} - Tx_{tot, fill}\right)$; (c6_gb_av - Tx_tot_fill); c6_gb_av,Tx_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -6.786936110508210e-02,  1.150209064415349e-01, -7.193857117257729e-03, -2.761254725435001e-01
sample_1    ,  5.170489600965991e-01,  8.846945784736446e-01,  4.655451068881318e-01, -1.810576862278221e+00
sample_2    , -8.424432995226028e-02, -2.751384949594295e-01, -2.615779416662189e-01,  4.928431989002751e-01
sample_3    ,  3.870884909923769e-01,  3.491470946640506e-02, -7.621680921479683e-01, -5.408926640536598e-01
sample_4    , -3.064802267653849e-01,  6.766273917698002e-01, -6.051784914780427e-01, -1.962867164481911e+00
sample_5    ,  9.084282131303049e-01,  9.753758230693432e-01,  2.143475724662128e+00, -1.015708794445358e+00
sample_6    , -3.372731447832425e-01,  2.353942902973393e-01, -6.782715149899008e-01, -9.641761536220530e-01
sample_7    , -1.223306809623438e-01,  2.944296447030256e-01, -8.839395220383084e-01, -1.227373126890222e+00
sample_8    ,  9.505429496916736e-01,  5.936183431962152e-01,  2.220158888764804e-01, -1.269217185096097e+00
sample_9    , -2.722343139012212e-01, -2.768971203548924e-01, -2.242047232688322e-01,  5.194761312624571e-01
sample_10   ,  1.033922593120234e+00,  7.259517555258307e-01, -7.175750711549915e-01, -2.147020809369609e+00
sample_11   ,  8.655043105153030e-01,  9.646569687128809e-01,  8.097477653493381e-01, -1.792518628061129e+00
sample_12   , -1.974351437895262e+00, -1.593432462002452e+00, -6.511753482251534e-01,  3.373709302523170e+00
sample_13   ,  1.127745069540050e+00,  8.959585002109069e-01,  2.337956252894883e+00, -7.110768755023317e-01
sample_14   ,  1.173303732952369e+00,  1.079470891980512e+00,  2.205034490201083e+00, -1.224666458879448e+00
sample_15   , -3.117665424580768e-01, -8.857712292212547e-02, -3.872351452659779e-01, -2.358214805544079e-02
sample_16   ,  2.993778837652355e-01,  9.109793056343171e-01,  5.593569588310472e-01, -1.816267796824250e+00
sample_17   , -1.967465780026508e+00, -1.852452229279957e+00, -3.612398206910040e-01,  4.160157954188507e+00
sample_18   , -2.068025907941206e-01, -3.273439891527439e-01, -4.253636414716379e-01,  5.177018156027369e-01
sample_19   , -1.620136975480968e+00, -1.049313431408837e+00, -5.156224796080191e-01,  2.169459804660622e+00
sample_20   ,  5.325233916633493e-01,  6.950173342709317e-01, -5.376753766167911e-01, -1.965725177358046e+00
sample_21   , -8.260074571897974e-02, -2.048965121788511e-02, -4.463087038704560e-01, -2.200038899325829e-01
sample_22   , -4.244578083032810e-01, -2.048965121788511e-02, -4.463087038704560e-01, -2.200038899325829e-01
sample_23   ,  1.021301692810332e+00,  1.132182700421813e+00,  2.374488406199000e+00, -1.247312502358234e+00
sample_24   , -1.579486740420006e+00, -1.049937716991552e+00, -3.977243724649975e+00,  8.902539003903964e-02
sample_25   , -3.255503419433455e-01, -2.148024422904756e-01, -5.414239419656017e-01,  1.819600380113844e-01
sample_26   , -1.312962838052638e+00, -1.839737442839366e+00, -6.209378784040788e+00,  6.128885672075175e-01
sample_27   , -1.880392015620360e-01,  5.127998491523447e-01,  8.622068219435203e-01, -6.932123397783031e-01
sample_28   , -1.926831941724512e-01,  5.109353840682378e-01, -3.392966857354251e-01, -1.411422195168169e+00
sample_29   , -1.967181256434801e+00, -1.852452229279957e+00, -3.612398206910040e-01,  4.160157954188507e+00
sample_30   ,  1.043102575673906e+00,  8.703782132649940e-01,  2.190137615111019e+00, -7.395316553736947e-01
sample_31   ,  8.976586070063816e-01,  4.643958946115043e-01, -6.870789233222405e-01, -1.510612903158674e+00
sample_32   ,  6.175426342807178e-01,  5.656098062820045e-01, -3.981960513004664e-01, -1.576043612473415e+00
sample_33   ,  9.009804209061152e-01,  8.219388844779654e-01,  5.653143919179987e-01, -1.602278844471540e+00
sample_34   ,  1.273920780659581e+00,  7.946238199402237e-01,  9.765262389398961e-01, -1.290418710701995e+00
sample_35   ,  8.868754598844902e-01,  7.036175200644410e-01, -7.970206038267665e-01, -2.142024760697431e+00
sample_36   ,  8.652147852946854e-01,  9.646569687128809e-01,  8.097477653493381e-01, -1.792518628061129e+00
sample_37   ,  1.562198884018698e+00,  9.047863308204598e-01,  2.326405957297494e+00, -7.388840344547845e-01
sample_38   ,  8.378932827646619e-01,  6.950173342709317e-01, -5.376753766167911e-01, -1.965725177358046e+00
sample_39   ,  5.502215964767956e-01,  9.506042227704485e-01,  1.079203478770606e+00, -1.597253720873545e+00
sample_40   , -1.196527547584423e+00, -1.202390552953785e+00, -5.041155264460616e-01,  2.538107610128751e+00
sample_41   ,  4.971833011969013e-01,  8.846945784736446e-01,  4.655451068881318e-01, -1.810576862278221e+00
