# c0 + a0 * (M_p_var / M_sp_kurt) + a1 * (CN_tDOS_at_EF - Tx_boiling_pt) + a2 * (c6_gb_av - Tx_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.34552362483897; Max AE: 1.44974274629519
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.270112269631032e-02, -2.503909273628856e-01, -4.462992719032142e-01, -5.446259265733030e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|313|div; (M_p_var / M_sp_kurt); $\left(\frac{ M_{p, var} }{ M_{sp, kurt} } \right)$; (M_p_var ./ M_sp_kurt); M_p_var,M_sp_kurt
# 1;  1; Unitless;                                         237|27|sub; (CN_tDOS_at_EF - Tx_boiling_pt); $\left(CN_{tDOS, at, EF} - Tx_{boiling, pt}\right)$; (CN_tDOS_at_EF - Tx_boiling_pt); CN_tDOS_at_EF,Tx_boiling_pt
# 2;  1; Unitless;                                         354|353|sub; (c6_gb_av - Tx_tot_fill); $\left(c6_{gb, av} - Tx_{tot, fill}\right)$; (c6_gb_av - Tx_tot_fill); c6_gb_av,Tx_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -6.786936110508210e-02,  1.990094820441034e-01,  1.090910650806515e+00, -1.598218521323667e-01, -2.761254725435001e-01
sample_1    ,  5.170489600965991e-01,  8.109931170273235e-01, -5.547523337662638e-01, -4.124558993955535e-01, -1.810576862278221e+00
sample_2    , -8.424432995226028e-02, -4.269423976245360e-02,  3.882492208374710e+00,  3.568921274700751e-01,  4.928431989002751e-01
sample_3    ,  3.870884909923769e-01,  6.948258749430056e-02,  4.130818383880614e-01,  6.055217550822866e-01, -5.408926640536598e-01
sample_4    , -3.064802267653849e-01, -2.868259930120622e-01, -1.274039220782487e+01,  2.186375045768110e-01, -1.962867164481911e+00
sample_5    ,  9.084282131303049e-01,  9.697478862852232e-01, -3.356936449838884e-01, -2.390911807960421e+00, -1.015708794445358e+00
sample_6    , -3.372731447832425e-01,  4.243588852132997e-01,  1.139868209059612e+00,  1.827463102370330e-01, -9.641761536220530e-01
sample_7    , -1.223306809623438e-01,  4.806448489599677e-01,  1.914906252839150e+00,  6.830646383105060e-01, -1.227373126890222e+00
sample_8    ,  9.505429496916736e-01,  5.796367255135220e-01,  6.653357017907385e-01, -5.041957071027908e-02, -1.269217185096097e+00
sample_9    , -2.722343139012212e-01, -2.826266639427547e-01,  5.633660176060125e-01,  1.713850207306619e-01,  5.194761312624571e-01
