# c0 + a0 * (site_charge_std / eig_16) + a1 * (en_allred_rochow_std / M_heat_form) + a2 * (c6_sum / M_sp_kurt) + a3 * (lattice_constant_av - CN_tDOS_at_EF) + a4 * (c6_gb_av - Tx_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.284227679650428; Max AE: 0.83717880100232
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.197369977625939e-01, -4.472930722604267e-02, -3.631814832964448e-02,  2.458432928706959e-01, -4.447840214662022e-01, -3.313332311214874e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         212|293|div; (site_charge_std / eig_16); $\left(\frac{ site_{charge, std} }{ eig_{16} } \right)$; (site_charge_std ./ eig_16); site_charge_std,eig_16
# 1;  1; Unitless;                                         18|10|div; (en_allred_rochow_std / M_heat_form); $\left(\frac{ en_{allred, rochow, std} }{ M_{heat, form} } \right)$; (en_allred_rochow_std ./ M_heat_form); en_allred_rochow_std,M_heat_form
# 2;  1; Unitless;                                         107|313|div; (c6_sum / M_sp_kurt); $\left(\frac{ c6_{sum} }{ M_{sp, kurt} } \right)$; (c6_sum ./ M_sp_kurt); c6_sum,M_sp_kurt
# 3;  1; Unitless;                                         370|237|sub; (lattice_constant_av - CN_tDOS_at_EF); $\left(lattice_{constant, av} - CN_{tDOS, at, EF}\right)$; (lattice_constant_av - CN_tDOS_at_EF); lattice_constant_av,CN_tDOS_at_EF
# 4;  1; Unitless;                                         354|353|sub; (c6_gb_av - Tx_tot_fill); $\left(c6_{gb, av} - Tx_{tot, fill}\right)$; (c6_gb_av - Tx_tot_fill); c6_gb_av,Tx_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -6.786936110508210e-02, -3.095681983080015e-01,  3.648308860558388e+00, -1.949549417014070e+00,  1.317439322583722e+00, -7.193857117257729e-03, -2.761254725435001e-01
sample_1    ,  5.170489600965991e-01,  9.428533361778144e-01, -2.434584289253733e-01,  6.735724263013269e-01, -1.574895982342617e+00,  4.655451068881318e-01, -1.810576862278221e+00
sample_2    , -8.424432995226028e-02, -6.360934436329904e-02, -5.962996356282994e-01, -2.218697449313749e-02, -4.974053287471958e+00, -2.615779416662189e-01,  4.928431989002751e-01
sample_3    ,  3.870884909923769e-01,  2.340069620206331e-02, -2.600577170661463e-01,  2.571743423080918e-01,  4.490256898901130e-01, -7.621680921479683e-01, -5.408926640536598e-01
sample_4    , -3.064802267653849e-01, -1.216209160116884e-01, -1.436513275615638e-01,  3.126389528136349e+00,  1.900205939776716e+01, -6.051784914780427e-01, -1.962867164481911e+00
sample_5    ,  9.084282131303049e-01,  9.226316801334025e-01,  1.037139254830927e-01, -1.109499683567017e+00,  1.656855600939666e+00,  2.143475724662128e+00, -1.015708794445358e+00
sample_6    , -3.372731447832425e-01, -5.027578376009501e-01, -1.086145535594899e+00,  1.865257533255582e+01,  7.561286303048829e-01, -6.782715149899008e-01, -9.641761536220530e-01
sample_7    , -1.223306809623438e-01,  3.155975922941576e-01,  5.064338678040674e-01, -4.953740720913105e-01, -1.613702722032909e+00, -8.839395220383084e-01, -1.227373126890222e+00
sample_8    ,  9.505429496916736e-01,  5.771732282212138e-01, -1.572748380806518e-01, -2.362328783593128e-01,  1.051822332470675e+00,  2.220158888764804e-01, -1.269217185096097e+00
sample_9    , -2.722343139012212e-01, -2.024751743323046e-01, -4.287896169579655e-01,  1.731931338108537e-01, -2.016536905038342e+00, -2.242047232688322e-01,  5.194761312624571e-01
sample_10   ,  1.033922593120234e+00,  8.139840218185038e-01, -6.949783852785706e-01, -2.117835788145062e+00,  3.011611122085694e+00, -7.175750711549915e-01, -2.147020809369609e+00
sample_11   ,  8.655043105153030e-01,  1.087005114569378e+00, -5.901006035459753e-01, -1.404399273961169e+00,  2.668347637197876e-01,  8.097477653493381e-01, -1.792518628061129e+00
sample_12   , -1.974351437895262e+00, -1.752093295073127e+00,  7.657775954709294e-01,  2.021030115958743e-01, -1.168312554497741e+00, -6.511753482251534e-01,  3.373709302523170e+00
sample_13   ,  1.127745069540050e+00,  8.979820961160786e-01, -6.179035766097730e-01, -4.141968121822020e-01,  1.444008983794874e+00,  2.337956252894883e+00, -7.110768755023317e-01
sample_14   ,  1.173303732952369e+00,  1.072318786700381e+00, -3.360287285095544e-02,  1.509284949766744e+00, -2.261482597233965e+00,  2.205034490201083e+00, -1.224666458879448e+00
sample_15   , -3.117665424580768e-01, -2.537313125181466e-01, -6.030102659342188e-01,  6.135280818079536e-01,  4.974035019235806e+00, -3.872351452659779e-01, -2.358214805544079e-02
sample_16   ,  2.993778837652355e-01,  9.851591515869708e-01, -1.790518985263865e-01, -1.403164291855024e+00,  3.103208911157760e-01,  5.593569588310472e-01, -1.816267796824250e+00
sample_17   , -1.967465780026508e+00, -2.071182519534656e+00,  7.596879364420355e-01, -9.045030148394785e-01,  1.331677613127898e+00, -3.612398206910040e-01,  4.160157954188507e+00
sample_18   , -2.068025907941206e-01, -3.295872194800128e-01, -7.934741844166804e-01, -2.014638930813528e-01,  1.807227588639455e+00, -4.253636414716379e-01,  5.177018156027369e-01
sample_19   , -1.620136975480968e+00, -1.304415619352901e+00,  7.704195081122039e-01,  3.782037860442992e-01,  1.938821295383553e+00, -5.156224796080191e-01,  2.169459804660622e+00
sample_20   ,  5.325233916633493e-01,  3.871290410004772e-01,  1.779309329482323e-01,  3.181632644170458e+00,  4.357594421081245e+00, -5.376753766167911e-01, -1.965725177358046e+00
sample_21   , -8.260074571897974e-02, -3.313764941355866e-02, -5.433400309408659e-01, -2.136322275343185e-01,  1.727788125258241e+00, -4.463087038704560e-01, -2.200038899325829e-01
sample_22   , -4.244578083032810e-01, -7.042109424260718e-03, -7.612805211562489e-01, -2.136322275343185e-01,  1.727788125258241e+00, -4.463087038704560e-01, -2.200038899325829e-01
sample_23   ,  1.021301692810332e+00,  1.276138262144725e+00, -7.535055172116479e-01,  9.399618339151014e-01, -3.374517276561941e+00,  2.374488406199000e+00, -1.247312502358234e+00
sample_24   , -1.579486740420006e+00, -1.011259206360974e+00, -6.328333411984828e-01,  1.198419936974378e-01,  8.580622877314883e-01, -3.977243724649975e+00,  8.902539003903964e-02
sample_25   , -3.255503419433455e-01, -7.970887518389938e-02, -9.248665315087710e-01, -2.433327593695620e-01, -1.262122785857216e+00, -5.414239419656017e-01,  1.819600380113844e-01
sample_26   , -1.312962838052638e+00, -1.678814551574101e+00, -6.800779587445411e-01,  1.373215420850423e-01, -2.152305338694212e+00, -6.209378784040788e+00,  6.128885672075175e-01
