# FEAT_ID     Feature Postfix Expression (RPN)
0             61|19|add
1             55|19|add
2             30|cb
3             33|18|sub
4             57
5             33|3|sub
6             125|19|sub
7             57|cb
8             143|19|sub
9             112|19|add
10            123|19|add
11            91|19|sub
12            53|19|add
13            132|19|add
14            30|19|add
15            50|19|add
16            57|19|add
17            19
18            19|3|add
19            19|18|add
#-----------------------------------------------------------------------
20            120|63|mult
21            119|127|div
22            119|63|mult
23            120|57|div
24            119|96|add
25            141|120|mult
26            119|78|mult
27            119|108|mult
28            120|95|div
29            120|110|mult
30            120|123|div
31            120|20|mult
32            120|104|mult
33            134|120|mult
34            139|18|div
35            141|119|mult
36            119|104|mult
37            134|119|mult
38            119|22|mult
39            119|110|mult
#-----------------------------------------------------------------------
40            36|24|sub
41            123|40|div
42            48|18|sub
43            131|48|add
44            28|40|div
45            48|3|sub
46            50|40|div
47            92|37|add
48            139|40|div
49            79|24|sub
50            117|40|div
51            144|142|sub
52            63|2|div
53            48|30|div
54            48|132|div
55            131|28|sub
56            48|53|div
57            133|107|mult
58            48|40|div
59            131|117|sub
#-----------------------------------------------------------------------
60            0|86|div
61            18|40|div
62            133|131|add
63            86|inv
64            27|24|sub
65            96|86|div
66            105|86|div
67            94|86|div
68            24|14|sub
69            55|40|div
70            131|73|sub
71            61|40|div
72            53|40|div
73            132|40|div
74            30|40|div
75            33|24|sub
76            131|24|sub
77            19|40|div
78            57|40|div
79            44|86|div
#-----------------------------------------------------------------------
80            26|34|div
81            120|46|mult
82            44|78|div
83            78|inv
84            97|68|div
85            121|78|div
86            74|68|div
87            6|78|div
88            100|133|div
89            84|78|div
90            44|0|div
91            2|78|div
92            107|113|div
93            22|34|div
94            22|133|div
95            107|4|div
96            107|84|mult
97            107|6|mult
98            121|107|mult
99            107|106|div
#-----------------------------------------------------------------------
