# c0 + a0 * (Tx_s_fill + surf_charge_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.509845324029694; Max AE: 1.45721131058993
# Coefficients
# Task   a0                      c0
# all ,  4.511463726546283e-01, -1.804969698401340e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         19|18|add; (Tx_s_fill + surf_charge_sum); $\left(Tx_{s, fill} + surf_{charge, sum}\right)$; (Tx_s_fill + surf_charge_sum); Tx_s_fill,surf_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -6.786936110508210e-02,  2.020834950702229e-01,  4.479333256768234e-01
sample_1    ,  5.170489600965991e-01,  8.906075040921062e-01,  1.974098780516860e+00
sample_2    , -8.424432995226028e-02, -5.100397986887962e-01, -1.130541725710057e+00
sample_3    ,  3.870884909923769e-01, -8.364962403989999e-02, -1.854157078725692e-01
sample_4    , -3.064802267653849e-01,  1.074181958360890e+00,  2.381005419682765e+00
sample_5    ,  9.084282131303049e-01,  7.919591430577618e-01,  1.755437239576434e+00
sample_6    , -3.372731447832425e-01,  6.944338986098810e-01,  1.539265171353821e+00
sample_7    , -1.223306809623438e-01,  4.898616810668710e-01,  1.085815404398433e+00
sample_8    ,  9.505429496916736e-01,  8.952493418830592e-01,  1.984387764474859e+00
sample_9    , -2.722343139012212e-01, -3.736780895926098e-01, -8.282857011435536e-01
sample_10   ,  1.033922593120234e+00,  8.404402949655316e-01,  1.862899373478781e+00
sample_11   ,  8.655043105153030e-01,  6.000287253480892e-01,  1.330008976504477e+00
sample_12   , -1.974351437895262e+00, -1.472589797118113e+00, -3.264106477135400e+00
sample_13   ,  1.127745069540050e+00,  6.537019782153228e-01,  1.448979794226916e+00
sample_14   ,  1.173303732952369e+00,  5.730328496666659e-01,  1.270170579660954e+00
sample_15   , -3.117665424580768e-01, -5.877253053348729e-01, -1.302737517042615e+00
sample_16   ,  2.993778837652355e-01,  6.738951672194851e-01,  1.493739522395275e+00
sample_17   , -1.967465780026508e+00, -1.468624968172770e+00, -3.255318134403054e+00
sample_18   , -2.068025907941206e-01, -5.755837878591045e-01, -1.275824926779890e+00
sample_19   , -1.620136975480968e+00, -1.322775039200792e+00, -2.932030754048492e+00
sample_20   ,  5.325233916633493e-01,  1.008556856043048e+00,  2.235542425196757e+00
sample_21   , -8.260074571897974e-02, -5.913570000622412e-01, -1.310787442626631e+00
sample_22   , -4.244578083032810e-01, -5.913570000622412e-01, -1.310787442626631e+00
sample_23   ,  1.021301692810332e+00,  6.515622188348972e-01,  1.444236855991960e+00
sample_24   , -1.579486740420006e+00, -1.488685240523553e-01, -3.299783242772968e-01
sample_25   , -3.255503419433455e-01, -3.853491524211485e-01, -8.541554931577595e-01
sample_26   , -1.312962838052638e+00, -2.326099200005476e-01, -5.155974515140793e-01
sample_27   , -1.880392015620360e-01,  5.169129631596437e-01,  1.145776613736320e+00
sample_28   , -1.926831941724512e-01,  3.337151543282895e-01,  7.397048376220967e-01
sample_29   , -1.967181256434801e+00, -1.468624968172770e+00, -3.255318134403054e+00
sample_30   ,  1.043102575673906e+00,  5.660535105861322e-01,  1.254700347595326e+00
sample_31   ,  8.976586070063816e-01,  7.747866333770004e-01,  1.717373075212848e+00
sample_32   ,  6.175426342807178e-01,  8.535133606181650e-01,  1.891876810614558e+00
sample_33   ,  9.009804209061152e-01,  9.728043373033690e-01,  2.156294267820906e+00
sample_34   ,  1.273920780659581e+00,  7.189329415542272e-01,  1.593569149905592e+00
sample_35   ,  8.868754598844902e-01,  9.183351838890862e-01,  2.035559276439336e+00
sample_36   ,  8.652147852946854e-01,  6.000287253480892e-01,  1.330008976504477e+00
sample_37   ,  1.562198884018698e+00,  6.739169420965417e-01,  1.493787788054441e+00
sample_38   ,  8.378932827646619e-01,  1.008556856043048e+00,  2.235542425196757e+00
sample_39   ,  5.502215964767956e-01,  8.073695238419123e-01,  1.789595512186437e+00
sample_40   , -1.196527547584423e+00, -1.166311948312768e+00, -2.585218498931897e+00
sample_41   ,  4.971833011969013e-01,  8.906075040921062e-01,  1.974098780516860e+00
sample_42   ,  2.076718886760197e-03,  8.508443355580855e-01,  1.885960715037031e+00
sample_43   , -1.067584035797745e+00, -1.247805985167544e+00, -2.765856185045275e+00
