# c0 + a0 * (CN_tDOS_at_EF * surf_tot_var) + a1 * (Tx_charge_max^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.424239226519327; Max AE: 1.22727079372677
# Coefficients
# Task   a0                      a1                      c0
# all , -5.087864566266938e-01,  5.786539809348840e-01,  3.887626040915277e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         119|110|mult; (CN_tDOS_at_EF * surf_tot_var); $\left(CN_{tDOS, at, EF} surf_{tot, var}\right)$; (CN_tDOS_at_EF .* surf_tot_var); CN_tDOS_at_EF,surf_tot_var
# 1;  1; Unitless;                                         30|cb; (Tx_charge_max^3); $\left(Tx_{charge, max}^3\right)$; (Tx_charge_max).^3; Tx_charge_max
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -6.786936110508210e-02,  3.228539773999247e-01,  4.649303395798030e-01,  2.948940800264757e-01
sample_1    ,  5.170489600965991e-01,  8.263516882118304e-01,  2.343713649738847e-02,  7.768262149100619e-01
sample_2    , -8.424432995226028e-02, -1.128481589686488e-01, -1.339762819393479e-01, -9.846576703742289e-01
sample_3    ,  3.870884909923769e-01,  2.810503072137499e-01,  3.149137109680938e-01,  9.074772834709048e-02
sample_4    , -3.064802267653849e-01,  8.442414414977291e-01, -2.716271306398874e-03,  7.847467576725814e-01
sample_5    ,  9.084282131303049e-01,  6.350788729191469e-01, -9.560839326775208e-02,  3.416065899586236e-01
sample_6    , -3.372731447832425e-01,  8.014198190799041e-01,  1.817712717490034e-01,  8.729568842539824e-01
sample_7    , -1.223306809623438e-01,  3.326143193479454e-01,  2.208538166235332e-01,  9.715503202442000e-02
sample_8    ,  9.505429496916736e-01,  1.039522386246181e+00, -3.652768654097136e-01,  8.034367263213493e-01
sample_9    , -2.722343139012212e-01, -2.404314450880931e-01,  1.675705916363688e-01, -9.400028679441907e-01
sample_10   ,  1.033922593120234e+00,  8.526080201342805e-01,  1.935326424160380e-02,  8.186102755485979e-01
sample_11   ,  8.655043105153030e-01,  8.308075072095193e-01, -4.513686652811413e-01,  3.670494739086231e-01
