# c0 + a0 * (site_tDOS_at_EF - Tx_p_center) + a1 * (CN_tDOS_at_EF * surf_tot_var) + a2 * (Tx_s_fill + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.387080458419403; Max AE: 1.24816860511576
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.735309447985264e-01, -3.792915973522830e-01,  4.816011882608607e-01,  6.206310647248403e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         131|117|sub; (site_tDOS_at_EF - Tx_p_center); $\left(site_{tDOS, at, EF} - Tx_{p, center}\right)$; (site_tDOS_at_EF - Tx_p_center); site_tDOS_at_EF,Tx_p_center
# 1;  1; Unitless;                                         119|110|mult; (CN_tDOS_at_EF * surf_tot_var); $\left(CN_{tDOS, at, EF} surf_{tot, var}\right)$; (CN_tDOS_at_EF .* surf_tot_var); CN_tDOS_at_EF,surf_tot_var
# 2;  1; Unitless;                                         19|3|add; (Tx_s_fill + surf_tot_fill); $\left(Tx_{s, fill} + surf_{tot, fill}\right)$; (Tx_s_fill + surf_tot_fill); Tx_s_fill,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -6.786936110508210e-02,  4.239015947068100e-01, -2.011314695846317e+00,  4.649303395798030e-01,  3.927675523741838e-01
sample_1    ,  5.170489600965991e-01,  8.506348252079974e-01,  8.862803402215413e-01,  2.343713649738847e-02,  1.975199222213553e+00
sample_2    , -8.424432995226028e-02, -2.815648794471821e-01, -9.072213574244060e-01, -1.339762819393479e-01, -1.145917112854164e+00
sample_3    ,  3.870884909923769e-01,  4.418364451824946e-02, -1.079069356965977e+00,  3.149137109680938e-01, -1.779216177183572e-01
sample_4    , -3.064802267653849e-01,  9.416883783503756e-01,  1.668108870127591e+00, -2.716271306398874e-03,  2.425375081555246e+00
sample_5    ,  9.084282131303049e-01,  9.029650628780721e-01,  1.630056302970286e-01, -9.560839326775208e-02,  1.729491200475493e+00
sample_6    , -3.372731447832425e-01,  4.973018254753773e-01,  1.397383492962708e+00,  1.817712717490034e-01,  1.550395495271442e+00
sample_7    , -1.223306809623438e-01,  5.553748388884159e-01, -2.762293740744200e-01,  2.208538166235332e-01,  1.098721095251051e+00
sample_8    ,  9.505429496916736e-01,  1.015138478824292e+00,  7.910035260812114e-01, -3.652768654097136e-01,  1.976308487218724e+00
sample_9    , -2.722343139012212e-01, -2.535476269089076e-01, -8.654379236652745e-01,  1.675705916363688e-01, -8.351990949627923e-01
sample_10   ,  1.033922593120234e+00,  4.329676652723229e-01,  3.061849096895958e+00,  1.935326424160380e-02,  1.888638728669864e+00
sample_11   ,  8.655043105153030e-01,  8.681895721105203e-01,  8.612705929055281e-02, -4.513686652811413e-01,  1.349398318361681e+00
sample_12   , -1.974351437895262e+00, -1.871483508513039e+00,  1.984444923733449e+00,  3.206246983752779e-02, -3.274541312417784e+00
sample_13   ,  1.127745069540050e+00,  9.702017192914346e-01, -1.322118209209930e+00, -7.802472773716748e-03,  1.403133536522241e+00
sample_14   ,  1.173303732952369e+00,  5.919760972773880e-01,  3.146226677969176e-01,  8.220699440462047e-02,  1.278423302997550e+00
sample_15   , -3.117665424580768e-01, -6.129087172512803e-01,  6.257369939837063e-01, -1.568739097198581e-01, -1.299598221555696e+00
sample_16   ,  2.993778837652355e-01,  1.715487490605838e-01,  2.967221302636367e+00,  2.684720397522937e-01,  1.507927233496810e+00
sample_17   , -1.967465780026508e+00, -1.811065438093783e+00,  1.455657742066037e+00,  1.145372620977866e-01, -3.274667709770267e+00
sample_18   , -2.068025907941206e-01, -5.238026653823479e-01, -3.053231101393800e-01,  5.716122533156920e-02, -1.281491869636392e+00
sample_19   , -1.620136975480968e+00, -1.103791845445476e+00, -8.039590219287497e-01, -2.889967138575185e-01, -2.938075694769063e+00
sample_20   ,  5.325233916633493e-01,  9.265515422753865e-01,  1.255789183804292e+00,  1.525490719466924e-02,  2.259530923051078e+00
sample_21   , -8.260074571897974e-02, -2.939261326734549e-01, -1.688354026020405e+00,  3.934785153994253e-02, -1.316538693067462e+00
sample_22   , -4.244578083032810e-01, -4.728096381212717e-01, -6.575090337597744e-01,  3.934785153994253e-02, -1.316538693067462e+00
sample_23   ,  1.021301692810332e+00,  8.732755334875706e-01, -9.603407958341637e-01,  1.333100931502939e-01,  1.443366412923081e+00
sample_24   , -1.579486740420006e+00, -1.521429084155128e+00, -8.879708879059108e-01,  4.164314216254409e+00, -3.282658570059915e-01
sample_25   , -3.255503419433455e-01, -2.828923137466434e-01, -3.649171361754395e-01, -2.383704338294500e-02, -8.665282313789759e-01
sample_26   , -1.312962838052638e+00, -1.348145483022972e+00, -1.463817862895929e+00,  3.721117817376482e+00, -5.249936493741160e-01
sample_27   , -1.880392015620360e-01,  5.291665396513489e-01,  5.339583969971675e-01, -1.991345957514847e-02,  1.146609983243472e+00
sample_28   , -1.926831941724512e-01,  7.461239782662843e-01, -1.255069925529970e+00, -2.708731220448669e-01,  7.548309920100638e-01
sample_29   , -1.967181256434801e+00, -1.383478805568861e+00, -1.008379049881131e+00,  1.145372620977866e-01, -3.274667709770267e+00
sample_30   ,  1.043102575673906e+00,  7.750607791922299e-01, -4.723445240109210e-01, -7.275849481100043e-02,  1.252975719721556e+00
sample_31   ,  8.976586070063816e-01,  4.346347697049783e-01,  2.051749601956068e+00,  2.838552759549754e-01,  1.736452590998996e+00
sample_32   ,  6.175426342807178e-01,  6.364253101026427e-01,  1.253560018942236e+00,  3.304964192020051e-01,  1.904580377281735e+00
sample_33   ,  9.009804209061152e-01,  8.943922987241412e-01,  9.494412527818754e-01,  1.244904070416953e-01,  2.168401616679198e+00
sample_34   ,  1.273920780659581e+00,  7.938404471401858e-01,  7.372553632707156e-01, -3.488179843774202e-01,  1.510399574720589e+00
sample_35   ,  8.868754598844902e-01,  5.544307002243037e-01,  2.857900373111893e+00, -1.661508277136022e-03,  2.050807958087021e+00
sample_36   ,  8.652147852946854e-01,  7.724862731769426e-01,  6.376327232785609e-01, -4.513686652811413e-01,  1.349398318361681e+00
sample_37   ,  1.562198884018698e+00,  8.493087345167958e-01, -7.600971175468288e-01,  1.616892702782237e-01,  1.488103966861765e+00
sample_38   ,  8.378932827646619e-01,  8.798619602515765e-01,  1.524845415118065e+00,  1.525490719466924e-02,  2.259530923051078e+00
sample_39   ,  5.502215964767956e-01,  1.437482773795083e+00, -3.126333734065307e-01, -1.297645103073670e+00,  1.721304346677843e+00
sample_40   , -1.196527547584423e+00, -1.062185100100388e+00,  3.880759897999198e-02, -3.560935291409582e-01, -2.600859801144709e+00
sample_41   ,  4.971833011969013e-01,  6.420524197983993e-01,  2.088270023685590e+00,  2.343713649738847e-02,  1.975199222213553e+00
sample_42   ,  2.076718886760197e-03,  5.626612690610678e-01,  2.092182938464309e+00,  1.388646580142000e-01,  1.902667320765218e+00
sample_43   , -1.067584035797745e+00, -1.240678327735272e+00,  4.799116573970093e-01, -3.009085377440754e-01, -2.769083680282307e+00
sample_44   , -8.176143883267203e-01, -1.115243051605968e+00, -1.326515866963937e+00, -2.367883473370976e-01, -3.109023766460919e+00
