# c0 + a0 * (Tx_s_fill / M_p_fill) + a1 * (site_charge_avg - site_charge_std) + a2 * (CN_tDOS_at_EF * surf_tot_var) + a3 * (Tx_s_fill + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.341417624705508; Max AE: 0.928181489481832
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.178917701225734e-01, -1.379697939851340e-01, -3.773560025369173e-01,  4.740641326439419e-01,  8.655983026146771e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         19|40|div; (Tx_s_fill / M_p_fill); $\left(\frac{ Tx_{s, fill} }{ M_{p, fill} } \right)$; (Tx_s_fill ./ M_p_fill); Tx_s_fill,M_p_fill
# 1;  1; Unitless;                                         79|24|sub; (site_charge_avg - site_charge_std); $\left(site_{charge, avg} - site_{charge, std}\right)$; (site_charge_avg - site_charge_std); site_charge_avg,site_charge_std
# 2;  1; Unitless;                                         119|110|mult; (CN_tDOS_at_EF * surf_tot_var); $\left(CN_{tDOS, at, EF} surf_{tot, var}\right)$; (CN_tDOS_at_EF .* surf_tot_var); CN_tDOS_at_EF,surf_tot_var
# 3;  1; Unitless;                                         19|3|add; (Tx_s_fill + surf_tot_fill); $\left(Tx_{s, fill} + surf_{tot, fill}\right)$; (Tx_s_fill + surf_tot_fill); Tx_s_fill,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -6.786936110508210e-02, -1.138019846264287e-01,  2.148158376327055e+00, -3.053974550435867e-01,  4.649303395798030e-01,  3.927675523741838e-01
sample_1    ,  5.170489600965991e-01,  1.090217424910100e+00, -7.120608895959252e-01,  5.664635550458130e-02,  2.343713649738847e-02,  1.975199222213553e+00
sample_2    , -8.424432995226028e-02, -2.627459539350634e-01, -3.918882719684542e-01, -7.043227283572646e-01, -1.339762819393479e-01, -1.145917112854164e+00
sample_3    ,  3.870884909923769e-01, -6.471582580007261e-02,  4.354421909790993e-01, -7.482814037354247e-01,  3.149137109680938e-01, -1.779216177183572e-01
sample_4    , -3.064802267653849e-01, -8.563141716831393e-02,  1.116626335250674e+01,  4.775705328919515e-02, -2.716271306398874e-03,  2.425375081555246e+00
sample_5    ,  9.084282131303049e-01,  7.922101389069428e-01,  5.536384721940188e-01,  6.164278162944820e-01, -9.560839326775208e-02,  1.729491200475493e+00
sample_6    , -3.372731447832425e-01,  5.537981245628820e-01,  1.457878954578382e+00,  1.977548097195013e-01,  1.817712717490034e-01,  1.550395495271442e+00
sample_7    , -1.223306809623438e-01,  3.916170755328367e-01,  6.398668593982741e-01,  4.133619833429270e-01,  2.208538166235332e-01,  1.098721095251051e+00
sample_8    ,  9.505429496916736e-01,  1.003778176913463e+00,  1.135847250374085e+00,  1.711316391145785e-01, -3.652768654097136e-01,  1.976308487218724e+00
sample_9    , -2.722343139012212e-01, -1.995860343517688e-01, -3.573246787940096e-01, -9.487598397845676e-01,  1.675705916363688e-01, -8.351990949627923e-01
sample_10   ,  1.033922593120234e+00,  1.012002720425827e+00, -8.884544888988424e-01,  4.880154605935769e-01,  1.935326424160380e-02,  1.888638728669864e+00
sample_11   ,  8.655043105153030e-01,  8.822142744186154e-01, -5.255568711977686e-01,  5.532544629508005e-01, -4.513686652811413e-01,  1.349398318361681e+00
sample_12   , -1.974351437895262e+00, -2.076031274310018e+00,  2.820085982500633e+00,  1.925672395349191e+00,  3.206246983752779e-02, -3.274541312417784e+00
sample_13   ,  1.127745069540050e+00,  7.277614303863641e-01,  4.926561908509188e-01, -2.258618840778833e-01, -7.802472773716748e-03,  1.403133536522241e+00
sample_14   ,  1.173303732952369e+00,  7.147318303276052e-01, -4.856173035794669e-01,  2.980083418603072e-02,  8.220699440462047e-02,  1.278423302997550e+00
sample_15   , -3.117665424580768e-01, -3.957320422926724e-01,  2.069945211378366e-01, -7.175967094096661e-01, -1.568739097198581e-01, -1.299598221555696e+00
sample_16   ,  2.993778837652355e-01,  7.231741275745296e-01, -3.848117924532289e-01,  1.616044044370917e-01,  2.684720397522937e-01,  1.507927233496810e+00
sample_17   , -1.967465780026508e+00, -1.621809058293137e+00, -1.313273369374678e+00,  1.939331589186423e+00,  1.145372620977866e-01, -3.274667709770267e+00
sample_18   , -2.068025907941206e-01, -1.809218175073876e-01, -4.074839811391097e-01, -2.272662722048566e+00,  5.716122533156920e-02, -1.281491869636392e+00
sample_19   , -1.620136975480968e+00, -1.717525761658619e+00,  1.497425226687607e+00,  2.491631031654399e+00, -2.889967138575185e-01, -2.938075694769063e+00
sample_20   ,  5.325233916633493e-01,  7.318626058983329e-01,  3.699209517226823e+00, -1.159898612185153e-01,  1.525490719466924e-02,  2.259530923051078e+00
sample_21   , -8.260074571897974e-02, -6.888941544876359e-02, -2.688608757808982e-01, -3.274819641773771e+00,  3.934785153994253e-02, -1.316538693067462e+00
sample_22   , -4.244578083032810e-01, -2.080687719931342e-01, -2.688608757808982e-01, -2.266052776764413e+00,  3.934785153994253e-02, -1.316538693067462e+00
sample_23   ,  1.021301692810332e+00,  8.228725545851097e-01, -5.165553495469740e-01, -3.005891059239665e-01,  1.333100931502939e-01,  1.443366412923081e+00
sample_24   , -1.579486740420006e+00, -1.588947219801870e+00,  3.505487181009524e-01, -6.731023572404122e-01,  4.164314216254409e+00, -3.282658570059915e-01
sample_25   , -3.255503419433455e-01, -9.888346315008573e-02, -5.056240379281067e-01, -1.136065309877492e+00, -2.383704338294500e-02, -8.665282313789759e-01
sample_26   , -1.312962838052638e+00, -1.486776053199838e+00, -1.059047215561256e+00,  3.270428220242187e-01,  3.721117817376482e+00, -5.249936493741160e-01
sample_27   , -1.880392015620360e-01,  4.611282767207584e-01,  1.003476747417262e+00,  4.219114381389731e-01, -1.991345957514847e-02,  1.146609983243472e+00
sample_28   , -1.926831941724512e-01,  5.073331148964633e-01, -3.044032629010529e-01,  5.448094886418287e-01, -2.708731220448669e-01,  7.548309920100638e-01
sample_29   , -1.967181256434801e+00, -1.038999766952969e+00, -1.313273369374678e+00, -2.284848751352211e+00,  1.145372620977866e-01, -3.274667709770267e+00
sample_30   ,  1.043102575673906e+00,  6.290163270542406e-01,  5.738195342933473e-01,  8.220353743440496e-02, -7.275849481100043e-02,  1.252975719721556e+00
sample_31   ,  8.976586070063816e-01,  8.296076656459898e-01, -1.008682870500429e+00,  6.663992911149855e-01,  2.838552759549754e-01,  1.736452590998996e+00
sample_32   ,  6.175426342807178e-01,  9.826668639709805e-01, -1.204674226916947e+00,  1.746221374315319e-01,  3.304964192020051e-01,  1.904580377281735e+00
sample_33   ,  9.009804209061152e-01,  8.011821167295405e-01,  1.069687218126991e+00,  1.016560358159660e+00,  1.244904070416953e-01,  2.168401616679198e+00
sample_34   ,  1.273920780659581e+00,  7.560516035329158e-01,  1.231851795741236e+00,  2.387324180308536e-01, -3.488179843774202e-01,  1.510399574720589e+00
sample_35   ,  8.868754598844902e-01,  1.029424518855790e+00, -7.446884157269648e-01,  8.535884523365520e-01, -1.661508277136022e-03,  2.050807958087021e+00
sample_36   ,  8.652147852946854e-01,  8.468428462273029e-01, -5.255568711977686e-01,  8.096252755007105e-01, -4.513686652811413e-01,  1.349398318361681e+00
sample_37   ,  1.562198884018698e+00,  8.725434588030413e-01, -8.322132543929583e-01, -3.147807498891352e-01,  1.616892702782237e-01,  1.488103966861765e+00
sample_38   ,  8.378932827646619e-01,  5.334203111980351e-01,  3.699209517226823e+00,  1.322312603172202e+00,  1.525490719466924e-02,  2.259530923051078e+00
sample_39   ,  5.502215964767956e-01,  1.277214968087269e+00,  9.597468433862317e-01,  1.363652735185653e-02, -1.297645103073670e+00,  1.721304346677843e+00
sample_40   , -1.196527547584423e+00, -1.222420906189218e+00, -1.896435629873241e+00,  3.145286820928720e+00, -3.560935291409582e-01, -2.600859801144709e+00
sample_41   ,  4.971833011969013e-01,  1.091891154115850e+00, -7.120608895959252e-01,  4.451522768735408e-02,  2.343713649738847e-02,  1.975199222213553e+00
sample_42   ,  2.076718886760197e-03,  7.378497534472928e-01,  1.707245994070569e+00, -2.156453589512766e-02,  1.388646580142000e-01,  1.902667320765218e+00
sample_43   , -1.067584035797745e+00, -1.284514007224873e+00, -2.168716317486333e+00,  3.099040888003287e+00, -3.009085377440754e-01, -2.769083680282307e+00
sample_44   , -8.176143883267203e-01, -1.218585779665699e+00,  1.825868987117016e+00, -2.135485307936038e+00, -2.367883473370976e-01, -3.109023766460919e+00
sample_45   , -8.020569715810638e-02,  6.523860001417918e-02, -1.118380111699980e+00,  7.694553127323500e-01,  3.193597678262337e-01,  1.550525972953155e-01
sample_46   ,  1.470706272319645e+00,  7.489340882119397e-01, -6.172805449622589e-01,  5.800486087182359e-01, -1.885473436527996e-01,  1.262448761228248e+00
sample_47   ,  8.964593138558716e-01,  9.642439053041852e-01,  1.069687218126991e+00, -1.653054971464245e-01,  1.244904070416953e-01,  2.168401616679198e+00
sample_48   ,  8.562650810057257e-01,  8.118832848029801e-01, -6.172805449622589e-01,  1.237951435733720e-01, -1.885473436527996e-01,  1.262448761228248e+00
sample_49   ,  9.391867703598284e-01,  9.115484075216892e-01, -1.179501793880436e+00, -4.149217159727292e-02,  3.898435538863920e-01,  1.745165062467126e+00
sample_50   , -7.054910310732637e-01, -9.143682319183677e-01, -1.413709957904918e+00, -2.130941932189370e+00, -2.748442733111012e-02, -3.105001545583814e+00
sample_51   , -1.899374215965192e-01,  5.297515813770828e-01,  1.003476747417262e+00, -7.546775388706184e-02, -1.991345957514847e-02,  1.146609983243472e+00
