# c0 + a0 * (Tx_charge_std / CN_tot_kurt) + a1 * (site_tDOS_at_EF - Tx_p_center) + a2 * (Tx_tot_fill / M_p_fill) + a3 * (CN_tDOS_at_EF * surf_tot_var) + a4 * (Tx_s_fill + surf_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.313682771090998; Max AE: 1.05772502671187
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.042270180479902e-01, -1.728262887051450e-01, -9.145151351946849e-02, -4.199067098391910e-01,  5.112559361632413e-01,  8.397683116503304e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         107|106|div; (Tx_charge_std / CN_tot_kurt); $\left(\frac{ Tx_{charge, std} }{ CN_{tot, kurt} } \right)$; (Tx_charge_std ./ CN_tot_kurt); Tx_charge_std,CN_tot_kurt
# 1;  1; Unitless;                                         131|117|sub; (site_tDOS_at_EF - Tx_p_center); $\left(site_{tDOS, at, EF} - Tx_{p, center}\right)$; (site_tDOS_at_EF - Tx_p_center); site_tDOS_at_EF,Tx_p_center
# 2;  1; Unitless;                                         50|40|div; (Tx_tot_fill / M_p_fill); $\left(\frac{ Tx_{tot, fill} }{ M_{p, fill} } \right)$; (Tx_tot_fill ./ M_p_fill); Tx_tot_fill,M_p_fill
# 3;  1; Unitless;                                         119|110|mult; (CN_tDOS_at_EF * surf_tot_var); $\left(CN_{tDOS, at, EF} surf_{tot, var}\right)$; (CN_tDOS_at_EF .* surf_tot_var); CN_tDOS_at_EF,surf_tot_var
# 4;  1; Unitless;                                         19|3|add; (Tx_s_fill + surf_tot_fill); $\left(Tx_{s, fill} + surf_{tot, fill}\right)$; (Tx_s_fill + surf_tot_fill); Tx_s_fill,surf_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -6.786936110508210e-02, -4.191091676794389e-02, -2.335260425252870e+00, -2.011314695846317e+00,  2.577058991819629e+00,  4.649303395798030e-01,  3.927675523741838e-01
sample_1    ,  5.170489600965991e-01,  1.035129612191210e+00,  2.316951063247168e-01,  8.862803402215413e-01, -8.768090682978849e-01,  2.343713649738847e-02,  1.975199222213553e+00
sample_2    , -8.424432995226028e-02, -2.190689839611528e-01, -5.473520212473990e-01, -9.072213574244060e-01, -1.386644521289038e+00, -1.339762819393479e-01, -1.145917112854164e+00
sample_3    ,  3.870884909923769e-01,  5.926043105023487e-02,  3.865827244552050e-01, -1.079069356965977e+00,  3.094804269296728e-01,  3.149137109680938e-01, -1.779216177183572e-01
sample_4    , -3.064802267653849e-01, -2.159981923765105e-01, -1.662297842052468e-01,  1.668108870127591e+00,  1.350971968107009e+01, -2.716271306398874e-03,  2.425375081555246e+00
sample_5    ,  9.084282131303049e-01,  1.149350668014561e+00,  2.101892438283946e+00,  1.630056302970286e-01,  5.455102145771213e-01, -9.560839326775208e-02,  1.729491200475493e+00
sample_6    , -3.372731447832425e-01,  4.235282217785891e-01,  3.189537057919818e-01,  1.397383492962708e+00,  1.842610551315943e+00,  1.817712717490034e-01,  1.550395495271442e+00
sample_7    , -1.223306809623438e-01,  5.011500805489653e-01, -3.642702373906823e-01, -2.762293740744200e-01,  6.734643072887048e-01,  2.208538166235332e-01,  1.098721095251051e+00
sample_8    ,  9.505429496916736e-01,  9.960153232243586e-01,  1.261769037557001e-01,  7.910035260812114e-01,  1.401704511845010e+00, -3.652768654097136e-01,  1.976308487218724e+00
sample_9    , -2.722343139012212e-01, -3.860207295323340e-01, -4.173285034988406e-01, -8.654379236652745e-01,  8.606371362954509e-01,  1.675705916363688e-01, -8.351990949627923e-01
sample_10   ,  1.033922593120234e+00,  6.603815555716475e-01,  4.465953802526554e-01,  3.061849096895958e+00, -1.110689544039659e+00,  1.935326424160380e-02,  1.888638728669864e+00
