# FEAT_ID     Feature Postfix Expression (RPN)
0             28|17|add
1             28|19|add
2             31|28|sub
3             28|5|add
4             45|28|add
5             28|17|div
6             28|2|sub
7             28|27|sub
8             36|28|add
9             28|9|sub
10            28|23|sub
11            28|0|sub
12            28|sq
13            28|20|sub
14            28|14|sub
15            28|cb
16            28|5|div
17            28|6|add
18            28
19            33|28|sub
#-----------------------------------------------------------------------
20            33|5|div
21            12|6|add
22            28|17|sub
23            29|28|add
24            33|27|add
25            36|28|sub
26            31|6|add
27            28|9|add
28            33|23|add
29            27|6|sub
30            31|28|add
31            9|6|add
32            28|1|add
33            6|4|add
34            34|28|sub
35            33|31|sub
36            28|0|add
37            28|11|add
38            33|11|sub
39            33|1|sub
#-----------------------------------------------------------------------
40            31|12|add
41            12|5|sub
42            27|17|div
43            12|inv
44            23|8|add
45            42|27|sub
46            9|17|div
47            36|23|sub
48            33|12|mult
49            27|12|add
50            23|12|add
51            29|12|div
52            33|12|div
53            8|12|div
54            28|12|div
55            10|12|div
56            9|12|div
57            20|12|div
58            0|12|div
59            34|12|div
#-----------------------------------------------------------------------
60            2|0|add
61            27|10|add
62            23|4|add
63            23|0|add
64            12|9|add
65            27|2|add
66            9|2|add
67            12|10|add
68            23|2|add
69            12|4|add
70            8|2|add
71            12|8|add
72            23|10|add
73            12
74            27|9|add
75            19|12|sub
76            27|8|add
77            23|9|add
78            12|6|sub
79            12|2|add
#-----------------------------------------------------------------------
80            23|19|add
81            34|33|mult
82            6|33|div
83            14|33|div
84            27
85            23
86            36|23|div
87            31|2|add
88            33|inv
89            2|33|div
90            19|5|add
91            23|5|sub
92            27|5|sub
93            45|19|mult
94            27|23|add
95            33|2|mult
96            5|33|div
97            9|20|div
98            33|sq
99            6|2|mult
#-----------------------------------------------------------------------
