# c0 + a0 * (surf_bond_length_std - surf_bond_length_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.680281011884144; Max AE: 1.92815133156121
# Coefficients
# Task   a0                      c0
# all , -5.223206845627161e-01, -8.832952002404208e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|28|sub; (surf_bond_length_std - surf_bond_length_sum); $\left(surf_{bond, length, std} - surf_{bond, length, sum}\right)$; (surf_bond_length_std - surf_bond_length_sum); surf_bond_length_std,surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -6.786936110508210e-02, -6.323347766583440e-01,  1.210625570357663e+00
sample_1    ,  5.170489600965991e-01,  7.852529197293996e-01, -1.503392346766450e+00
sample_2    , -8.424432995226028e-02, -1.108655755604046e-01,  2.122557632447961e-01
sample_3    ,  3.870884909923769e-01, -9.349195755130446e-01,  1.789934044629600e+00
sample_4    , -3.064802267653849e-01,  5.480416842339931e-01, -1.049243693446319e+00
sample_5    ,  9.084282131303049e-01,  7.688473512919357e-01, -1.471983350488237e+00
sample_6    , -3.372731447832425e-01,  5.638323188952774e-01, -1.079475378937588e+00
sample_7    , -1.223306809623438e-01, -4.122724947349242e-01,  7.893091484210998e-01
sample_8    ,  9.505429496916736e-01,  8.174192881292328e-01, -1.564975909031006e+00
sample_9    , -2.722343139012212e-01,  2.406836815909463e-01, -4.607967647163853e-01
sample_10   ,  1.033922593120234e+00,  7.397171493255122e-01, -1.416212627965902e+00
sample_11   ,  8.655043105153030e-01,  1.628135282776511e-01, -3.117118143884317e-01
sample_12   , -1.974351437895262e+00, -9.317239994289404e-01,  1.783816009907732e+00
sample_13   ,  1.127745069540050e+00,  9.395088973696062e-01, -1.798720451126990e+00
sample_14   ,  1.173303732952369e+00,  1.026009489013811e+00, -1.964328657351146e+00
sample_15   , -3.117665424580768e-01,  2.710060153562061e-01, -5.188498624807319e-01
sample_16   ,  2.993778837652355e-01,  1.419257021470309e-01, -2.717213894484212e-01
sample_17   , -1.967465780026508e+00, -1.030392660783170e+00,  1.972720382777504e+00
sample_18   , -2.068025907941206e-01,  1.778871346620624e-01, -3.405707258386471e-01
sample_19   , -1.620136975480968e+00, -8.436811779009685e-01,  1.615255154230189e+00
sample_20   ,  5.325233916633493e-01,  6.099759785792656e-01, -1.167818921607393e+00
sample_21   , -8.260074571897974e-02,  1.516814898360913e-01, -2.903991634240545e-01
sample_22   , -4.244578083032810e-01,  1.516814898360913e-01, -2.903991634240545e-01
sample_23   ,  1.021301692810332e+00,  1.002125335872945e+00, -1.918601666544987e+00
sample_24   , -1.579486740420006e+00, -5.205031344647306e-01,  9.965202410095860e-01
sample_25   , -3.255503419433455e-01, -3.409771142941019e-01,  6.528118153688767e-01
sample_26   , -1.312962838052638e+00, -7.525861315256972e-01,  1.440850714452860e+00
sample_27   , -1.880392015620360e-01, -2.434386787983941e-01,  4.660712967976727e-01
sample_28   , -1.926831941724512e-01, -4.244376083185020e-01,  8.125996554661392e-01
sample_29   , -1.967181256434801e+00, -1.030392660783170e+00,  1.972720382777504e+00
sample_30   ,  1.043102575673906e+00,  9.866970778288269e-01, -1.889063762915851e+00
sample_31   ,  8.976586070063816e-01,  6.074274542473138e-01, -1.162939688585853e+00
sample_32   ,  6.175426342807178e-01,  6.523149406520260e-01, -1.248878246508926e+00
sample_33   ,  9.009804209061152e-01,  8.376468532504242e-01, -1.603702242716461e+00
sample_34   ,  1.273920780659581e+00, -7.239272509971906e-02,  1.385982352208107e-01
sample_35   ,  8.868754598844902e-01,  6.420169783832055e-01, -1.229162461602874e+00
sample_36   ,  8.652147852946854e-01,  1.628135282776511e-01, -3.117118143884317e-01
sample_37   ,  1.562198884018698e+00,  9.278947519992651e-01, -1.776484790710700e+00
sample_38   ,  8.378932827646619e-01,  6.099759785792656e-01, -1.167818921607393e+00
sample_39   ,  5.502215964767956e-01,  8.016963463719902e-02, -1.534873823814147e-01
sample_40   , -1.196527547584423e+00, -1.193824897656153e+00,  2.285616734967362e+00
sample_41   ,  4.971833011969013e-01,  7.852529197293996e-01, -1.503392346766450e+00
sample_42   ,  2.076718886760197e-03,  7.338564406125533e-01, -1.404992109831788e+00
sample_43   , -1.067584035797745e+00, -9.076629823399501e-01,  1.737750407299760e+00
sample_44   , -8.176143883267203e-01, -8.399131855587121e-01,  1.608041209897482e+00
sample_45   , -8.020569715810638e-02, -1.741465687762732e+00,  3.334092903520901e+00
sample_46   ,  1.470706272319645e+00, -2.650769837964066e-01,  5.074985380261681e-01
sample_47   ,  8.964593138558716e-01,  8.376468532504242e-01, -1.603702242716461e+00
sample_48   ,  8.562650810057257e-01, -2.650769837964066e-01,  5.074985380261681e-01
sample_49   ,  9.391867703598284e-01,  1.038008763079013e+00, -1.987301659224982e+00
sample_50   , -7.054910310732637e-01, -9.657062623845944e-01,  1.848876161573186e+00
sample_51   , -1.899374215965192e-01, -2.434386787983941e-01,  4.660712967976727e-01
sample_52   ,  1.180038040705398e+00, -7.239272509971906e-02,  1.385982352208107e-01
sample_53   , -1.706633203341722e+00, -9.152894498535427e-01,  1.752351528294953e+00
sample_54   , -1.491110713165102e+00, -7.525861315256972e-01,  1.440850714452860e+00
sample_55   , -1.811793316472483e+00, -1.030392660783170e+00,  1.972720382777504e+00
sample_56   ,  2.748608721228185e-01,  2.773992697662537e-02, -5.310899567351035e-02
sample_57   ,  6.065023302090887e-01,  6.099759785792656e-01, -1.167818921607393e+00
sample_58   , -1.551047963330257e+00, -8.399131855587121e-01,  1.608041209897482e+00
sample_59   , -3.442151311358171e-02, -1.108655755604046e-01,  2.122557632447961e-01
sample_60   , -7.701305448717241e-01,  5.984641763294662e-02, -1.145779200436042e-01
sample_61   ,  9.329932892101436e-01,  1.038008763079013e+00, -1.987301659224982e+00
sample_62   ,  5.842126295594917e-01,  9.464630134260266e-01, -1.812034333310772e+00
sample_63   ,  9.285696122711918e-01,  7.852529197293996e-01, -1.503392346766450e+00
sample_64   ,  4.119129605136950e-01, -4.244376083185020e-01,  8.125996554661392e-01
sample_65   ,  9.178427436451725e-01,  6.074274542473138e-01, -1.162939688585853e+00
sample_66   , -2.438262378683324e-01, -1.108655755604046e-01,  2.122557632447961e-01
sample_67   , -7.152591820729946e-02, -1.741465687762732e+00,  3.334092903520901e+00
sample_68   ,  1.101878756532421e+00,  7.397171493255122e-01, -1.416212627965902e+00
sample_69   , -1.522458202093985e+00, -7.525861315256972e-01,  1.440850714452860e+00
sample_70   ,  8.743536162389141e-01,  7.115638645086448e-01, -1.362312245214572e+00
sample_71   ,  9.322703707672507e-01,  1.027870463641434e+00, -1.967891554020998e+00
sample_72   , -1.559376814947324e+00, -7.525861315256972e-01,  1.440850714452860e+00
sample_73   ,  4.748435749276483e-02,  1.778871346620624e-01, -3.405707258386471e-01
sample_74   , -1.238789902535031e-01,  1.337316132548186e-01, -2.560335387957666e-01
sample_75   , -1.197072237226564e+00, -1.193824897656153e+00,  2.285616734967362e+00
sample_76   ,  6.669215980133916e-02,  2.406836815909463e-01, -4.607967647163853e-01
sample_77   ,  8.560447246696887e-01, -5.311672542065046e-01,  1.016937046349589e+00
sample_78   , -1.970694962120995e+00, -9.152894498535427e-01,  1.752351528294953e+00
sample_79   ,  7.048802338076922e-01,  1.628135282776511e-01, -3.117118143884317e-01
sample_80   ,  5.703764146279091e-01,  3.660255366094414e-01, -7.007678375132258e-01
sample_81   , -1.519566284340953e+00, -9.657062623845944e-01,  1.848876161573186e+00
sample_82   , -1.476340169445467e+00, -5.205031344647306e-01,  9.965202410095860e-01
sample_83   , -1.066369575108189e+00, -9.076629823399501e-01,  1.737750407299760e+00
sample_84   ,  8.332030149161963e-01, -2.650769837964066e-01,  5.074985380261681e-01
sample_85   , -1.912017765928209e-01, -2.434386787983941e-01,  4.660712967976727e-01
sample_86   , -1.812354230920615e+00, -9.317239994289404e-01,  1.783816009907732e+00
sample_87   ,  9.025287301966769e-01,  7.688473512919357e-01, -1.471983350488237e+00
sample_88   , -7.472713090823667e-01,  1.825952502884874e-01, -3.495845668860615e-01
sample_89   , -1.864741135127659e+00, -1.044969734925673e+00,  2.000628667042958e+00
sample_90   , -5.785510175228054e-01, -9.076629823399501e-01,  1.737750407299760e+00
sample_91   ,  8.073355633184540e-01,  1.261168773350589e-01, -2.414548783199043e-01
